,title,link,keyword
0,ODEON Norwich,https://www.google.com/maps/place/ODEON+Norwich/data=!4m7!3m6!1s0x47d9e3ec26c158e9:0x6d2cb440f8d5d42b!8m2!3d52.6253846!4d1.3046094!16s%2Fg%2F1tgf71gm!19sChIJ6VjBJuzj2UcRK9TV-EC0LG0?authuser=0&hl=en&rclk=1,
1,IMAX,https://www.google.com/maps/place/IMAX/data=!4m7!3m6!1s0x2e69f11746692471:0xab43309ffbd226d4!8m2!3d-6.2442493!4d106.7835017!16s%2Fg%2F11cr_f_l4_!19sChIJcSRpRhfxaS4R1CbS-58wQ6s?authuser=0&hl=en&rclk=1,
2,V Cinema,https://www.google.com/maps/place/V+Cinema/data=!4m7!3m6!1s0x2dd629e62bdbe043:0x6f9864d539d078e9!8m2!3d-7.9386723!4d112.6320371!16s%2Fg%2F11gf4nhx7f!19sChIJQ-DbK-Yp1i0R6XjQOdVkmG8?authuser=0&hl=en&rclk=1,
3,Indonesian Old Cinema Museum,https://www.google.com/maps/place/Indonesian+Old+Cinema+Museum/data=!4m7!3m6!1s0x2dd629e69385be8d:0x8383f83c078fdc19!8m2!3d-7.9372399!4d112.6277836!16s%2Fg%2F11g8nzlv9h!19sChIJjb6Fk-Yp1i0RGdyPBzz4g4M?authuser=0&hl=en&rclk=1,
4,Coffe coffe,https://www.google.com/maps/place/Coffe+coffe/data=!4m7!3m6!1s0x2dd9d7f4ef2e60c9:0xbb1a5bb82c36f1c!8m2!3d-7.1294436!4d113.482261!16s%2Fg%2F11j90m9bm4!19sChIJyWAu7_TX2S0RHG_DgrulsQs?authuser=0&hl=en&rclk=1,
5,Pentol Senayan,https://www.google.com/maps/place/Pentol+Senayan/data=!4m7!3m6!1s0x2dd77d3e1c3b27fb:0x8d026f1e1d6f77e4!8m2!3d-7.1609346!4d113.4848289!16s%2Fg%2F11t4gyz4fb!19sChIJ-yc7HD591y0R5HdvHR5vAo0?authuser=0&hl=en&rclk=1,
6,Oude Watertoren in Pamêkasan Regentie,https://www.google.com/maps/place/Oude+Watertoren+in+Pam%C3%AAkasan+Regentie/data=!4m7!3m6!1s0x2dd77de48060a8c7:0xe45041093ed19697!8m2!3d-7.1597104!4d113.483728!16s%2Fg%2F11g6rc4hnh!19sChIJx6hggOR91y0Rl5bRPglBUOQ?authuser=0&hl=en&rclk=1,
7,Kowel,https://www.google.com/maps/place/Kowel/data=!4m7!3m6!1s0x2dd9d6123b499cc5:0x8650a4253b23e853!8m2!3d-7.1346381!4d113.4865392!16s%2Fg%2F11g0gc8p2_!19sChIJxZxJOxLW2S0RU-gjOyWkUIY?authuser=0&hl=en&rclk=1,
8,Toko Dian Elektrik,https://www.google.com/maps/place/Toko+Dian+Elektrik/data=!4m7!3m6!1s0x2dd77d85aaaaaaab:0xf59dc9207685675d!8m2!3d-7.1467759!4d113.512625!16s%2Fg%2F11c2p4fydr!19sChIJq6qqqoV91y0RXWeFdiDJnfU?authuser=0&hl=en&rclk=1,
9,M2 Mart,https://www.google.com/maps/place/M2+Mart/data=!4m7!3m6!1s0x2dd9df43ffd0050d:0x6ae69bcdbd1f86f0!8m2!3d-7.1084281!4d113.7033432!16s%2Fg%2F11p9pr0s2_!19sChIJDQXQ_0Pf2S0R8IYfvc2b5mo?authuser=0&hl=en&rclk=1,
