,title,link,keyword
0,SwissBelhotel Cendrawasih Biak,https://www.google.com/maps/place/Swiss-Belhotel+Cendrawasih+Biak/data=!4m10!3m9!1s0x68038fa8ee4cc353:0xe0dc40892972b01f!5m2!4m1!1i2!8m2!3d-1.1801431!4d136.0821927!16s%2Fg%2F11j0z5hwyq!19sChIJU8NM7qiPA2gRH7ByKYlA3OA?authuser=0&hl=en&rclk=1,
1,RedDoorz  Jalan Cendrawasih Timika,https://www.google.com/maps/place/RedDoorz+@+Jalan+Cendrawasih+Timika/data=!4m10!3m9!1s0x68237715d8a5de1f:0xe497a05bd4efc640!5m2!4m1!1i2!8m2!3d-4.5424845!4d136.8797499!16s%2Fg%2F11fv7_q8pz!19sChIJH96l2BV3I2gRQMbv1Fugl-Q?authuser=0&hl=en&rclk=1,
2,Hotel  Resto Cendrawasih 66,https://www.google.com/maps/place/Hotel+%26+Resto+Cendrawasih+66/data=!4m7!3m6!1s0x6823771114db0ff1:0x5be4adf05d85555b!8m2!3d-4.5406265!4d136.877203!16s%2Fg%2F11clt9qyg5!19sChIJ8Q_bFBF3I2gRW1WFXfCt5Fs?authuser=0&hl=en&rclk=1,
3,Komoro Tame Hotel  Resort,https://www.google.com/maps/place/Komoro+Tame+Hotel+%26+Resort/data=!4m10!3m9!1s0x68237716e6447add:0xe4c13d4863f484f5!5m2!4m1!1i2!8m2!3d-4.5411009!4d136.8800714!16s%2Fg%2F11bw4tgk95!19sChIJ3XpE5hZ3I2gR9YT0Y0g9weQ?authuser=0&hl=en&rclk=1,
4,Hotel OssA de Villa,https://www.google.com/maps/place/Hotel+OssA+'de'+Villa/data=!4m10!3m9!1s0x682379dddd6e950f:0x557d79c7932567f6!5m2!4m1!1i2!8m2!3d-4.5658459!4d136.8821731!16s%2Fg%2F11cjh__lw0!19sChIJD5Vu3d15I2gR9mclk8d5fVU?authuser=0&hl=en&rclk=1,
5,Grand Mozza Hotel  Timika,https://www.google.com/maps/place/Grand+Mozza+Hotel+-+Timika/data=!4m10!3m9!1s0x682377009f266d03:0xe2933010e70ba939!5m2!4m1!1i2!8m2!3d-4.5320138!4d136.8642398!16s%2Fg%2F11c6ttwr9q!19sChIJA20mnwB3I2gROakL5xAwk-I?authuser=0&hl=en&rclk=1,
6,Homestay Warnawarni,https://www.google.com/maps/place/Homestay+Warna-warni/data=!4m10!3m9!1s0x6823771078edea1d:0x28995f5ad663d932!5m2!4m1!1i2!8m2!3d-4.5378577!4d136.8756694!16s%2Fg%2F11bzt9dwtr!19sChIJHerteBB3I2gRMtlj1lpfmSg?authuser=0&hl=en&rclk=1,
7,WBE WISMA BATU EMAS,https://www.google.com/maps/place/W.B.E+WISMA+BATU+EMAS/data=!4m7!3m6!1s0x68237730edc03565:0x476fe2dfe1f91f59!8m2!3d-4.5416378!4d136.8946189!16s%2Fg%2F11c4650lby!19sChIJZTXA7TB3I2gRWR_54d_ib0c?authuser=0&hl=en&rclk=1,
8,CV Timika Raya,https://www.google.com/maps/place/CV.+Timika+Raya/data=!4m7!3m6!1s0x682377114742ad1b:0xc88eb197e9da67da!8m2!3d-4.54079!4d136.877754!16s%2Fg%2F11bc7ttl4l!19sChIJG61CRxF3I2gR2mfa6Zexjsg?authuser=0&hl=en&rclk=1,
9,Anak Itu Puna Rumah SA,https://www.google.com/maps/place/Anak+Itu+Puna+Rumah+(SA)/data=!4m7!3m6!1s0x68237768568e679b:0xff10aee9d40cb34!8m2!3d-4.542103!4d136.8841637!16s%2Fg%2F11jpm3lwc7!19sChIJm2eOVmh3I2gRNMtAne4K8Q8?authuser=0&hl=en&rclk=1,
10,Kost Bintuni Binneka Tunggal Ika,https://www.google.com/maps/place/Kost+Bintuni+(Binneka+Tunggal+Ika)/data=!4m7!3m6!1s0x6823773f133b7275:0x1c7d5427ec453f92!8m2!3d-4.5453105!4d136.8866575!16s%2Fg%2F11dyl3yhbk!19sChIJdXI7Ez93I2gRkj9F7CdUfRw?authuser=0&hl=en&rclk=1,
11,The Kahala Hotel  Resort,https://www.google.com/maps/place/The+Kahala+Hotel+%26+Resort/data=!4m10!3m9!1s0x7c0072a7fb4e5405:0xa50bef298438eee!5m2!4m1!1i2!8m2!3d21.271883!4d-157.7738378!16s%2Fm%2F010fks8w!19sChIJBVRO-6dyAHwR7o5DmPK-UAo?authuser=0&hl=en&rclk=1,
12,Le Méridien Noumea Resort  Spa,https://www.google.com/maps/place/Le+M%C3%A9ridien+Noumea+Resort+%26+Spa/data=!4m10!3m9!1s0x6c27e20c9041d68f:0x3a0ba4b757d827fd!5m2!4m1!1i2!8m2!3d-22.3102353!4d166.4501487!16s%2Fg%2F11b6s6jx9s!19sChIJj9ZBkAziJ2wR_SfYV7ekCzo?authuser=0&hl=en&rclk=1,
13,The Standard High Line,"https://www.google.com/maps/place/The+Standard,+High+Line/data=!4m10!3m9!1s0x89c259c06677ef37:0x505cfe96ba9da92a!5m2!4m1!1i2!8m2!3d40.7408138!4d-74.0078634!16s%2Fm%2F0vpwq4s!19sChIJN-93ZsBZwokRKqmdupb-XFA?authuser=0&hl=en&rclk=1",
