,title,link,keyword
0,Samana Resto Villa  Catering,"https://www.google.com/maps/place/Samana+Resto,+Villa+%26+Catering/data=!4m7!3m6!1s0x2dd227571d2494fd:0x6da92632cbe4526c!8m2!3d-8.3316601!4d115.186932!16s%2Fg%2F11r7qrggfk!19sChIJ_ZQkHVcn0i0RbFLkyzImqW0?authuser=0&hl=en&rclk=1",
1,Do Drop Inn  Sidakarya,https://www.google.com/maps/place/Do+Drop+Inn+-+Sidakarya/data=!4m7!3m6!1s0x2dd241057658494d:0xc83353f4d39f32!8m2!3d-8.6988652!4d115.2273536!16s%2Fg%2F11c6fb75fq!19sChIJTUlYdgVB0i0RMp_T9FMzyAA?authuser=0&hl=en&rclk=1,
2,Puncak Indah Bedugul ᬧᬦᬘᬓᬳᬦᬤᬩᬤᬕᬮ,https://www.google.com/maps/place/Puncak+Indah+Bedugul+%E1%AC%A7%E1%AC%B8%E1%AC%A6%E1%AD%84%E1%AC%98%E1%AC%93%E1%AD%84%E1%AC%B3%E1%AC%B6%E1%AC%A6%E1%AD%84%E1%AC%A4%E1%AC%84%E1%AC%A9%E1%AD%82%E1%AC%A4%E1%AC%B8%E1%AC%95%E1%AC%B8%E1%AC%AE%E1%AD%84/data=!4m7!3m6!1s0x2dd1896cd5b991fb:0x5076413de5a921dd!8m2!3d-8.2782353!4d115.1653485!16s%2Fg%2F11c48nx2zl!19sChIJ-5G51WyJ0S0R3SGp5T1BdlA?authuser=0&hl=en&rclk=1,
3,Huu Villas Bali,https://www.google.com/maps/place/Hu'u+Villas+Bali/data=!4m10!3m9!1s0x2dd2470e0f343bf5:0x802d548b53993b9c!5m2!4m1!1i2!8m2!3d-8.6800852!4d115.1526673!16s%2Fg%2F11b60rrrs7!19sChIJ9Ts0Dw5H0i0RnDuZU4tULYA?authuser=0&hl=en&rclk=1,
4,Bali  Phinisi Villas,https://www.google.com/maps/place/Bali+-+Phinisi+Villas/data=!4m10!3m9!1s0x2dd24756ad691ec7:0xdb8f6e42b78beb62!5m2!4m1!1i2!8m2!3d-8.6866257!4d115.1563093!16s%2Fg%2F11h5dm8vnm!19sChIJxx5prVZH0i0RYuuLt0Juj9s?authuser=0&hl=en&rclk=1,
5,Duplex Pool Villa  Sudha Villa Bali,https://www.google.com/maps/place/Duplex+Pool+Villa+%7C+Sudha+Villa+Bali/data=!4m10!3m9!1s0x2dd247ef8d211815:0xd416e53ac5493a2f!5m2!4m1!1i2!8m2!3d-8.6937348!4d115.1720574!16s%2Fg%2F11h7z826j0!19sChIJFRghje9H0i0RLzpJxTrlFtQ?authuser=0&hl=en&rclk=1,
6,The Kawan Jimbaran  Private Villa,https://www.google.com/maps/place/The+Kawan+Jimbaran+-+Private+Villa/data=!4m10!3m9!1s0x2dd244d086952631:0xf579b99898586ea0!5m2!4m1!1i2!8m2!3d-8.8074764!4d115.1499876!16s%2Fg%2F1hc1_k735!19sChIJMSaVhtBE0i0RoG5YmJi5efU?authuser=0&hl=en&rclk=1,
7,Individual Bali Hospitality IBH Management,https://www.google.com/maps/place/Individual+Bali+Hospitality+(IBH)+Management/data=!4m7!3m6!1s0x2dd2470fd48179ed:0xd185d96ec3b8fe9f!8m2!3d-8.6532118!4d115.1834414!16s%2Fg%2F1tf2p0hg!19sChIJ7XmB1A9H0i0Rn_64w27ZhdE?authuser=0&hl=en&rclk=1,
8,Amarterra Villas Bali Nusa Dua  MGallery,https://www.google.com/maps/place/Amarterra+Villas+Bali+Nusa+Dua+-+MGallery/data=!4m10!3m9!1s0x2dd2432ea1da23cf:0x9fa1d9b8fce6f98e!5m2!4m1!1i2!8m2!3d-8.80492!4d115.2291859!16s%2Fg%2F1yj4k3_7g!19sChIJzyPaoS5D0i0Rjvnm_LjZoZ8?authuser=0&hl=en&rclk=1,
9,Lasanti Villas  Spa Seminyak Bali,"https://www.google.com/maps/place/Lasanti+Villas+%26+Spa+Seminyak,+Bali/data=!4m10!3m9!1s0x2dd246d8c175297b:0xb1cde57583243cca!5m2!4m1!1i2!8m2!3d-8.6950435!4d115.172409!16s%2Fg%2F1td22v_3!19sChIJeyl1wdhG0i0Ryjwkg3XlzbE?authuser=0&hl=en&rclk=1",
10,VillasLegian,https://www.google.com/maps/place/Villas@Legian/data=!4m10!3m9!1s0x2dd2475d3e3de877:0xa4d108336a0a263f!5m2!4m1!1i2!8m2!3d-8.7047447!4d115.1688567!16s%2Fg%2F11s3bx83r7!19sChIJd-g9Pl1H0i0RPyYKajMI0aQ?authuser=0&hl=en&rclk=1,
11,Good Villa in Bali Roniyy,"https://www.google.com/maps/place/Good+Villa+in+Bali,+Roniyy/data=!4m7!3m6!1s0x2dd2394c5a7dbde5:0xb71b81401849787!8m2!3d-8.6512212!4d115.1622363!16s%2Fg%2F11gt8f2hnr!19sChIJ5b19Wkw50i0Rh5eEARS4cQs?authuser=0&hl=en&rclk=1",
12,Dua Dari a Residence by Hadiprana,"https://www.google.com/maps/place/Dua+Dari,+a+Residence+by+Hadiprana/data=!4m7!3m6!1s0x2dd23d640747562b:0xa77573137c8ea41f!8m2!3d-8.5096458!4d115.2780745!16s%2Fg%2F11dzsw2qzl!19sChIJK1ZHB2Q90i0RH6SOfBNzdac?authuser=0&hl=en&rclk=1",
13,ExoticA Bali Villa BB,https://www.google.com/maps/place/ExoticA+Bali+Villa+B%26B/data=!4m7!3m6!1s0x2dd2387c1800a30d:0x5acdedb1617ce319!8m2!3d-8.6504964!4d115.1378144!16s%2Fg%2F11b_2s1k7p!19sChIJDaMAGHw40i0RGeN8YbHtzVo?authuser=0&hl=en&rclk=1,
14,Santhiku Hotel Villas Yoga  SPA,"https://www.google.com/maps/place/Santhiku+Hotel,+Villas,+Yoga+%26+SPA/data=!4m10!3m9!1s0x2dd19b481d9fde13:0x42636664231bcdff!5m2!4m1!1i2!8m2!3d-8.169693!4d115.022787!16s%2Fg%2F11bwf79c2v!19sChIJE96fHUib0S0R_80bI2RmY0I?authuser=0&hl=en&rclk=1",
15,Lata Lama Villa  Joglo,https://www.google.com/maps/place/Lata+Lama+Villa+-+Joglo/data=!4m10!3m9!1s0x2dd19b17a1342f89:0x7cc2cd64cab3a63a!5m2!4m1!1i2!8m2!3d-8.1567305!4d115.0327448!16s%2Fg%2F11g9jxyxrl!19sChIJiS80oReb0S0ROqazymTNwnw?authuser=0&hl=en&rclk=1,
