title,link,keyword
TOKO MBAK MAYA,https://www.google.com/maps/place/TOKO+MBAK+MAYA/data=!4m7!3m6!1s0x2e7963e59bebdd5b:0x65348edc18d87586!8m2!3d-8.1306157!4d111.1522232!16s%2Fg%2F11tflyl17r!19sChIJW93rm-VjeS4RhnXYGNyONGU?authuser=0&hl=en&rclk=1,
Shakeera,https://www.google.com/maps/place/Shakeera/data=!4m7!3m6!1s0x2e7963409fa0789d:0x23ddaa53af2bd6d3!8m2!3d-8.1192308!4d111.1494915!16s%2Fg%2F11sx0f0r7w!19sChIJnXign0BjeS4R09Yrr1Oq3SM?authuser=0&hl=en&rclk=1,
Tomiko Mart Arjosari,https://www.google.com/maps/place/Tomiko+Mart+Arjosari/data=!4m7!3m6!1s0x2e7963d9e2927f35:0xfb266c7e91339db6!8m2!3d-8.1246327!4d111.1480976!16s%2Fg%2F11fhxv_hxj!19sChIJNX-S4tljeS4Rtp0zkX5sJvs?authuser=0&hl=en&rclk=1,
Mafruha Milagros Pacitan,https://www.google.com/maps/place/Mafruha+Milagros+Pacitan/data=!4m7!3m6!1s0x2e7963a71b5cd6a5:0xead799ee17b8b9e9!8m2!3d-8.1216636!4d111.1466184!16s%2Fg%2F11fj47hlr8!19sChIJpdZcG6djeS4R6bm4F-6Z1-o?authuser=0&hl=en&rclk=1,
NASA TATIK,https://www.google.com/maps/place/NASA+TATIK/data=!4m7!3m6!1s0x2e7963ee69b39afd:0xb7b9b80be864bee3!8m2!3d-8.1231119!4d111.1584076!16s%2Fg%2F11mtrl4klk!19sChIJ_Zqzae5jeS4R475k6Au4ubc?authuser=0&hl=en&rclk=1,
one celll,https://www.google.com/maps/place/one+celll/data=!4m7!3m6!1s0x2e796367bd92d97b:0x9289b58500b78e1d!8m2!3d-8.1026918!4d111.1398954!16s%2Fg%2F11j95ffd3b!19sChIJe9mSvWdjeS4RHY63AIW1iZI?authuser=0&hl=en&rclk=1,
Milagros Pacitan Jawa Timur,https://www.google.com/maps/place/Milagros+Pacitan+Jawa+Timur/data=!4m7!3m6!1s0x2e79617c5d273e9d:0xa243088b5cff0ecc!8m2!3d-8.1177349!4d111.1443878!16s%2Fg%2F11j5j436wv!19sChIJnT4nXXxheS4RzA7_XIsIQ6I?authuser=0&hl=en&rclk=1,
Wijaya Beton,https://www.google.com/maps/place/Wijaya+Beton/data=!4m7!3m6!1s0x2e796307bf7a2027:0xe71b8127074dca1b!8m2!3d-8.1245678!4d111.1524707!16s%2Fg%2F11bc7pxj35!19sChIJJyB6vwdjeS4RG8pNByeBG-c?authuser=0&hl=en&rclk=1,
Kediaman SETRO6,https://www.google.com/maps/place/Kediaman+SETRO%2B6/data=!4m7!3m6!1s0x2e7963f7c0937393:0x6de1b2149b551261!8m2!3d-8.1106746!4d111.1518637!16s%2Fg%2F11hdsxt9ty!19sChIJk3OTwPdjeS4RYRJVmxSy4W0?authuser=0&hl=en&rclk=1,
Toko Mamak Siti Sayur,https://www.google.com/maps/place/Toko+Mamak+Siti+Sayur/data=!4m7!3m6!1s0x2e79630408b2e887:0x34e1c4ec2b2e401a!8m2!3d-8.1227294!4d111.1667437!16s%2Fg%2F11flc0wpvw!19sChIJh-iyCARjeS4RGkAuK-zE4TQ?authuser=0&hl=en&rclk=1,
Farhan Shoop,https://www.google.com/maps/place/Farhan+Shoop/data=!4m7!3m6!1s0x2e7963ab75cd0f07:0x6fd5568c1b157b7c!8m2!3d-8.1294948!4d111.1104675!16s%2Fg%2F11jk8tk4hn!19sChIJBw_NdatjeS4RfHsVG4xW1W8?authuser=0&hl=en&rclk=1,
Djenar Djamoer,https://www.google.com/maps/place/Djenar+Djamoer/data=!4m7!3m6!1s0x2e7963275555c19d:0x65fee43bd70d6b52!8m2!3d-8.1445584!4d111.1313097!16s%2Fg%2F11gyc9l3lm!19sChIJncFVVSdjeS4RUmsN1zvk_mU?authuser=0&hl=en&rclk=1,
ngus racing pit,https://www.google.com/maps/place/ngus+racing+pit/data=!4m7!3m6!1s0x2e7963d4cac8e65f:0x82d80e29aa491429!8m2!3d-8.1041751!4d111.1438047!16s%2Fg%2F11f5t3b5pl!19sChIJX-bIytRjeS4RKRRJqikO2II?authuser=0&hl=en&rclk=1,
Aliwijaya Broiler Ayam Dan Daging Ayam 2,https://www.google.com/maps/place/Aliwijaya+Broiler+Ayam+Dan+Daging+Ayam+2/data=!4m7!3m6!1s0x2e79630120a71f49:0x265ffc5489509004!8m2!3d-8.1234893!4d111.1462026!16s%2Fg%2F11hbt7fvgv!19sChIJSR-nIAFjeS4RBJBQiVT8XyY?authuser=0&hl=en&rclk=1,
BAROKAH Mbak Na,https://www.google.com/maps/place/BAROKAH+Mbak+Na/data=!4m7!3m6!1s0x2e79631b84e5a7fb:0x3d165216193c21dd!8m2!3d-8.1486322!4d111.1212365!16s%2Fg%2F11h4w160vf!19sChIJ-6flhBtjeS4R3SE8GRZSFj0?authuser=0&hl=en&rclk=1,
Toko Semangat Baru,https://www.google.com/maps/place/Toko+Semangat+Baru/data=!4m7!3m6!1s0x2e7bdf7d5aa981dd:0xdb452ea352864580!8m2!3d-8.2017765!4d111.0929245!16s%2Fg%2F11bzrhn0ys!19sChIJ3YGpWn3fey4RgEWGUqMuRds?authuser=0&hl=en&rclk=1,
Bakul tempe,https://www.google.com/maps/place/Bakul+tempe/data=!4m7!3m6!1s0x2e79618979f75c79:0x157dee7d830da6e6!8m2!3d-8.1926375!4d111.1172344!16s%2Fg%2F11t72xtr1g!19sChIJeVz3eYlheS4R5qYNg33ufRU?authuser=0&hl=en&rclk=1,
Toko Dan Warung Makan Kecik,https://www.google.com/maps/place/Toko+Dan+Warung+Makan+Kecik/data=!4m7!3m6!1s0x2e79638bbcaffe01:0xad41324cedfb26a4!8m2!3d-8.0910867!4d111.1307001!16s%2Fg%2F11h4g36l64!19sChIJAf6vvItjeS4RpCb77UwyQa0?authuser=0&hl=en&rclk=1,
Bintangolshop,https://www.google.com/maps/place/Bintangolshop/data=!4m7!3m6!1s0x2e79615c7161657b:0xd6dbaa9ae4d3c962!8m2!3d-8.1762847!4d111.1809664!16s%2Fg%2F11fm180jyw!19sChIJe2VhcVxheS4RYsnT5Jqq29Y?authuser=0&hl=en&rclk=1,
Warunge Yu Sarmini,https://www.google.com/maps/place/Warunge+Yu+Sarmini/data=!4m7!3m6!1s0x2e797d464cec0b29:0x3002c5651d87784d!8m2!3d-8.0813253!4d111.1015234!16s%2Fg%2F11jkzcg5z_!19sChIJKQvsTEZ9eS4RTXiHHWXFAjA?authuser=0&hl=en&rclk=1,
