title,link,keyword
PRIME  Le Méridien Kuala Lumpur,"https://www.google.com/maps/place/PRIME+,+Le+M%C3%A9ridien+Kuala+Lumpur/data=!4m7!3m6!1s0x31cc49c05464fca5:0x8f55a48d79427608!8m2!3d3.1355924!4d101.6862869!16s%2Fg%2F1tv3l5gy!19sChIJpfxkVMBJzDERCHZCeY2kVY8?authuser=0&hl=en&rclk=1",
The Social  Publika,https://www.google.com/maps/place/The+Social+@+Publika/data=!4m7!3m6!1s0x31cc485e13d988f9:0xf582fca27fadc60e!8m2!3d3.1711577!4d101.6669759!16s%2Fg%2F1q66lxn12!19sChIJ-YjZE15IzDERDsatf6L8gvU?authuser=0&hl=en&rclk=1,
SWine Publika,https://www.google.com/maps/place/S.Wine+(Publika)/data=!4m7!3m6!1s0x31cc485e1a0aeafd:0x9a0c3ef131215a0e!8m2!3d3.170806!4d101.6655921!16s%2Fg%2F12qfnd00w!19sChIJ_eoKGl5IzDERDlohMfE-DJo?authuser=0&hl=en&rclk=1,
LingLings Bali,https://www.google.com/maps/place/Ling-Ling's+Bali/data=!4m7!3m6!1s0x2dd2476ccc6c42cb:0x5c7724b56e61c4a1!8m2!3d-8.6740623!4d115.1574047!16s%2Fg%2F11b_2tryrd!19sChIJy0JszGxH0i0RocRhbrUkd1w?authuser=0&hl=en&rclk=1,
LACALITA Seminyak  Mexican Inspired Food and Cocktails,https://www.google.com/maps/place/LACALITA+Seminyak+-+Mexican+Inspired+Food+and+Cocktails/data=!4m7!3m6!1s0x2dd247227c081dd5:0x465a7fc5d379ab77!8m2!3d-8.6837751!4d115.1643408!16s%2Fg%2F119twyg43!19sChIJ1R0IfCJH0i0Rd6t508V_WkY?authuser=0&hl=en&rclk=1,
Naughty Nuris Warung Seminyak,https://www.google.com/maps/place/Naughty+Nuri's+Warung+Seminyak/data=!4m7!3m6!1s0x2dd2446e28d5f997:0x457c2065160a80f!8m2!3d-8.6775252!4d115.1676968!16s%2Fg%2F11b88m223n!19sChIJl_nVKG5E0i0RD6hgUQbCVwQ?authuser=0&hl=en&rclk=1,
KEPO Resto  Cafe,https://www.google.com/maps/place/KEPO+Resto+%26+Cafe/data=!4m7!3m6!1s0x2e2cd3d5b2fb27e9:0x76d4de501660a4c6!8m2!3d-1.688226!4d100.7071038!16s%2Fg%2F11d_cxk213!19sChIJ6Sf7stXTLC4RxqRgFlDe1HY?authuser=0&hl=en&rclk=1,
Ayam Geprek KOKO,https://www.google.com/maps/place/Ayam+Gepre'k+KOKO/data=!4m7!3m6!1s0x2e2ccd41e9f97cf3:0xbd25ef4788373d54!8m2!3d-1.6394022!4d100.6692505!16s%2Fg%2F11tfmzgs8k!19sChIJ83z56UHNLC4RVD03iEfvJb0?authuser=0&hl=en&rclk=1,
Vinta Larasatis House,https://www.google.com/maps/place/Vinta+Larasati's+House/data=!4m7!3m6!1s0x2e2cd1cf875ce037:0xafdc38b27e7de913!8m2!3d-1.6981707!4d100.7127766!16s%2Fg%2F11l7xxcz2l!19sChIJN-Bch8_RLC4RE-l9frI43K8?authuser=0&hl=en&rclk=1,
RM Pondok Bambu Family,https://www.google.com/maps/place/RM.+Pondok+Bambu+Family/data=!4m7!3m6!1s0x2e2cd23960b5510d:0x947035b714c9ee49!8m2!3d-1.6721313!4d100.69253!16s%2Fg%2F11f53qdgy6!19sChIJDVG1YDnSLC4RSe7JFLc1cJQ?authuser=0&hl=en&rclk=1,
Mie Ayam Soto  Lotek Berkah,https://www.google.com/maps/place/Mie+Ayam+Soto+%26+Lotek+Berkah/data=!4m7!3m6!1s0x2e2ccd64fe5dbd61:0x428ba84f4b08ae31!8m2!3d-1.632905!4d100.6693644!16s%2Fg%2F11rx3mr3cp!19sChIJYb1d_mTNLC4RMa4IS0-oi0I?authuser=0&hl=en&rclk=1,
kantor resor taman nasional kerinci seblat TNKS,https://www.google.com/maps/place/kantor+resor+taman+nasional+kerinci+seblat(+TNKS)/data=!4m7!3m6!1s0x2e2cd1c38e7bfbfb:0x517ba6a855e55a2!8m2!3d-1.7127426!4d100.719407!16s%2Fg%2F11fn78kyys!19sChIJ-_t7jsPRLC4RolVehWq6FwU?authuser=0&hl=en&rclk=1,
Sate Anduang Arumi,https://www.google.com/maps/place/Sate+Anduang+(Arumi)/data=!4m7!3m6!1s0x2e2ccdf099b8454b:0x3b1aa9b2bd3cc705!8m2!3d-1.6422081!4d100.6713706!16s%2Fg%2F11js9z9p14!19sChIJS0W4mfDNLC4RBcc8vbKpGjs?authuser=0&hl=en&rclk=1,
sate ayam DGS dagang saiyo,https://www.google.com/maps/place/sate+ayam+DGS+(dagang+saiyo)/data=!4m7!3m6!1s0x2e2cd3b17ebf1997:0xc255feddac20a533!8m2!3d-1.6803374!4d100.6988021!16s%2Fg%2F11hf5t0by_!19sChIJlxm_frHTLC4RM6UgrN3-VcI?authuser=0&hl=en&rclk=1,
RmShinta,https://www.google.com/maps/place/Rm.Shinta/data=!4m7!3m6!1s0x2e2cd3fe84467f21:0x15baf565db42b873!8m2!3d-1.6483966!4d100.6769021!16s%2Fg%2F11gxzcw0hz!19sChIJIX9GhP7TLC4Rc7hC22X1uhU?authuser=0&hl=en&rclk=1,
Mie Ruddals,https://www.google.com/maps/place/Mie+Ruddal's/data=!4m7!3m6!1s0x2e2ccd836df93685:0x7e4840e966bd6715!8m2!3d-1.6393376!4d100.6692637!16s%2Fg%2F11j8ldnp1x!19sChIJhTb5bYPNLC4RFWe9ZulASH4?authuser=0&hl=en&rclk=1,
SATE AYAMLOKAN NIKMAT BERSAMA,https://www.google.com/maps/place/SATE+AYAM%2FLOKAN+NIKMAT+BERSAMA/data=!4m7!3m6!1s0x2e2ccd2c89aa15f9:0x6f4bb0fa79704e5b!8m2!3d-1.5917178!4d100.6454941!16s%2Fg%2F11j3v9jfty!19sChIJ-RWqiSzNLC4RW05wefqwS28?authuser=0&hl=en&rclk=1,
Safe  Soto Goyang Lida,https://www.google.com/maps/place/Safe+%26+Soto+Goyang+Lida/data=!4m7!3m6!1s0x2e2cd7be3d074fb1:0x84be475ee0e6f2c9!8m2!3d-1.7769285!4d100.7765644!16s%2Fg%2F11hhz34ngn!19sChIJsU8HPb7XLC4RyfLm4F5HvoQ?authuser=0&hl=en&rclk=1,
LGCafe Lubuak Gadang Resto,https://www.google.com/maps/place/LG.Cafe+(Lubuak+Gadang+Resto)/data=!4m7!3m6!1s0x2e2b43f5804fee9b:0x67cfaaaa5b126224!8m2!3d-0.9667338!4d100.89155!16s%2Fg%2F11qkvjszq2!19sChIJm-5PgPVDKy4RJGISW6qqz2c?authuser=0&hl=en&rclk=1,
Fahri Cakebakery,https://www.google.com/maps/place/Fahri+Cake%26bakery/data=!4m7!3m6!1s0x2e2b470fffffffff:0x6f74e7d02708747b!8m2!3d-0.9175783!4d100.8564355!16s%2Fg%2F11c5btbv_5!19sChIJ_____w9HKy4Re3QIJ9DndG8?authuser=0&hl=en&rclk=1,
Barca Cafe  Seafood,https://www.google.com/maps/place/Barca+Cafe+%26+Seafood/data=!4m7!3m6!1s0x2e2b4f73012edddd:0x6d5538fc42260bcc!8m2!3d-1.0256752!4d100.7759437!16s%2Fg%2F11spnz0k00!19sChIJ3d0uAXNPKy4RzAsmQvw4VW0?authuser=0&hl=en&rclk=1,
BFC CHICKEN  BURGER,https://www.google.com/maps/place/BFC+CHICKEN+%26+BURGER/data=!4m7!3m6!1s0x2e2b4f4c6f3e8dab:0xa0b13adc730d8c7e!8m2!3d-1.0264369!4d100.7761636!16s%2Fg%2F11t7dpx7zp!19sChIJq40-b0xPKy4RfowNc9w6saA?authuser=0&hl=en&rclk=1,
Bakso Restaurant,https://www.google.com/maps/place/%22Bakso+Restaurant%22/data=!4m7!3m6!1s0x2e2b22b7633f02b9:0xf3e497b78a204dcc!8m2!3d-0.7304168!4d100.9617012!16s%2Fg%2F11jwswyh5m!19sChIJuQI_Y7ciKy4RzE0gireX5PM?authuser=0&hl=en&rclk=1,
Dapur Acik Cafe  Resto,https://www.google.com/maps/place/Dapur+Acik+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e2b511d1e75eba1:0x608165c391486610!8m2!3d-1.0896615!4d100.7770719!16s%2Fg%2F11pvhgg1f1!19sChIJoet1Hh1RKy4REGZIkcNlgWA?authuser=0&hl=en&rclk=1,
Bakso Sopo nyono,https://www.google.com/maps/place/Bakso.+Sopo+nyono/data=!4m7!3m6!1s0x2e2b51610a507c47:0x850cf42e0a7f468d!8m2!3d-1.0763139!4d100.7864211!16s%2Fg%2F11jjpkbgvp!19sChIJR3xQCmFRKy4RjUZ_Ci70DIU?authuser=0&hl=en&rclk=1,
RM Angah Sinaro  USAHA BIBIT SAYURAN,https://www.google.com/maps/place/RM+Angah+Sinaro+%26+USAHA+BIBIT+SAYURAN/data=!4m7!3m6!1s0x2e2b5049338529f3:0x3780b0038196b4e5!8m2!3d-1.0633509!4d100.7623286!16s%2Fg%2F11g88b2h8b!19sChIJ8ymFM0lQKy4R5bSWgQOwgDc?authuser=0&hl=en&rclk=1,
Sate Seafood Uni Meri  Alfa Noval Vina ,https://www.google.com/maps/place/Sate+Seafood+Uni+Meri+(+Alfa+Noval+Vina+)/data=!4m7!3m6!1s0x2e2b496f37bcb8d9:0xf830a1adc290119f!8m2!3d-0.9412865!4d100.7308637!16s%2Fg%2F11ncfts9ch!19sChIJ2bi8N29JKy4RnxGQwq2hMPg?authuser=0&hl=en&rclk=1,
BFC BRINED CHICKEN  BURGER,https://www.google.com/maps/place/BFC+BRINED+CHICKEN+%26+BURGER/data=!4m7!3m6!1s0x2e2b3328b9d791b7:0xcadc7779e16f63ca!8m2!3d-0.7924218!4d100.6526198!16s%2Fg%2F11j5wky1zq!19sChIJt5HXuSgzKy4RymNv4Xl33Mo?authuser=0&hl=en&rclk=1,
SUP  SOTO MAK DATUAK,https://www.google.com/maps/place/SUP+%26+SOTO+MAK.+DATUAK/data=!4m7!3m6!1s0x2e2b2e2b0704664d:0xc76bae7763fded9f!8m2!3d-0.7372511!4d100.7524248!16s%2Fg%2F11c329kfxh!19sChIJTWYEBysuKy4Rn-39Y3eua8c?authuser=0&hl=en&rclk=1,
Bakso Pasar Raya Bukit Sileh Maridi,https://www.google.com/maps/place/Bakso+Pasar+Raya+Bukit+Sileh+(Maridi)/data=!4m7!3m6!1s0x2e2b4901971c0db7:0x2f63e762d9350517!8m2!3d-0.9530724!4d100.716392!16s%2Fg%2F11fm3ym3_z!19sChIJtw0clwFJKy4RFwU12WLnYy8?authuser=0&hl=en&rclk=1,
PONDOK SOTO SOP MARTABAK MESIR WARNA BARU,"https://www.google.com/maps/place/PONDOK+SOTO,+SOP,+MARTABAK+MESIR+WARNA+BARU/data=!4m7!3m6!1s0x2e2b511094e3515b:0x279deb8b6f9f123a!8m2!3d-1.0525124!4d100.7478573!16s%2Fg%2F11q2w05fmb!19sChIJW1HjlBBRKy4ROhKfb4vrnSc?authuser=0&hl=en&rclk=1",
Mami Hotel  Restaurant,https://www.google.com/maps/place/Mami+Hotel+%26+Restaurant/data=!4m10!3m9!1s0x2e2b3305fa8d94ff:0xd77875482400d32f!5m2!4m1!1i2!8m2!3d-0.7870537!4d100.6537483!16s%2Fg%2F11bx9wv2t6!19sChIJ_5SN-gUzKy4RL9MAJEh1eNc?authuser=0&hl=en&rclk=1,
SY Frozenmart Menyediakan Aneka Sosis Dan Sate Seafood,https://www.google.com/maps/place/S%26Y+Frozenmart+Menyediakan+Aneka+Sosis+Dan+Sate+Seafood/data=!4m7!3m6!1s0x2e2b338680d52641:0xb21e65a207a5e1a2!8m2!3d-0.7878932!4d100.6611783!16s%2Fg%2F11g1lhhv8r!19sChIJQSbVgIYzKy4RouGlB6JlHrI?authuser=0&hl=en&rclk=1,
Nasi Sup Sate  Nasi Goreng Katupek Gulai,"https://www.google.com/maps/place/Nasi+Sup,+Sate+%26+Nasi+Goreng+Katupek+Gulai/data=!4m7!3m6!1s0x2e2b3362f6cec745:0x6b2e5c044eef4580!8m2!3d-0.8134473!4d100.6509726!16s%2Fg%2F11c6095s29!19sChIJRcfO9mIzKy4RgEXvTgRcLms?authuser=0&hl=en&rclk=1",
Nasi Sup Vera  Kiki,https://www.google.com/maps/place/Nasi+Sup+Vera+%26+Kiki/data=!4m7!3m6!1s0x2e2b25f34a1b2497:0x5833df9a664a8be!8m2!3d-0.7021047!4d100.8264784!16s%2Fg%2F11h2n4_zk0!19sChIJlyQbSvMlKy4Rvqhkpvk9gwU?authuser=0&hl=en&rclk=1,
Nasi Sup  Soto Pak Mayor,https://www.google.com/maps/place/Nasi+Sup+%26+Soto+Pak+Mayor/data=!4m7!3m6!1s0x2e2b4d450cd553c9:0xb2c88b7ae866f0c3!8m2!3d-0.9934719!4d100.6240952!16s%2Fg%2F11g0yc73_m!19sChIJyVPVDEVNKy4Rw_Bm6HqLyLI?authuser=0&hl=en&rclk=1,
Rumah makan rafi,https://www.google.com/maps/place/Rumah+makan+%22rafi%22/data=!4m7!3m6!1s0x2e2b1dfbca8997cb:0x89d7da1a0574d686!8m2!3d-0.6647007!4d101.0711758!16s%2Fg%2F11fk1lpplt!19sChIJy5eJyvsdKy4RhtZ0BRra14k?authuser=0&hl=en&rclk=1,
Sate Ayam  Daging,https://www.google.com/maps/place/Sate+Ayam+%26+Daging/data=!4m7!3m6!1s0x2e2b2213f38751dd:0xeb270d33e7e29f0e!8m2!3d-0.6799171!4d100.9641014!16s%2Fg%2F11j8qf0nhl!19sChIJ3VGH8xMiKy4RDp_i5zMNJ-s?authuser=0&hl=en&rclk=1,
RM Phutti Anjola,https://www.google.com/maps/place/RM.+Phutti+Anjola/data=!4m7!3m6!1s0x2e2b23bcdb80d47d:0x21c1bbec3c08f2e8!8m2!3d-0.6660878!4d100.9470854!16s%2Fg%2F11flzqtjj9!19sChIJfdSA27wjKy4R6PIIPOy7wSE?authuser=0&hl=en&rclk=1,
Kedai Sate HSajar,https://www.google.com/maps/place/Kedai+Sate+%22H.Sajar%22/data=!4m7!3m6!1s0x2e2b227fe5d6dc25:0x7365631ae63578d7!8m2!3d-0.7017199!4d100.979658!16s%2Fg%2F11c5z_6vp3!19sChIJJdzW5X8iKy4R13g15hpjZXM?authuser=0&hl=en&rclk=1,
 Restoran  Rumah Makan Keluarga spTugu Muaro,https://www.google.com/maps/place/%F0%9F%8D%BD+Restoran+%26+Rumah+Makan+Keluarga+sp.Tugu+Muaro/data=!4m7!3m6!1s0x2e2b21a478910381:0x5e82759f16f7b0a6!8m2!3d-0.6641946!4d100.9404379!16s%2Fg%2F11jg5_w7zz!19sChIJgQOReKQhKy4RprD3Fp91gl4?authuser=0&hl=en&rclk=1,
Kedai Mutia  cafe,https://www.google.com/maps/place/Kedai+Mutia+%26+cafe/data=!4m7!3m6!1s0x2e2b194b12e64275:0xab405ba20a2681d2!8m2!3d-0.7331339!4d100.9855781!16s%2Fg%2F11jq_nbph2!19sChIJdULmEksZKy4R0oEmCqJbQKs?authuser=0&hl=en&rclk=1,
