,title,link,keyword
0,Space Bar,https://www.google.com/maps/place/Space+Bar/data=!4m7!3m6!1s0x2dcdddd0a4ab76e3:0x26a424c788d0b86b!8m2!3d-8.3554448!4d116.0787587!16s%2Fg%2F11crzjq606!19sChIJ43arpNDdzS0Ra7jQiMckpCY?authuser=0&hl=en&rclk=1,
1,tembakau sintung,https://www.google.com/maps/place/tembakau+sintung/data=!4m7!3m6!1s0x2dcdb91f3f504d71:0x564e81831a3f9e2c!8m2!3d-8.6139537!4d116.2226654!16s%2Fg%2F11hz6tdwj8!19sChIJcU1QPx-5zS0RLJ4_GoOBTlY?authuser=0&hl=en&rclk=1,
2,Pangkas rambut MAMIQ GDe,https://www.google.com/maps/place/Pangkas+rambut+MAMIQ+GDe/data=!4m7!3m6!1s0x2dcdcb899464e933:0x4262e653f83fdc5!8m2!3d-8.5499582!4d116.4031083!16s%2Fg%2F11fvy6g126!19sChIJM-lklInLzS0Rxf2DP2UuJgQ?authuser=0&hl=en&rclk=1,
3,Heycha,https://www.google.com/maps/place/Heycha/data=!4m7!3m6!1s0x2dcdb54ff25ecdb5:0x1c39742879e168ba!8m2!3d-8.5878167!4d116.3297988!16s%2Fg%2F11kch3jbff!19sChIJtc1e8k-1zS0RumjheSh0ORw?authuser=0&hl=en&rclk=1,
4,Bar Hygge,https://www.google.com/maps/place/Bar+Hygge/data=!4m7!3m6!1s0x89c8047d99a58895:0x243dba7ed8e4d63d!8m2!3d39.9670061!4d-75.1660941!16s%2Fg%2F11cjkp_pp4!19sChIJlYilmX0EyIkRPdbk2H66PSQ?authuser=0&hl=en&rclk=1,
5,Annida Sport  Musik,https://www.google.com/maps/place/Annida+Sport+%26+Musik/data=!4m7!3m6!1s0x2dcdbeb62458009b:0x428346148d5e4340!8m2!3d-8.6457837!4d116.1280505!16s%2Fg%2F11cmstjm14!19sChIJmwBYJLa-zS0RQENejRRGg0I?authuser=0&hl=en&rclk=1,
6,Win99,https://www.google.com/maps/place/Win99%25/data=!4m7!3m6!1s0x2dcdbf40eb76d1db:0x358dad234e422e5f!8m2!3d-8.627433!4d116.1329741!16s%2Fg%2F11m_f1xr7m!19sChIJ29F260C_zS0RXy5CTiOtjTU?authuser=0&hl=en&rclk=1,
7,MG SPORT  MUSIC LOMBOK PT MAHARUPA GATRA,https://www.google.com/maps/place/MG+SPORT+%26+MUSIC+LOMBOK+(PT.+MAHARUPA+GATRA)/data=!4m7!3m6!1s0x2dcdc192df88d2a3:0x258facc1b2108c6d!8m2!3d-8.5841875!4d116.1129375!16s%2Fg%2F11pb1tgftd!19sChIJo9KI35LBzS0RbYwQssGsjyU?authuser=0&hl=en&rclk=1,
8,SPORA SPORT  Toko Olahraga Termurah,https://www.google.com/maps/place/SPORA+SPORT+(+Toko+Olahraga+Termurah)/data=!4m7!3m6!1s0x2dcdc1192f4e4c1f:0xd6b0f1440e35710b!8m2!3d-8.5722662!4d116.1086553!16s%2Fg%2F11h04k08xy!19sChIJH0xOLxnBzS0RC3E1DkTxsNY?authuser=0&hl=en&rclk=1,
9,Fitris Sport,https://www.google.com/maps/place/Fitri's+Sport/data=!4m7!3m6!1s0x2dcdbf99f1b8dedf:0xa0f08c0fc144a5c2!8m2!3d-8.5919913!4d116.0762431!16s%2Fg%2F11tjhkjq0x!19sChIJ39648Zm_zS0RwqVEwQ-M8KA?authuser=0&hl=en&rclk=1,
10,Grosir  Eceran Rendy Sport,https://www.google.com/maps/place/Grosir+%26+Eceran+Rendy+Sport/data=!4m7!3m6!1s0x2dcdb8a34ce5835b:0xf87debea5b3721a5!8m2!3d-8.5930568!4d116.155002!16s%2Fg%2F11gcdcr9k7!19sChIJW4PlTKO4zS0RpSE3W-rrffg?authuser=0&hl=en&rclk=1,
