,title,link,keyword
0,Warung Makan Coto Makasar,https://www.google.com/maps/place/Warung+Makan+Coto+Makasar/data=!4m7!3m6!1s0x2da155561cdebe39:0x85374a23c4268647!8m2!3d-5.3106542!4d123.1601547!16s%2Fg%2F11fqctf2tn!19sChIJOb7eHFZVoS0RR4YmxCNKN4U?authuser=0&hl=en&rclk=1,restaurants
1,Loket Pembayaran Listrik Online,https://www.google.com/maps/place/Loket+Pembayaran+Listrik+Online/data=!4m7!3m6!1s0x2da155539942594b:0x776d37ac4c6122f7!8m2!3d-5.3019734!4d123.1608082!16s%2Fg%2F11fn1_7pg6!19sChIJS1lCmVNVoS0R9yJhTKw3bXc?authuser=0&hl=en&rclk=1,restaurants
2,Warung Makan Rita,https://www.google.com/maps/place/Warung+Makan+Rita/data=!4m7!3m6!1s0x2da1551736cccd67:0x41f8d7736c8e0d8e!8m2!3d-5.3183898!4d123.1657522!16s%2Fg%2F11h46g87t3!19sChIJZ83MNhdVoS0Rjg2ObHPX-EE?authuser=0&hl=en&rclk=1,restaurants
3,Rumah Makan Pangandaran,https://www.google.com/maps/place/Rumah+Makan+Pangandaran/data=!4m7!3m6!1s0x2da15726365d9fc9:0xf33dc7b27c977641!8m2!3d-5.285645!4d123.1433233!16s%2Fg%2F11j8w6s3kb!19sChIJyZ9dNiZXoS0RQXaXfLLHPfM?authuser=0&hl=en&rclk=1,restaurants
4,Warung Makan Mbak Soni,https://www.google.com/maps/place/Warung+Makan+Mbak+Soni/data=!4m7!3m6!1s0x2da155c61c4d81af:0xebc08dba24aa7b41!8m2!3d-5.3129791!4d123.1596227!16s%2Fg%2F11hythkmz3!19sChIJr4FNHMZVoS0RQXuqJLqNwOs?authuser=0&hl=en&rclk=1,restaurants
5,Warung Makan Ambon,https://www.google.com/maps/place/Warung+Makan+Ambon/data=!4m7!3m6!1s0x2da155b1b43af373:0xf095e91aa2ebd7c3!8m2!3d-5.329642!4d123.1602231!16s%2Fg%2F11hytg1q7z!19sChIJc_M6tLFVoS0Rw9frohrplfA?authuser=0&hl=en&rclk=1,restaurants
6,Warung Makan Pelipur Lapar,https://www.google.com/maps/place/Warung+Makan+Pelipur+Lapar/data=!4m7!3m6!1s0x2da1551f3da7188f:0x62275ffee4c47b54!8m2!3d-5.3207551!4d123.1656752!16s%2Fg%2F11flk8tv28!19sChIJjxinPR9VoS0RVHvE5P5fJ2I?authuser=0&hl=en&rclk=1,restaurants
7,WM Ayam Geprek Mbak Cempluk,https://www.google.com/maps/place/WM.+Ayam+Geprek+Mbak+Cempluk/data=!4m7!3m6!1s0x2da1517d57fbdddb:0xf20b788d5e29befb!8m2!3d-5.294349!4d123.1744938!16s%2Fg%2F11n0zh8kgw!19sChIJ2937V31RoS0R-74pXo14C_I?authuser=0&hl=en&rclk=1,restaurants
8,Rumah makan wakatobi,https://www.google.com/maps/place/Rumah+makan+wakatobi/data=!4m7!3m6!1s0x2da3e782d07d1da1:0xede39439f7735c40!8m2!3d-5.1664359!4d122.9371133!16s%2Fg%2F11fs03_2lt!19sChIJoR190ILnoy0RQFxz9zmU4-0?authuser=0&hl=en&rclk=1,restaurants
9,KEDAI MAZ CANDRA MIE AYAM BAKSO,https://www.google.com/maps/place/KEDAI+MAZ+CANDRA+(MIE+AYAM+BAKSO)/data=!4m7!3m6!1s0x2da155478b93b5f5:0xd65eef049c4de2e2!8m2!3d-5.3183436!4d123.1640076!16s%2Fg%2F11fsryqhwg!19sChIJ9bWTi0dVoS0R4uJNnATvXtY?authuser=0&hl=en&rclk=1,restaurants
