title,link,keyword
Happy CINEMA  Mini Bioskop,https://www.google.com/maps/place/Happy+CINEMA+-+Mini+Bioskop/data=!4m7!3m6!1s0x2dd240fa219ecb9f:0x6b06f778e92b6292!8m2!3d-8.6807966!4d115.2302017!16s%2Fg%2F1q6634tn4!19sChIJn8ueIfpA0i0RkmIr6Xj3Bms?authuser=0&hl=en&rclk=1,
Cinépolis Lippo Mall Kuta,https://www.google.com/maps/place/Cin%C3%A9polis+Lippo+Mall+Kuta/data=!4m7!3m6!1s0x2dd2441f95461c79:0xd8b54387ece06ff4!8m2!3d-8.7355031!4d115.1666107!16s%2Fg%2F11bx45k69y!19sChIJeRxGlR9E0i0R9G_g7IdDtdg?authuser=0&hl=en&rclk=1,
Directors Club Cinema,https://www.google.com/maps/place/Director's+Club+Cinema/data=!4m7!3m6!1s0x3397c815f83ba9e3:0xb692173a992ca653!8m2!3d14.583475!4d121.05619!16s%2Fg%2F11bc7v251k!19sChIJ46k7-BXIlzMRU6YsmToXkrY?authuser=0&hl=en&rclk=1,
TOHO Cinemas Nihonbashi,https://www.google.com/maps/place/TOHO+Cinemas+Nihonbashi/data=!4m7!3m6!1s0x60188955af30ed01:0xcaf08d311369e3ba!8m2!3d35.6869002!4d139.7748527!16s%2Fg%2F12xqvm9b4!19sChIJAe0wr1WJGGARuuNpEzGN8Mo?authuser=0&hl=en&rclk=1,
Cineworld Cinema Aberdeen Union Square,https://www.google.com/maps/place/Cineworld+Cinema+Aberdeen+Union+Square/data=!4m7!3m6!1s0x48840e3bb2382d41:0xeeb8499ea8953f27!8m2!3d57.1437368!4d-2.0967977!16s%2Fg%2F1hc9zhdpw!19sChIJQS04sjsOhEgRJz-VqJ5JuO4?authuser=0&hl=en&rclk=1,
Vue Cinema Stroud,https://www.google.com/maps/place/Vue+Cinema+Stroud/data=!4m7!3m6!1s0x48710c0205d130c3:0xc8c0eb399efce83!8m2!3d51.7464936!4d-2.2186554!16s%2Fg%2F1ptx41zlq!19sChIJwzDRBQIMcUgRg87vmbMOjAw?authuser=0&hl=en&rclk=1,
CGV Vincom Metropolis Lieu Giai,https://www.google.com/maps/place/CGV+Vincom+Metropolis+Lieu+Giai/data=!4m7!3m6!1s0x3135abbdc9a7f06d:0x6760dec9dad7a955!8m2!3d21.0314935!4d105.814765!16s%2Fg%2F11fjs7gx99!19sChIJbfCnyb2rNTERVanX2sneYGc?authuser=0&hl=en&rclk=1,
Landmarks Bethesda Row Cinema,https://www.google.com/maps/place/Landmark's+Bethesda+Row+Cinema/data=!4m7!3m6!1s0x89b7c963bc14c891:0x1f51c62ab29972e2!8m2!3d38.9816861!4d-77.0951649!16s%2Fg%2F1tfw3ycj!19sChIJkcgUvGPJt4kR4nKZsirGUR8?authuser=0&hl=en&rclk=1,
Cinema Village,https://www.google.com/maps/place/Cinema+Village/data=!4m7!3m6!1s0x89c25999ca135ddd:0xbd7ca23deaac9641!8m2!3d40.7340823!4d-73.9933681!16s%2Fg%2F1tg_mk5g!19sChIJ3V0TyplZwokRQZas6j2ifL0?authuser=0&hl=en&rclk=1,
Starlight Cinema,https://www.google.com/maps/place/Starlight+Cinema/data=!4m7!3m6!1s0x3141a12537c6c89b:0x8e03dffebd74012b!8m2!3d16.4707154!4d107.5872871!16s%2Fg%2F11gfndg_dq!19sChIJm8jGNyWhQTERKwF0vf7fA44?authuser=0&hl=en&rclk=1,
Vue Cinema Bedford,https://www.google.com/maps/place/Vue+Cinema+Bedford/data=!4m7!3m6!1s0x4877b12155555555:0xe853871c67893d5f!8m2!3d52.1346846!4d-0.4699654!16s%2Fg%2F11fxwjymlq!19sChIJVVVVVSGxd0gRXz2JZxyHU-g?authuser=0&hl=en&rclk=1,
Centre Cinéma Impérial,https://www.google.com/maps/place/Centre+Cin%C3%A9ma+Imp%C3%A9rial/data=!4m7!3m6!1s0x4cc91a4f6ea28fc9:0xe7cd093efdeacb62!8m2!3d45.5064787!4d-73.5678191!16s%2Fm%2F0lkvhkg!19sChIJyY-ibk8ayUwRYsvq_T4Jzec?authuser=0&hl=en&rclk=1,
pagi senja picture,https://www.google.com/maps/place/pagi+senja+picture/data=!4m7!3m6!1s0x2dd7d4a6a320e7f5:0x4192f730451b9bed!8m2!3d-7.8208775!4d112.7099696!16s%2Fg%2F11g8yh4_v7!19sChIJ9ecgo6bU1y0R7ZsbRTD3kkE?authuser=0&hl=en&rclk=1,
ODEON Belfast,https://www.google.com/maps/place/ODEON+Belfast/data=!4m7!3m6!1s0x48610855b8138877:0x8197a93ce8bf669f!8m2!3d54.5983819!4d-5.9255342!16s%2Fg%2F1whdhrxt!19sChIJd4gTuFUIYUgRn2a_6Dypl4E?authuser=0&hl=en&rclk=1,
ODEON Luxe Tamworth,https://www.google.com/maps/place/ODEON+Luxe+Tamworth/data=!4m7!3m6!1s0x4870a96221268d01:0xa168f5b3a4d8c965!8m2!3d52.6318713!4d-1.6907079!16s%2Fg%2F1v9gjfm8!19sChIJAY0mIWKpcEgRZcnYpLP1aKE?authuser=0&hl=en&rclk=1,
Cinema Center,https://www.google.com/maps/place/Cinema+Center/data=!4m7!3m6!1s0x8815e493760d4b41:0x7d0e51f468eaa63!8m2!3d41.080708!4d-85.1333969!16s%2Fg%2F1tqtyg_z!19sChIJQUsNdpPkFYgRY6qORh_l0Ac?authuser=0&hl=en&rclk=1,
