title,address,contact_number,amenities,coordinate,regency
QUEENZI VILLA & KOLAM RENANG,"Ciburial, Cimanggu, Pandeglang Regency, Banten 42284 ",phone:tel:085624169522,,"-6.722202, 105.6704333", Pandeglang 
Villa sakinah,"J7M3+W99, West Rangkasbitung, Rangkasbitung, Lebak Regency, Banten 42312 ",phone:tel:085282572810,,"-6.3652207, 106.2534735", Lebak 
Villa Tangerang Regency 2,,,,"-2.44565, 117.8888",
"Villa H.HASYIM ,LINGKAR HARJATANI","X32F+XF6, Harjatani, Kramatwatu, Serang Regency, Banten 42616 ",phone:tel:02548370248,,"-6.0475895, 106.0736297", Serang 
Rumah Azkadit,"Kampung Cikondang Sawoduren No.Rt 003/10, Cikalong, Kec. Cibitung, Kabupaten Pandeglang, Banten ",,,"-6.7482706, 105.6881788",  Pandeglang
Villa Nizam Asri,"C9W2+4V, Harumsari, Cipanas, Lebak Regency, Banten 42372 ",,,"-6.5546475, 106.3521339", Lebak 
Villa Tangerang Indah RW 10,"RHHQ+V34, Jl. Raya Villa Tangerang Indah, RW.010, Gebang Raya, Kec. Periuk, Kota Tangerang, Banten 15132 ",,,"-6.1703535, 106.5876997",  Tangerang
Villa Komala,"Kp. Parung Sentul, Sinarmukti, Kec. Baros, Kabupaten Serang, Banten 42173 ",,,"-6.219433, 106.1441694",  Serang
villa gogona,"7M2Q+M7V, Cikalong, Cibitung, Pandeglang Regency, Banten 42285 ",phone:tel:083899272416,,"-6.7482706, 105.6881788", Pandeglang 
Villa Baim 99,"Kp cipancur pasir, RT.03/RW.04, Pasirtanjung, Kec. Rangkasbitung, Kabupaten Lebak, Banten 42312 ",phone:tel:089616171112,,"-6.4043413, 106.2698669",  Lebak
Villa mutiara pluit,"Blok E5, Jl. Nusa Indah Raya II, RT.003/RW.009, Periuk, Tangerang City, Banten 15131 ",,,"-6.1639566, 106.5954344", Tangerang 
Villa Kongkow Cikeas,"W4Q6+9GG, Jl. Pejaten Mas 4, Pejaten Mas, Kec. Kramatwatu, Kabupaten Serang, Banten 42616 ",,,"-6.0615526, 106.1113179",  Serang
SAUNG SARKANI,"6PM3+3CX, Cikadu, Cibitung, Pandeglang Regency, Banten ",,,"-6.7672607, 105.7036173", Pandeglang 
Villa Garden,"FC9R+9XW, Unnamed Road, Jugala Jaya, Kec. Jasinga, Kabupaten Bogor, Jawa Barat 16670 ",phone:tel:081410962012,,"-6.5315072, 106.442446",  Bogor
Villa Parung Sentul,"Kp Parung Sentul, Sinarmukti, Kec. Baros, Kabupaten Serang, Banten 42173 ",,,"-6.2194244, 106.1435163",  Serang
Darrelchito Bungalows,"7J8X+G66, Padasuka, Cimanggu, Pandeglang Regency, Banten 42284 ",phone:tel:08111444100,,"-6.7337017, 105.6480004", Pandeglang 
Bumi Paniisan,"Jl.Otista, kp.keboncau no.2, RT.02 RW.09, Kel, Cijoro Pasir, Rangkasbitung, Lebak Regency, Banten 42316 ",,,"-6.349161, 106.265006", Lebak 
Villa anwar,"Q3RP+FJ4, Pabuaran, Serang Regency, Banten 42163 ",,,"-6.2088583, 106.0865754", Serang 
Villa Cibeber,"7MJ2+5XC, Padasuka, Cimanggu, Pandeglang Regency, Banten 42284 ",phone:tel:081574928326,,"-6.7195502, 105.6523764", Pandeglang 
Al-Biruni,"J66Q+223, Jl. Raya Leuwidamar, Kalanganyar, Kec. Kalanganyar, Kabupaten Lebak, Banten 42312 ",,,"-6.3900074, 106.2375913",  Lebak
Villa garden family,"Rt/Rw 001/006 Jalan Link. Kandang Kurung, Gelam, Kec. Cipocok Jaya, Kota Serang, Banten 42128 ",,,"-6.153715, 106.1334317",  Serang
SekretariatPanwasluKecCimanggu,"7MH5+29Q, Ciburial, Cimanggu, Pandeglang Regency, Banten ",,,"-6.7224108, 105.6584854", Pandeglang 
Rumah Onyok,"Kp. Rumbut RT. 02/02, Kaduagung Bar., Kec. Cibadak, Kabupaten Lebak, Banten 42318 ",phone:tel:085219700247,,"-6.3423416, 106.207355",  Lebak
villa mugi barokah,"V52M+5C4, Jl. Mayabon, Banjarsari, Kec. Cipocok Jaya, Kota Serang, Banten 42123 ",,,"-6.1496209, 106.1835835",  Serang
Rumah Dd Yeni,"Namprak, Mendung, Kec. Cibaliung, Kabupaten Pandeglang, Banten 42285 ",,,"-6.7001838, 105.717022",  Pandeglang
