title,link,keyword
Gunung Dandang,https://www.google.com/maps/place/Gunung+Dandang/data=!4m7!3m6!1s0x2e7afabcc41d2be3:0xad0e13b4a0014b56!8m2!3d-7.8175!4d110.16!16s%2Fg%2F11b_2pzytn!19sChIJ4ysdxLz6ei4RVksBoLQTDq0?authuser=0&hl=en&rclk=1,mountain
Gunung Tinumpuk,https://www.google.com/maps/place/Gunung+Tinumpuk/data=!4m7!3m6!1s0x2e7aef0cee140d29:0xb65d0f421c408dd1!8m2!3d-7.7875!4d110.0847222!16s%2Fg%2F11b_2p0yl5!19sChIJKQ0U7gzvei4R0Y1AHEIPXbY?authuser=0&hl=en&rclk=1,mountain
Gunung Tumpeng,https://www.google.com/maps/place/Gunung+Tumpeng/data=!4m7!3m6!1s0x2e7aefb28a8733e3:0x9862d9f8e2f506a7!8m2!3d-7.7702778!4d110.1058333!16s%2Fg%2F11b_2mmcvq!19sChIJ4zOHirLvei4Rpwb14vjZYpg?authuser=0&hl=en&rclk=1,mountain
Gunung Moyeng,https://www.google.com/maps/place/Gunung+Moyeng/data=!4m7!3m6!1s0x2e7af1a4f5e738f5:0x55bf7f2de20d15f9!8m2!3d-7.7502778!4d110.1788889!16s%2Fg%2F11b_2n6m90!19sChIJ9Tjn9aTxei4R-RUN4i1_v1U?authuser=0&hl=en&rclk=1,mountain
Gunung Pajutelu,https://www.google.com/maps/place/Gunung+Pajutelu/data=!4m7!3m6!1s0x2e7aee2bd5e662ef:0x877becb4bb9aba87!8m2!3d-7.7611111!4d110.1369444!16s%2Fg%2F11b_2l0dtl!19sChIJ72Lm1Svuei4Rh7qau7Tse4c?authuser=0&hl=en&rclk=1,mountain
Gunung Pencu,https://www.google.com/maps/place/Gunung+Pencu/data=!4m7!3m6!1s0x2e7aefda6b30feab:0x1da4a28d12ab8419!8m2!3d-7.7777778!4d110.1327778!16s%2Fg%2F11b_2lnzsm!19sChIJq_4wa9rvei4RGYSrEo2ipB0?authuser=0&hl=en&rclk=1,mountain
Menoreh Mountains,https://www.google.com/maps/place/Menoreh+Mountains/data=!4m7!3m6!1s0x2e7ae8aa16569ca7:0x5cfc5f6ae2ffe3e8!8m2!3d-7.8110425!4d110.039966!16s%2Fg%2F122cnv53!19sChIJp5xWFqroei4R6OP_4mpf_Fw?authuser=0&hl=en&rclk=1,mountain
Gunung Mujil,https://www.google.com/maps/place/Gunung+Mujil/data=!4m7!3m6!1s0x2e7af174a6ea20a5:0xf6a7f4baefb9e5b7!8m2!3d-7.7419444!4d110.1936111!16s%2Fg%2F1tdsswxg!19sChIJpSDqpnTxei4Rt-W577r0p_Y?authuser=0&hl=en&rclk=1,mountain
Gunung Krengseng,https://www.google.com/maps/place/Gunung+Krengseng/data=!4m7!3m6!1s0x2e7aee3b5ed564ff:0x6b53f7adb5ce213c!8m2!3d-7.7513889!4d110.1272222!16s%2Fg%2F11b_2p0yy3!19sChIJ_2TVXjvuei4RPCHOta33U2s?authuser=0&hl=en&rclk=1,mountain
Gunung Gajah,https://www.google.com/maps/place/Gunung+Gajah/data=!4m7!3m6!1s0x2e7aede7f682cc7b:0xd172fa72e0a5081c!8m2!3d-7.7166667!4d110.1166667!16s%2Fg%2F11b_00nnfs!19sChIJe8yC9uftei4RHAil4HL6ctE?authuser=0&hl=en&rclk=1,mountain
Gunung Sigepak,https://www.google.com/maps/place/Gunung+Sigepak/data=!4m7!3m6!1s0x2e7aefae5be49111:0xda983f4e12303035!8m2!3d-7.7747222!4d110.1019444!16s%2Fg%2F11b_2qddmh!19sChIJEZHkW67vei4RNTAwEk4_mNo?authuser=0&hl=en&rclk=1,mountain
Gunung Ngesong,https://www.google.com/maps/place/Gunung+Ngesong/data=!4m7!3m6!1s0x2e7aee3010ec8dab:0xbf99eb97f7de933c!8m2!3d-7.7572222!4d110.1275!16s%2Fg%2F11b_2q5pfv!19sChIJq43sEDDuei4RPJPe95frmb8?authuser=0&hl=en&rclk=1,mountain
Gunung Cakel,https://www.google.com/maps/place/Gunung+Cakel/data=!4m7!3m6!1s0x2e7aef7a63ae0cdb:0x5dcab6cc65cea86f!8m2!3d-7.8005556!4d110.0838889!16s%2Fg%2F11b_2mf3js!19sChIJ2wyuY3rvei4Rb6jOZcy2yl0?authuser=0&hl=en&rclk=1,mountain
Gunung Patuk,https://www.google.com/maps/place/Gunung+Patuk/data=!4m7!3m6!1s0x2e7af6562995ec49:0x5276ad54706afcbb!8m2!3d-7.7516667!4d110.2833333!16s%2Fg%2F11b_2kvlqy!19sChIJSeyVKVb2ei4Ru_xqcFStdlI?authuser=0&hl=en&rclk=1,mountain
Gunung Suru,https://www.google.com/maps/place/Gunung+Suru/data=!4m7!3m6!1s0x2e7af04a356423af:0x8f66b02a092c38d9!8m2!3d-7.7686111!4d110.1669444!16s%2Fg%2F11b_2qdd8s!19sChIJryNkNUrwei4R2TgsCSqwZo8?authuser=0&hl=en&rclk=1,mountain
Gunung Bekikuk,https://www.google.com/maps/place/Gunung+Bekikuk/data=!4m7!3m6!1s0x2e7aefe9b4277041:0xc5cb19c62f6c83be!8m2!3d-7.7888889!4d110.125!16s%2Fg%2F11b_2krqd8!19sChIJQXAntOnvei4RvoNsL8YZy8U?authuser=0&hl=en&rclk=1,mountain
Gunung Prahu,https://www.google.com/maps/place/Gunung+Prahu/data=!4m7!3m6!1s0x2e7af107dadadc61:0x72ab1b5a4f05253b!8m2!3d-7.7538889!4d110.19!16s%2Fg%2F11b_2lgynx!19sChIJYdza2gfxei4ROyUFT1obq3I?authuser=0&hl=en&rclk=1,mountain
Gunung Kuntur,https://www.google.com/maps/place/Gunung+Kuntur/data=!4m7!3m6!1s0x2e7af27247e917ad:0x4417f9b017de3639!8m2!3d-7.7!4d110.15!16s%2Fg%2F11b_0297nh!19sChIJrRfpR3Lyei4ROTbeF7D5F0Q?authuser=0&hl=en&rclk=1,mountain
Gunung Manik,https://www.google.com/maps/place/Gunung+Manik/data=!4m7!3m6!1s0x2e7af24a777c02f9:0x60ef89c40ca6302c!8m2!3d-7.7019444!4d110.1841667!16s%2Fg%2F11b_2kdc3c!19sChIJ-QJ8d0ryei4RLDCmDMSJ72A?authuser=0&hl=en&rclk=1,mountain
Gunung Gepak,https://www.google.com/maps/place/Gunung+Gepak/data=!4m7!3m6!1s0x2e7aee536aba49d3:0x4372261258a69d7b!8m2!3d-7.7666667!4d110.1!16s%2Fg%2F11b_021_9v!19sChIJ00m6alPuei4Re52mWBImckM?authuser=0&hl=en&rclk=1,mountain
Gunung Puntuklembu,https://www.google.com/maps/place/Gunung+Puntuklembu/data=!4m7!3m6!1s0x2e7aec5c0dcdc607:0x7c9d2f0ba8693a5d!8m2!3d-7.6930556!4d110.0741667!16s%2Fg%2F11b_31m4w9!19sChIJB8bNDVzsei4RXTppqAsvnXw?authuser=0&hl=en&rclk=1,mountain
Gunung Guntur,https://www.google.com/maps/place/Gunung+Guntur/data=!4m7!3m6!1s0x2e7aec1ddd1cbfc3:0xfd79bc25898549da!8m2!3d-7.7272222!4d110.0622222!16s%2Fg%2F11b_2jk9p3!19sChIJw78c3R3sei4R2kmFiSW8ef0?authuser=0&hl=en&rclk=1,mountain
