title,link,keyword
cafe bintang baloiya,https://www.google.com/maps/place/cafe+bintang+baloiya/data=!4m7!3m6!1s0x2dba390b2bb08cc1:0xfbb051b2cf9ceffe!8m2!3d-6.2869786!4d120.5048792!16s%2Fg%2F11ftwcfwjg!19sChIJwYywKws5ui0R_u-cz7JRsPs?authuser=0&hl=en&rclk=1,restaurants
Biahasa,https://www.google.com/maps/place/Biahasa/data=!4m7!3m6!1s0x2dba39f8d7e88343:0x5c07967de7fe0329!8m2!3d-6.2759799!4d120.4536453!16s%2Fg%2F11fwdcpxs6!19sChIJQ4Po1_g5ui0RKQP-532WB1w?authuser=0&hl=en&rclk=1,restaurants
Warung Dirga,https://www.google.com/maps/place/Warung+Dirga/data=!4m7!3m6!1s0x2dba37f579b6e725:0x5561bf3b45b0e9!8m2!3d-6.243404!4d120.4689475!16s%2Fg%2F11ng75p605!19sChIJJee2efU3ui0R6bBFO79hVQA?authuser=0&hl=en&rclk=1,restaurants
BALOIYA BEACH RESTO & HALL,https://www.google.com/maps/place/BALOIYA+BEACH+RESTO+%26+HALL/data=!4m7!3m6!1s0x2dba36a8f10903a5:0x170d474d4e4378b7!8m2!3d-6.2001985!4d120.4453619!16s%2Fg%2F11f_b_dhrh!19sChIJpQMJ8ag2ui0Rt3hDTk1HDRc?authuser=0&hl=en&rclk=1,restaurants
Sungai Lanta Dosa,https://www.google.com/maps/place/Sungai+Lanta+Dosa/data=!4m7!3m6!1s0x2dba3616918afd1f:0xe81c747c44b4b62e!8m2!3d-6.2089023!4d120.5117062!16s%2Fg%2F11c5t2rdf_!19sChIJH_2KkRY2ui0RLra0RHx0HOg?authuser=0&hl=en&rclk=1,restaurants
Kedai kopi kalita,https://www.google.com/maps/place/Kedai+kopi+kalita/data=!4m7!3m6!1s0x2dba3739681129d7:0xf45ff086a014e6cc!8m2!3d-6.2049225!4d120.478925!16s%2Fg%2F11hdvskpj8!19sChIJ1ykRaDk3ui0RzOYUoIbwX_Q?authuser=0&hl=en&rclk=1,restaurants
Warung Konro dan Pallu Kassi,https://www.google.com/maps/place/Warung+Konro+dan+Pallu+Kassi/data=!4m7!3m6!1s0x2dbbcbe52087b38f:0x60b529bd4df838f1!8m2!3d-6.1216427!4d120.4630252!16s%2Fg%2F11sc3k_0tp!19sChIJj7OHIOXLuy0R8Tj4Tb0ptWA?authuser=0&hl=en&rclk=1,restaurants
Warung Inchi,https://www.google.com/maps/place/Warung+Inchi/data=!4m7!3m6!1s0x2dba378ff68512db:0xa363d9d13aabd35!8m2!3d-6.2446979!4d120.4703142!16s%2Fg%2F11gq_pglzd!19sChIJ2xKF9o83ui0RNb2qE509Ngo?authuser=0&hl=en&rclk=1,restaurants
RM. Wahyu Utari,https://www.google.com/maps/place/RM.+Wahyu+Utari/data=!4m7!3m6!1s0x2dba3734eadfd1cb:0x5efad026597333ff!8m2!3d-6.2468373!4d120.4706052!16s%2Fg%2F11m_w67vrm!19sChIJy9Hf6jQ3ui0R_zNzWSbQ-l4?authuser=0&hl=en&rclk=1,restaurants
RESTAURANT The 21,https://www.google.com/maps/place/RESTAURANT+The+21/data=!4m7!3m6!1s0x2dba35f8eca77ba7:0xac1c821c4243b425!8m2!3d-6.1237042!4d120.4640769!16s%2Fg%2F11q_6_jty3!19sChIJp3un7Pg1ui0RJbRDQhyCHKw?authuser=0&hl=en&rclk=1,restaurants
Dierra Cafe & Resto,https://www.google.com/maps/place/Dierra+Cafe+%26+Resto/data=!4m7!3m6!1s0x2dba35b194fac2a7:0x25e6d99fdbd116cc!8m2!3d-6.1272222!4d120.4617998!16s%2Fg%2F11mhxw9ds0!19sChIJp8L6lLE1ui0RzBbR25_Z5iU?authuser=0&hl=en&rclk=1,restaurants
Warung Mi_Chend,https://www.google.com/maps/place/Warung+Mi_Chend/data=!4m7!3m6!1s0x2dba358bb7c23ed9:0xb58a8e9af2f670ae!8m2!3d-6.133893!4d120.4628529!16s%2Fg%2F11fwwld4dv!19sChIJ2T7Ct4s1ui0RrnD28pqOirU?authuser=0&hl=en&rclk=1,restaurants
