title,link,keyword
Keluarga lumbon,https://www.google.com/maps/place/Keluarga+lumbon/data=!4m7!3m6!1s0x2d838b0985b528b1:0x27fe31f94b2225e8!8m2!3d-1.3325838!4d123.1012237!16s%2Fg%2F11s7hhg6d1!19sChIJsSi1hQmLgy0R6CUiS_kx_ic?authuser=0&hl=en&rclk=1,villa
Azzahra Cottage Poganda,https://www.google.com/maps/place/Azzahra+Cottage+Poganda/data=!4m7!3m6!1s0x2d840fe27392d08f:0xc1c4b497dde88d9d!8m2!3d-1.1801076!4d122.9122154!16s%2Fg%2F11s0zj0wsf!19sChIJj9CSc-IPhC0RnY3o3Ze0xME?authuser=0&hl=en&rclk=1,villa
Rumah Amrullah,https://www.google.com/maps/place/Rumah+Amrullah/data=!4m7!3m6!1s0x2d8385e8b934aa9f:0xb3b1cb15b6c70d81!8m2!3d-1.4661859!4d123.175326!16s%2Fg%2F11k4ldpy5c!19sChIJn6o0ueiFgy0RgQ3HthXLsbM?authuser=0&hl=en&rclk=1,villa
Villa green cafe,https://www.google.com/maps/place/Villa+green+cafe/data=!4m7!3m6!1s0x2d846341480ab449:0xae9adfbcc38ca593!8m2!3d-1.4879297!4d122.8253551!16s%2Fg%2F11k8ft2w7k!19sChIJSbQKSEFjhC0Rk6WMw7zfmq4?authuser=0&hl=en&rclk=1,villa
Home stay mesri mangadili,https://www.google.com/maps/place/Home+stay+mesri+mangadili/data=!4m7!3m6!1s0x2d83859731ccd2db:0xa8ecca7e3dec641f!8m2!3d-1.4505848!4d123.1710807!16s%2Fg%2F11k9gxw4ny!19sChIJ29LMMZeFgy0RH2TsPX7K7Kg?authuser=0&hl=en&rclk=1,villa
Villa Violetta at Minggu Villas Kerobokan,https://www.google.com/maps/place/Villa+Violetta+at+Minggu+Villas+Kerobokan/data=!4m7!3m6!1s0x2dd23956c97dd9eb:0x635afabdaad07260!8m2!3d-8.6702679!4d115.1665338!16s%2Fg%2F11jn5mqtpg!19sChIJ69l9yVY50i0RYHLQqr36WmM?authuser=0&hl=en&rclk=1,villa
VillaMIKComputer,https://www.google.com/maps/place/VillaMIK.Computer/data=!4m7!3m6!1s0x2d846d1a871b63bd:0x36f11bd45102b74f!8m2!3d-1.292037!4d122.8267954!16s%2Fg%2F11j12pp_yt!19sChIJvWMbhxpthC0RT7cCUdQb8TY?authuser=0&hl=en&rclk=1,villa
TK Ikhlas,https://www.google.com/maps/place/TK+Ikhlas/data=!4m7!3m6!1s0x2d83891681b05dfb:0x87ed339b3b51ee79!8m2!3d-1.3718153!4d123.1631815!16s%2Fg%2F11g0lkgs2p!19sChIJ-12wgRaJgy0Ree5RO5sz7Yc?authuser=0&hl=en&rclk=1,villa
Frangkly Langapa,https://www.google.com/maps/place/Frangkly+Langapa/data=!4m7!3m6!1s0x2d86911ab238360d:0x3978e4bcff740fe9!8m2!3d-0.8371664!4d122.5845728!16s%2Fg%2F11smt0l5sz!19sChIJDTY4shqRhi0R6Q90_7zkeDk?authuser=0&hl=en&rclk=1,villa
The Mujiono Lasitata Villa  Hills,https://www.google.com/maps/place/The+Mujiono+Lasitata+Villa+%26+Hills/data=!4m7!3m6!1s0x2d86a1d645dd7f6b:0x70210a6d21a3a0e2!8m2!3d-0.9682139!4d122.7780011!16s%2Fg%2F11hj1g3v97!19sChIJa3_dRdahhi0R4qCjIW0KIXA?authuser=0&hl=en&rclk=1,villa
Villa Racael,https://www.google.com/maps/place/Villa+Racael/data=!4m7!3m6!1s0x2d86a3948ecd1821:0x5bd7aef72570b705!8m2!3d-0.8999874!4d122.7943436!16s%2Fg%2F11rty5vkpv!19sChIJIRjNjpSjhi0RBbdwJfeu11s?authuser=0&hl=en&rclk=1,villa
Villa bukit keles,https://www.google.com/maps/place/Villa+bukit+keles/data=!4m7!3m6!1s0x2d86a3d4a69bfaf1:0xac293d09df07edae!8m2!3d-0.9346913!4d122.8020577!16s%2Fg%2F11h6m07kvg!19sChIJ8fqbptSjhi0Rru0H3wk9Kaw?authuser=0&hl=en&rclk=1,villa
Villa Makmur Hills Kilongan Permai,"https://www.google.com/maps/place/Villa+Makmur+Hills,+Kilongan+Permai./data=!4m7!3m6!1s0x2d86a571d9f21f01:0xf27ee66389e239a6!8m2!3d-0.9258898!4d122.8393538!16s%2Fg%2F11mvx9l0xp!19sChIJAR_y2XGlhi0RpjniiWPmfvI?authuser=0&hl=en&rclk=1",villa
Villa Disertasi,https://www.google.com/maps/place/Villa+Disertasi/data=!4m7!3m6!1s0x2d86a3a7345f7a95:0xb12788651bc2973e!8m2!3d-0.9378189!4d122.8042491!16s%2Fg%2F11slf71586!19sChIJlXpfNKejhi0RPpfCG2WIJ7E?authuser=0&hl=en&rclk=1,villa
Azzahra Cottage Poganda,https://www.google.com/maps/place/Azzahra+Cottage+Poganda/data=!4m7!3m6!1s0x2d86a13b8788eeb1:0x848bf360e06e0187!8m2!3d-0.9553459!4d122.7860711!16s%2Fg%2F11rhdzw0df!19sChIJse6Ihzuhhi0RhwFu4GDzi4Q?authuser=0&hl=en&rclk=1,villa
Arista yulianti,https://www.google.com/maps/place/Arista+yulianti/data=!4m7!3m6!1s0x2d86a14e8cc987e3:0xe544e90281908c02!8m2!3d-0.9741974!4d122.7813762!16s%2Fg%2F11qbv6g_9g!19sChIJ44fJjE6hhi0RAoyQgQLpROU?authuser=0&hl=en&rclk=1,villa
Mess Dclub,https://www.google.com/maps/place/Mess+Dclub/data=!4m7!3m6!1s0x2d86a1fd01e91bd7:0x2b673ee42f3eb376!8m2!3d-0.9982863!4d122.7938577!16s%2Fg%2F11t3cs1w4l!19sChIJ1xvpAf2hhi0RdrM-L-Q-Zys?authuser=0&hl=en&rclk=1,villa
Kel Hipan Kasonso Residance,https://www.google.com/maps/place/Kel.+Hipan+Kasonso+Residance/data=!4m7!3m6!1s0x2d86a1a78d7ccba7:0x792de24e223d6452!8m2!3d-0.9663297!4d122.7830291!16s%2Fg%2F11l8hfw_yq!19sChIJp8t8jaehhi0RUmQ9Ik7iLXk?authuser=0&hl=en&rclk=1,villa
Kos Rc,https://www.google.com/maps/place/Kos+Rc/data=!4m7!3m6!1s0x2d86a19356ca7173:0xccfc5fd75802a9aa!8m2!3d-0.9609068!4d122.7771025!16s%2Fg%2F11s5cyq3sr!19sChIJc3HKVpOhhi0RqqkCWNdf_Mw?authuser=0&hl=en&rclk=1,villa
Rumah aqila,https://www.google.com/maps/place/Rumah+aqila/data=!4m7!3m6!1s0x2d86a528ff587747:0xab00cca373996d95!8m2!3d-0.922933!4d122.8459471!16s%2Fg%2F11rk22j244!19sChIJR3dY_yilhi0RlW2Zc6PMAKs?authuser=0&hl=en&rclk=1,villa
