,title,review_point,review_total,sub_category,address,site,contact_number,open_hours,metadata,coordinate,regency,check_in,check_out
0,NIHI Indonesia Office,4.8,77 reviews,Corporate office,"Kuta Poleng Complex Blok C No. 2, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361 ",https://nihi.com/,0361757149, 9AM to 5PM,,"-8.7197607, 115.1829256",  Badung,,
1,Karana Villa - Private Pool Villa in Denpasar,4.0,229 reviews,,"Jl. Padang Mekar No.99X, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117 ",http://www.karanavilla.com/,0361488276, Open 24 hours,,"-8.658726, 115.1923156",  Denpasar,14:00,12:00
2,Joglo Villa Bali,4.3,202 reviews,,"Jl. Wijaya Kusuma III No.3A, Dangin Puri Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali 80234 ",,081237678327, 7AM to 9PM,,"-8.637506, 115.2257862",  Denpasar,14:00,11:00
3,SAKA UMAH VILLA,5.0,2 reviews,Villa,"Jl. Teuku Umar, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113 ",https://www.instagram.com/saka_villas,085792490060, 9AM to 5PM,,"-8.6700189, 115.2105831",  Denpasar,,
4,Aleesha Villas,4.3,271 reviews,,"Jl. Kesari II, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228 ",http://www.aleeshavillas.com/,0361282018,,,"-8.6972691, 115.2595232",  Denpasar,14:00,12:00
5,Bali Villa International,4.7,6 reviews,Villa,"85QV+7RF, Jl. Gunung Indrakila III Denpasar, Bali - Indonesia, Denpasar, Tegal Harum, Denpasar Barat, Denpasar City, Bali 80119 ",https://www.balivillainternational.com/,03618453043, 9AM to 5PM,,"-8.6618067, 115.1945482", Denpasar ,,
6,Ceri Villa Bali,4.4,27 reviews,Vacation home rental agency,"85FJ+C5R, Gang Puncak Sari, Jl. Gunung Salak Selatan, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117 ",https://www.airbnb.com/rooms/10929751,, 8AM to 8PM,,"-8.6763835, 115.1803843",  Denpasar,,
7,The Banyumas Villa,4.5,320 reviews,,"Jl. Tukad Banyumas No.1, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80225 ",http://www.thebanyumasvillas.com/,0361259888,,,"-8.6838858, 115.2271813",  Denpasar,14:00,12:00
8,Indonesia Bali Villas,5.0,1 review,Villa,"Jalan Professor Mohammad Yamin, no.1, 3rd floor, Renon, Panjer, Denpasar Selatan, Denpasar City, Bali 80226 ",,081338256324,,,"-8.6729564, 115.2375968", Denpasar ,,
9,Bali Luxury Emerald Villas,4.5,196 reviews,,"Jl. Karang Sari No.5, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228 ",https://www.baliluxuryvillassanur.com/emerald-villas,0361284069,,,"-8.7018852, 115.2606201",  Denpasar,14:00,12:00
10,Nature Villa Bali,4.9,17 reviews,,"Pemogan, Denpasar Selatan, Denpasar City, Bali 80221 ",,081807217777,,,"-8.714102, 115.2026387", Denpasar ,12:00,16:00
