,title,review_point,price_level,sub_category,address,open_hours,metadata,coordinate,regency,contact_number,Accessibility,short_description,site,Amenities
0,Lumintang Field,4.4,"1,408 reviews",Athletic field,"9667+V55, Jl. Mataram, Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80231 ", Open 24 hours,,"-8.6378532, 115.2129934",  Denpasar,,,,,
1,Lapangan Niti Mandala Renon - Monumen Perjuangan Rakyat Bali,4.6,"5,851 reviews",City park,"86HM+438, Panjer, Denpasar Selatan, Denpasar City, Bali 80234 ", Open 24 hours,,"-8.6722175, 115.2327023", Denpasar ,,,,,
2,Bali 2nd Garden,5.0,1 review,Park,"Gg. II No.4, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80239 ",,,"-8.657343, 115.23713",  Denpasar,03617838960,,,,
3,Rapture Garden,,,Park,"85RP+6PF, JL. Buana Raya, Br. Dinas Labuhan Sait, Pecatu, Padangsambian, Denpasar, Kota Denpasar, Bali 80361 ",,,"-8.6594331, 115.1867976",  Denpasar,03617475931,,,,
4,Lapangan Puputan Renon,4.6,"3,544 reviews",Athletic field,"86HM+WHP, Renon, Denpasar Selatan, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80234 ", Open 24 hours,,"-8.6701626, 115.2339558",  Denpasar,,"['Wheelchair-accessible car park', 'Wheelchair-accessible entrance']","Large, scenic park with grassy fields, a running track & kids' play area, plus a notable monument.",,
5,Bali Wake Park,4.4,"1,568 reviews",Water park,"Jl. Raya Pelabuhan Benoa No.7X, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80222 ", 10AM to 6PM,,"-8.7240482, 115.2144449",  Denpasar,03618468866,['Wheelchair-accessible entrance'],"Wakeboarding course on a 5-hectare lake, plus an infinity pool with a bar, an eatery & a pro shop.",https://www.baliwakepark.com/,"['Bar on site', 'Good for kids', 'Restaurant', 'Toilets']"
6,Tugu 0 KM XSR Brotherhood Indonesia MC,5.0,6 reviews,Community garden,"86Q8+J2P, Dauh Puri Kangin, Denpasar Barat, Denpasar City, Bali 80232 ", Open 24 hours,,"-8.6609095, 115.2150842", Denpasar ,,,,,
7,Taman Tukad Korea,4.6,202 reviews,City park,"86V6+PV4, Pemecutan, Denpasar Barat, Denpasar City, Bali ",,,"-8.6557322, 115.2122018", Denpasar ,,,,http://denpasartourism.com/,
8,Urban KanGen,,,Health counselor,"Jl. Raya Puputan I No.a21, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80239 ", 10AM to 5PM,,"-8.6729407, 115.2377479",  Denpasar,,,,https://instagram.com/urban_kangen?utm_medium=copy_link,
9,Banjar Bumi Banten,,,Park,"Jl. Gilibiaha No.5, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113 ",,,"-8.6736018, 115.209626",  Denpasar,,,,https://culture.denpasarkota.go.id/banjar/detail/159/banjar-bumi-banten.html,
10,SunnySide Shop & Playscape,4.4,63 reviews,Indoor playground,"Jl. Tukad Batanghari No.55, Dauh Puri Klod, Denpasar Selatan, Kota Denpasar, Bali 80225 ", 10AM to 6PM,,"-8.6833751, 115.230466",  Denpasar,087885440481,,,https://sunnyside-shop-playscape.business.site/?utm_source=gmb&utm_medium=referral,
