title,review_point,review_total,address,site,contact_number,check_in,check_out,metadata,amenities,coordinate,regency,link,sub_category,price_level,open_hours,about
Hawaii Resort Family Suites,4.1,"2,189 reviews","Jl. Raya Labuan KM. 146, Kampung Pondok Waru, Desa Bulakan, Kecamatang Cinangka, Bulakan, Serang, Kabupaten Serang, Banten 42167 ",http://www.clubbalihawaii.com/,phone:tel:0254650242,,,, Wi-Fi available  |  Breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Beach access available  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Kitchen in all rooms available  |  Airport shuttle available  |  Hot tub available  |  Spa available  |  Fitness center available ,"-6.1949547, 105.8399882",  Serang,https://www.google.com/maps/place/Hawaii+Resort+Family+Suites/data=!4m10!3m9!1s0x2e422a5ada6e0a07:0x3150333dc243bf53!5m2!4m1!1i2!8m2!3d-6.194955!4d105.839988!16s%2Fg%2F1tj555s_!19sChIJBwpu2loqQi4RU79Dwj0zUDE?authuser=0&hl=en&rclk=1,,,,
Horison Altama Pandeglang,4.3,"1,368 reviews","Kadumerak, Karang Tanjung, Pandeglang Regency, Banten 42251 ",https://myhorison.com/destinations/view/horison-altama-pandeglang,phone:tel:0253202000,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Restaurant available  |  Airport shuttle unavailable  |  Fitness center available ,"-6.2853165, 106.1176173", Pandeglang ,https://www.google.com/maps/place/Horison+Altama+Pandeglang/data=!4m10!3m9!1s0x2e4222f94fe4aedb:0xc167338b40e53ec1!5m2!4m1!1i2!8m2!3d-6.285316!4d106.117617!16s%2Fg%2F11g1hfg2kd!19sChIJ267kT_kiQi4RwT7lQIszZ8E?authuser=0&hl=en&rclk=1,,,,
OYO 90796 Hotel Mulya Indah,3.8,179 reviews,"Jl. Pangeran Diponegoro, Kembar, Tambakmulyo, Kec. Puring, Kabupaten Kebumen, Jawa Tengah 54383 ",,,,,, Wi-Fi available  |  Pool unavailable  |  Beach access available ,"-7.7567871, 109.480349",  Kebumen,https://www.google.com/maps/place/OYO+90796+Hotel+Mulya+Indah/data=!4m10!3m9!1s0x2e6533f8a76d7867:0xf12c471eeb347468!5m2!4m1!1i2!8m2!3d-7.7567871!4d109.480349!16s%2Fg%2F11bxb5qv74!19sChIJZ3htp_gzZS4RaHQ06x5HLPE?authuser=0&hl=en&rclk=1,,,,
King Stone Resort Hotel,4.1,406 reviews,"Jl. Mendu No.9, RT.002/RW.003, Jatirangga, Kec. Jatisampurna, Kota Bks, Jawa Barat 17434 ",https://goo.gl/maps/sdoGqnDbkun,phone:tel:02121384415,,,, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Kid-friendly available  |  Airport shuttle unavailable ,"-6.3713807, 106.936098",  Bks,https://www.google.com/maps/place/King+Stone+Resort+Hotel/data=!4m10!3m9!1s0x2e69935df7e36a33:0x4612fe9515259d0c!5m2!4m1!1i2!8m2!3d-6.3713807!4d106.936098!16s%2Fg%2F11b7v0yh8t!19sChIJM2rj912TaS4RDJ0lFZX-EkY?authuser=0&hl=en&rclk=1,,,,
Sukho Hotel Tangerang by Cordela,4.3,241 reviews,"Jl. Padat Karya No.1, Ciakar, Kec. Panongan, Kabupaten Tangerang, Banten 15710 ",https://www.sukhohotel.com/,phone:tel:02159647466,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Accessible available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Business center available  |  Pet-friendly unavailable  |  Room service available  |  Fitness center unavailable  |  Smoke-free unavailable ,"-6.2607727, 106.5316932",  Tangerang,https://www.google.com/maps/place/Sukho+Hotel+Tangerang+by+Cordela/data=!4m10!3m9!1s0x2e4207d09b75a919:0xa067ca78188bb874!5m2!4m1!1i2!8m2!3d-6.2607727!4d106.5316932!16s%2Fg%2F11fwhts9sf!19sChIJGal1m9AHQi4RdLiLGHjKZ6A?authuser=0&hl=en&rclk=1,,,,
Villagio Hotel,4.6,311 reviews,"Jl. Cilauteureun No.1047, Jatimulya, Kec. Pameungpeuk, Kabupaten Garut, Jawa Barat 44175 ",https://villagiohotel.business.site/?utm_source=gmb&utm_medium=referral,phone:tel:082217626641,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Pet-friendly unavailable  |  Room service available  |  Restaurant unavailable  |  Airport shuttle unavailable  |  Smoke-free available ,"-7.6449238, 107.715992",  Garut,https://www.google.com/maps/place/Villagio+Hotel/data=!4m10!3m9!1s0x2e66165f619fe89b:0xb8141d61598c9c16!5m2!4m1!1i2!8m2!3d-7.6449238!4d107.715992!16s%2Fg%2F11c2j_yzsj!19sChIJm-ifYV8WZi4RFpyMWWEdFLg?authuser=0&hl=en&rclk=1,,,,
GARDEN HOTEL MAJALENGKA,4.6,401 reviews,"Jl. K.H.Abdul Halim No.1, Munjul, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45418 ",https://www.traveloka.com/id-id/hotel/indonesia/garden-hotel-majalengka-9000000653642,phone:tel:082123232368,,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Pool unavailable  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Airport shuttle available ,"-6.8262001, 108.2014376",  Majalengka,https://www.google.com/maps/place/GARDEN+HOTEL+MAJALENGKA/data=!4m10!3m9!1s0x2e6f2f441723019b:0x14c4395e0c8922a0!5m2!4m1!1i2!8m2!3d-6.8262001!4d108.2014376!16s%2Fg%2F11h7fl_s2v!19sChIJmwEjF0Qvby4RoCKJDF45xBQ?authuser=0&hl=en&rclk=1,,,,
OYO 3479 Hotel Intan,3.8,488 reviews,"Sawangan Kidul, Sawangan, Kebasen, Banyumas Regency, Central Java 53273 ",https://www.oyorooms.com/h/101687/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_BYS001&latitude=-7.56305192775&longitude=109.212687481&locale=id,,,,, Free Wi-Fi available  |  Free parking available  |  Laundry service available  |  Kid-friendly available ,"-7.5629454, 109.2122021", Banyumas ,https://www.google.com/maps/place/OYO+3479+Hotel+Intan/data=!4m10!3m9!1s0x2e6543b724de8393:0x307c13a6e8d01778!5m2!4m1!1i2!8m2!3d-7.5629454!4d109.2122021!16s%2Fg%2F11ff0svwdj!19sChIJk4PeJLdDZS4ReBfQ6KYTfDA?authuser=0&hl=en&rclk=1,,,,
Hotel Aluky,4.4,228 reviews,"Jl. Jatibarang - Kadipaten, Pakubeureum, Kec. Kertajati, Kabupaten Majalengka, Jawa Barat 45457 ",https://alukyhotel.com/,phone:tel:085222660600,,,, Free Wi-Fi available  |  Free breakfast available  |  Parking available  |  Pool unavailable  |  Laundry service available ,"-6.7233431, 108.1663297",  Majalengka,https://www.google.com/maps/place/Hotel+Aluky/data=!4m10!3m9!1s0x2e6ed7bdb4d86619:0x29211feed69d7227!5m2!4m1!1i2!8m2!3d-6.7233431!4d108.1663297!16s%2Fg%2F11fn010r0_!19sChIJGWbYtL3Xbi4RJ3Kd1u4fISk?authuser=0&hl=en&rclk=1,,,,
Grand Plaza Boutique Hotel,4.5,45 reviews,"Ruko Grand Plaza, Jl. Galuh Mas Raya No.57, Sukaharja, Telukjambe Timur, Karawang, Jawa Barat 41361 ",,phone:tel:085926234914,,,, Free Wi-Fi available  |  Free parking available  |  Accessible available  |  Pool unavailable  |  Air-conditioned available  |  Business center unavailable  |  Pet-friendly unavailable  |  Airport shuttle available  |  Smoke-free available ,"-6.322856, 107.2919801",,https://www.google.com/maps/place/Grand+Plaza+Boutique+Hotel/data=!4m10!3m9!1s0x2e6977d65fa12389:0x88da665976b34ffd!5m2!4m1!1i2!8m2!3d-6.322856!4d107.2919801!16s%2Fg%2F11pz2sl_6w!19sChIJiSOhX9Z3aS4R_U-zdllm2og?authuser=0&hl=en&rclk=1,,,,
