title,review_point,review_total,sub_category,address,contact_number,open_hours,Service options,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,coordinate,link,Accessibility,regency,price_level,site,Planning,short_description,Highlights,check_in,From the business,metadata,Popular for,check_out,amenities
RM MELBUKRANIN,5.0,1 review,Restaurant,"9JVH+WXP, Lumasebu, Kormomolin, Tanimbar Islands, Maluku ",phone:tel:085712018952, 7:30AM to 11PM,Takeaway | Dine-in,Coffee | Halal food,Lunch | Dinner,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-7.6051626, 131.6299636",https://www.google.com/maps/place/RM+MELBUKRANIN/data=!4m7!3m6!1s0x2d271725f7dcb4fb:0x548159323ca5d4e6!8m2!3d-7.6051626!4d131.6299636!16s%2Fg%2F11r48xd8hz!19sChIJ-7Tc9yUXJy0R5tSlPDJZgVQ?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
Queen Spa,4.3,3 reviews,Restaurant,"Lelingluan, Tanimbar Utara, Tanimbar Islands, Maluku ",, Open 24 hours,Takeaway,Halal food,,Good for kids | Toilets,Cosy,Groups,Cash only,"-7.1658609, 131.7176069",https://www.google.com/maps/place/Queen+Spa/data=!4m7!3m6!1s0x2d26edd7d953b5cf:0xe3a569ee7d6cb7b7!8m2!3d-7.1658609!4d131.7176069!16s%2Fg%2F11rgrn7hf1!19sChIJz7VT2dftJi0Rt7dsfe5ppeM?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
RM. IRMHA,5.0,1 review,Restaurant,"RPV7+JVJ, Ritabel, Tanimbar Utara, Tanimbar Islands, Maluku ",,,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-7.1559163, 131.7146513",https://www.google.com/maps/place/RM.+IRMHA/data=!4m7!3m6!1s0x2d26eddb91150ba9:0x364c99ae40358562!8m2!3d-7.1559163!4d131.7146513!16s%2Fg%2F11pg_mxdxt!19sChIJqQsVkdvtJi0RYoU1QK6ZTDY?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
Kantin Kie Raha,3.0,2 reviews,Restaurant,"Mathilda Batlayeri Airport, Jl. Mangkawar, Tumbur, Wer Tamrian, Tanimbar Islands, Maluku 97464 ",,,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,"-7.8494689, 131.3338665",https://www.google.com/maps/place/Kantin+Kie+Raha/data=!4m7!3m6!1s0x2d274d89fa8b4da5:0xdc0fccc9f2301c22!8m2!3d-7.8494689!4d131.3338665!16s%2Fg%2F11j4qjrqzq!19sChIJpU2L-olNJy0RIhww8snMD9w?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
RM Padang AYAH,4.0,6 reviews,Padang restaurant,"RPV7+PRH, Unnamed Road, Ritabel, Kec. Tanimbar Utara, Kab. Kepulauan Tanimbar, Maluku ",,,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-7.1556808, 131.7146101",https://www.google.com/maps/place/RM+Padang+AYAH/data=!4m7!3m6!1s0x2d26ed3c0085c24f:0xe87e3808aad89317!8m2!3d-7.1556808!4d131.7146101!16s%2Fg%2F11qn79f9mz!19sChIJT8KFADztJi0RF5PYqgg4fug?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance,,,,,,,,,,,,
RUMAH MAKAN BUTON,,,Diner,"RPW7+4J5, Unnamed Road, Ritabel, Kec. Tanimbar Utara, Kab. Kepulauan Tanimbar, Maluku ",,,,,,,,,,"-7.1547421, 131.7140958",https://www.google.com/maps/place/RUMAH+MAKAN+BUTON/data=!4m7!3m6!1s0x2d26ede0a8f7296f:0xb0277f85993d1c95!8m2!3d-7.1547421!4d131.7140958!16s%2Fg%2F11pyp1m2jz!19sChIJbyn3qODtJi0RlRw9mYV_J7A?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
DEPOT BAKSO SOLO DAN MIE AYAM,,,Bakso restaurant,"RPW7+4M5, Unnamed Road, Ritabel, Kec. Tanimbar Utara, Kab. Kepulauan Tanimbar, Maluku ",,,,,,,,,,"-7.1547383, 131.7142484",https://www.google.com/maps/place/DEPOT+BAKSO+SOLO+DAN+MIE+AYAM/data=!4m7!3m6!1s0x2d26ed95e9126c95:0xd4500c3889636fa6!8m2!3d-7.1547383!4d131.7142484!16s%2Fg%2F11sp92hw0g!19sChIJlWwS6ZXtJi0Rpm9jiTgMUNQ?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,
Deteras,4.7,17 reviews,Restaurant,"VFXH+3MG, Jl. Wailola, Baru, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku ",, 8AM to 1AM,Takeaway | Dine-in,Coffee | Halal food,Dinner,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,"-3.1023163, 130.4792003",https://www.google.com/maps/place/Deteras/data=!4m7!3m6!1s0x2d41a3b49bc3ed0d:0x7269a08ff6ee98f8!8m2!3d-3.1023163!4d130.4792003!16s%2Fg%2F11gs4x_g88!19sChIJDe3Dm7SjQS0R-Jju9o-gaXI?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance,  Seram Bagian Timur,,,,,,,,,,,
Rumah Makan Restu Ibu,4.3,14 reviews,Restaurant,"VFWV+9X2, Unnamed Road, Bula, Kec. Bula, Kabupaten Seram Bagian Timur, Maluku ",, 9AM to 11PM,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,"-3.1041211, 130.4948918",https://www.google.com/maps/place/Rumah+Makan+Restu+Ibu/data=!4m7!3m6!1s0x2d41a370ca34c5c7:0x7b50b3c229419fb8!8m2!3d-3.1041211!4d130.4948918!16s%2Fg%2F11gjzmlm36!19sChIJx8U0ynCjQS0RuJ9BKcKzUHs?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance,  Seram Bagian Timur,,,,,,,,,,,
Sigafua Cafe & Resto,4.1,219 reviews,Restaurant,"Jl. Protokol, Bula, Kec. Bula, Bula, Maluku 97581 ",phone:tel:09152211076, 11AM to 10PM,Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Late-night food | Vegan options,Breakfast | Lunch | Dinner | Dessert,Good for kids | High chairs | Toilets,Casual | Cosy,Groups,Cash only,"-3.1009058, 130.4840422",https://www.google.com/maps/place/Sigafua+Cafe+%26+Resto/data=!4m7!3m6!1s0x2d41a2a671e9b6fb:0x594f66c0e757d804!8m2!3d-3.1009058!4d130.4840422!16s%2Fg%2F11gbxg1ywr!19sChIJ-7bpcaaiQS0RBNhX58BmT1k?authuser=0&hl=en&rclk=1,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,,$$,http://instagram.com/sigafua,Accepts reservations,,Live music,,,,,,
