title,sub_category,address,metadata,coordinate,link,review_point,review_total,open_hours,regency,contact_number,amenities,site,check_in,check_out,price_level,Service options,Accessibility,Offerings,Dining options,Atmosphere,Payments,Amenities,Crowd,Planning,Highlights
Villa Agus Thiodorus,Villa,"28H5+RR6, Jl. Ir. Soekarno, Saumlaki, Tanimbar Sel., Kab. Kepulauan Tanimbar, Maluku ",,"-7.9704698, 131.3095013",https://www.google.com/maps/place/Villa+Agus+Thiodorus/data=!4m7!3m6!1s0x2d27552cde1af705:0xa98ffc1bf826eb0d!8m2!3d-7.9704698!4d131.3095013!16s%2Fg%2F11p3hfywxl!19sChIJBfca3ixVJy0RDesm-Bv8j6k?authuser=0&hl=en&rclk=1,,,,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available  |  Pet-friendly unavailable  |  Room service available  |  Kid-friendly available  |  Kitchens in some rooms ,,,,,,,,,,,,,,
Cogan Home,Villa,"M927+68J, Kairatu, West Seram, Maluku ",,"-3.3494209, 128.3632737",https://www.google.com/maps/place/Cogan+Home/data=!4m7!3m6!1s0x2d6c67b665959a41:0x2433c35bd4fed15d!8m2!3d-3.3494209!4d128.3632737!16s%2Fg%2F11ptx4tbz9!19sChIJQZqVZbZnbC0RXdH-1FvDMyQ?authuser=0&hl=en&rclk=1,5,1 review,,,,,,,,,,,,,,,,,,
tempat penginapan,Villa,"48VJ+4F, Tumbur, Wer Tamrian, Tanimbar Islands, Maluku ",,"-7.8572033, 131.3324218",https://www.google.com/maps/place/tempat+penginapan/data=!4m7!3m6!1s0x2d274d6eeb946627:0x8f6ebaa712d72ff4!8m2!3d-7.8572033!4d131.3324218!16s%2Fg%2F11s8k7r7q2!19sChIJJ2aU625NJy0R9C_XEqe6bo8?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
Rumah wances,Villa,"J9PG+442, Jl. Trans Seram, Kairatu, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku ",,"-3.365156, 128.37531",https://www.google.com/maps/place/Rumah+wances/data=!4m7!3m6!1s0x2d6c67716ed4a7cd:0x6c531263ad531562!8m2!3d-3.365156!4d128.37531!16s%2Fg%2F11s8gd2qzy!19sChIJzafUbnFnbC0RYhVTrWMSU2w?authuser=0&hl=en&rclk=1,,, Open 24 hours,  Seram Bagian Barat,,,,,,,,,,,,,,,,
kos2n,Villa,"48VJ+4F, Tumbur, Wer Tamrian, Tanimbar Islands, Maluku ",,"-7.8571996, 131.331132",https://www.google.com/maps/place/kos2n/data=!4m7!3m6!1s0x2d274da7e48c1001:0x5849b4a9e32c692b!8m2!3d-7.8571996!4d131.331132!16s%2Fg%2F11jsnr5tjg!19sChIJARCM5KdNJy0RK2ks46m0SVg?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
Hetharie Family,Villa,"M96G+9V6, Kairatu, West Seram, Maluku ",,"-3.3390848, 128.3771418",https://www.google.com/maps/place/Hetharie+Family/data=!4m7!3m6!1s0x2d6c67c5acb6b87b:0x935c6ede3b1754b4!8m2!3d-3.3390848!4d128.3771418!16s%2Fg%2F11q3sm2vsg!19sChIJe7i2rMVnbC0RtFQXO95uXJM?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
Villa Bukit Indah,Resort hotel,"Jl. Ir. Soekarno, Olilit, Tanimbar Sel., Kab. Kepulauan Tanimbar, Maluku ",,"-7.9803491, 131.3053714",https://www.google.com/maps/place/Villa+Bukit+Indah/data=!4m7!3m6!1s0x2d2755c064a6fae3:0x2f47fbea862da93d!8m2!3d-7.9803491!4d131.3053714!16s%2Fg%2F11g22ystdf!19sChIJ4_qmZMBVJy0RPakthur7Ry8?authuser=0&hl=en&rclk=1,4.6,150 reviews,,,phone:tel:09182331765,,,,,,,,,,,,,,,
Ruma pedon,Villa,"J9PF+9Q7, Kairatu, West Seram, Maluku ",,"-3.3639209, 128.3748499",https://www.google.com/maps/place/Ruma+pedon/data=!4m7!3m6!1s0x2d6c673056c4a901:0x7600f62ad63051da!8m2!3d-3.3639209!4d128.3748499!16s%2Fg%2F11s3rw502p!19sChIJAanEVjBnbC0R2lEw1ir2AHY?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
Rumah Alex,Villa,"38JQ+43P, Kabiarat Raya, South Tanimbar, Tanimbar Islands, Maluku ",,"-7.9194467, 131.337775",https://www.google.com/maps/place/Rumah+Alex/data=!4m7!3m6!1s0x2d27532c31a0908d:0x701a49bba39a7124!8m2!3d-7.9194467!4d131.337775!16s%2Fg%2F11tg41dxy6!19sChIJjZCgMSxTJy0RJHGao7tJGnA?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
P siahaya,Villa,"J9X7+HPW, Kairatu, West Seram, Maluku ",,"-3.3507759, 128.3644394",https://www.google.com/maps/place/P+siahaya/data=!4m7!3m6!1s0x2d6c67c8a5849c71:0x985f42a68e69c1d0!8m2!3d-3.3507759!4d128.3644394!16s%2Fg%2F11spd7h765!19sChIJcZyEpchnbC0R0MFpjqZCX5g?authuser=0&hl=en&rclk=1,,,,,,,,,,,,,,,,,,,,
