title,review_point,review_total,contact_number,open_hours,metadata,coordinate,link,sub_category,address,site,Service options,Offerings,Dining options,Amenities,Atmosphere,Crowd,Payments,regency,Accessibility,Planning,price_level,short_description,Highlights,check_in,From the business,check_out,amenities
Seafood Barokah jaya 03,3.7,3 reviews,phone:tel:087820911155,,,"-6.5700681, 106.6242443",https://www.google.com/maps/place/Seafood+Barokah+jaya+03/data=!4m7!3m6!1s0x2e69d9096f4d9581:0xbb65d677bf967b94!8m2!3d-6.5700681!4d106.6242443!16s%2Fg%2F11fm41_8qk!19sChIJgZVNbwnZaS4RlHuWv3fWZbs?authuser=0&hl=en&rclk=1,Seafood restaurant,"Jl. Raya Leuwiliang, Cibeber I, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",http://kholayfals.blogspot.com/,Delivery | Takeaway | Dine-in,Halal food | Late-night food,Lunch | Dinner,Good for kids,Casual | Cosy,Groups,Cash only,  Bogor,,,,,,,,,
warteg Ganesha,5,3 reviews,, 5AM to 2AM,,"-6.5731038, 106.6319648",https://www.google.com/maps/place/warteg+Ganesha/data=!4m7!3m6!1s0x2e69db8467957711:0x8c16ef836befb98b!8m2!3d-6.5731038!4d106.6319648!16s%2Fg%2F11fgj872m5!19sChIJEXeVZ4TbaS4Ri7nva4PvFow?authuser=0&hl=en&rclk=1,Tegal restaurant,"Jl. Raya Leuwiliang Jl. Raya Karehkel No.20, Leuwiliang, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",,Takeaway | Dine-in,Coffee | Halal food,Lunch,,Cosy,,Cash only,  Bogor,Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating,,,,,,,,
Rumah Makan Lesehan Arayya,4.3,36 reviews,, 8AM to 2AM,,"-6.5722051, 106.6281346",https://www.google.com/maps/place/Rumah+Makan+Lesehan+Arayya/data=!4m7!3m6!1s0x2e69d98dff64c249:0x48d818ab91758ac1!8m2!3d-6.5722051!4d106.6281346!16s%2Fg%2F11fg5bs01f!19sChIJScJk_43ZaS4RwYp1kasY2Eg?authuser=0&hl=en&rclk=1,Padang restaurant,"Jl. Raya Cibeber No.1, Leuwimekar, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640 ",https://rumah-makan-lesehan-arayya.business.site/,Outdoor seating | Takeaway | Dine-in,Coffee | Halal food | Kids' menu,Lunch | Dinner,Good for kids | Toilets,Casual | Cosy,Groups,Cash only,  Bogor,Wheelchair-accessible seating,Accepts reservations,,,,,,,
Warung makan sunda 77,5,3 reviews,phone:tel:082148188991, 5AM to 12:30AM,,"-6.5753484, 106.6533091",https://www.google.com/maps/place/Warung+makan+sunda+77/data=!4m7!3m6!1s0x2e69dbcfbe3caa6d:0xa690d28254d5d9be!8m2!3d-6.5753484!4d106.6533091!16s%2Fg%2F11qg3kw526!19sChIJbao8vs_baS4RvtnVVILSkKY?authuser=0&hl=en&rclk=1,Nasi restaurant,"Kp cemplang Rt11/03, Cemplang, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630 ",,Delivery | Drive-through | Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids,Casual | Cosy,Groups,Cash only,  Bogor,,Reservations required | Accepts reservations,,,,,,,
"Warung Sate Madura, Mahruz/babon",4.8,5 reviews,phone:tel:085770374757, Open 24 hours,,"-6.5749233, 106.6609839","https://www.google.com/maps/place/Warung+Sate+Madura,+Mahruz%2Fbabon/data=!4m7!3m6!1s0x2e69dbbc5cf9c111:0xeccbaebac6d406a2!8m2!3d-6.5749233!4d106.6609839!16s%2Fg%2F11gg_199n3!19sChIJEcH5XLzbaS4RogbUxrquy-w?authuser=0&hl=en&rclk=1",Satay restaurant,"CMG6+29Q, Cibatok 1, Cibungbulang, Bogor Regency, West Java 16630 ",,Outdoor seating | Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,,Cash only, Bogor ,,,,,,,,,
Nasi Goreng Ciaruteun seri,5,1 review,phone:tel:089614400757, 5PM to 2AM,,"-6.5704838, 106.6681061",https://www.google.com/maps/place/Nasi+Goreng+Ciaruteun+seri/data=!4m7!3m6!1s0x2e69db76dbfbb327:0x37efda93933906c5!8m2!3d-6.5704838!4d106.6681061!16s%2Fg%2F11rcwyjp29!19sChIJJ7P723bbaS4RxQY5k5Pa7zc?authuser=0&hl=en&rclk=1,Nasi goreng restaurant,"CMH9+R65, Cimanggu 1, Cibungbulang, Bogor Regency, West Java 16630 ",,Takeaway | Dine-in,Halal food,Dinner,Good for kids,Casual | Cosy,Groups,Cash only, Bogor ,,,,,,,,,
NASI GORENG MISTER GEBOY,4,23 reviews,phone:tel:085715308981, 5PM to 2AM,,"-6.5832983, 106.6621833",https://www.google.com/maps/place/NASI+GORENG+MISTER+GEBOY/data=!4m7!3m6!1s0x2e69dbb05ad7a807:0x7529cafb3527c52f!8m2!3d-6.5832983!4d106.6621833!16s%2Fg%2F11d_v6sp6s!19sChIJB6jXWrDbaS4RL8UnNfvKKXU?authuser=0&hl=en&rclk=1,Nasi goreng restaurant,"CM86+MVM, Jl. Kapten Dasuki Bakri, Cibatok 1, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630 ",,Outdoor seating | Takeaway | Dine-in,Halal food,Dinner,Good for kids,Casual | Cosy,Groups,Cash only,  Bogor,Wheelchair-accessible seating,,,,,,,,
Deny KBC BOGOR BARAT,4.8,5 reviews,phone:tel:081211136180, Open 24 hours,,"-6.5681174, 106.5955731",https://www.google.com/maps/place/Deny+KBC+BOGOR+BARAT/data=!4m7!3m6!1s0x2e69d9e09ed2affd:0x5696bb10b691d46a!8m2!3d-6.5681174!4d106.5955731!16s%2Fg%2F11h3m9md1g!19sChIJ_a_SnuDZaS4RatSRthC7llY?authuser=0&hl=en&rclk=1,Bakso restaurant,"CHJW+Q64, Jl. KH. Mama Bakry, Sadeng, Kec. Leuwisadeng, Kabupaten Bogor, Jawa Barat 16640 ",,Takeaway | Dine-in,Halal food,,Good for kids,Casual | Cosy,Groups,Cash only,  Bogor,,,,,,,,,
Simpang Raya Bogor Restaurant,4.3,878 reviews,phone:tel:081284423802, 8AM to 2AM,,"-6.602693, 106.8056106",https://www.google.com/maps/place/Simpang+Raya+Bogor+Restaurant/data=!4m7!3m6!1s0x2e69c5fd453eb6f7:0xfa189427019de046!8m2!3d-6.602693!4d106.8056106!16s%2Fg%2F1ptx919gn!19sChIJ97Y-Rf3FaS4RRuCdASeUGPo?authuser=0&hl=en&rclk=1,Padang restaurant,"Jl. Pajajaran No.7, RT.04/RW.02, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143 ",https://simpang-raya-bogor-restaurant.business.site/,No-contact delivery | Delivery | Takeaway | Dine-in,Coffee | Halal food | Kids' menu | Late-night food,Lunch | Dinner | Catering | Dessert,Good for kids | Toilets,Casual | Cosy,Groups,,  Bogor,Wheelchair-accessible seating,Accepts reservations,$$,Late-night fixture dishing up familiar Indonesian fare in a bright space with a colorful mural.,,,,,
Bogorkeun,,,,,,"-6.551761, 106.6290606",https://www.google.com/maps/place/Bogorkeun/data=!4m7!3m6!1s0x2e69dd04be3258f9:0x914002eb0455a7ed!8m2!3d-6.551761!4d106.6290606!16s%2Fg%2F11sqxd4sf3!19sChIJ-VgyvgTdaS4R7adVBOsCQJE?authuser=0&hl=en&rclk=1,Restaurant,"CJXH+7JV, Karehkel, Leuwiliang, Bogor Regency, West Java 16640 ",,Takeaway | Dine-in,Halal food,,Good for kids,,,, Bogor ,,,,,,,,,
Agna Resto,5,1 review,phone:tel:085719189569, 9AM to 7PM,,"-6.5544618, 106.6314981",https://www.google.com/maps/place/Agna+Resto/data=!4m7!3m6!1s0x2e69db897ed291af:0x8a4d3a6bf17dc88a!8m2!3d-6.5544618!4d106.6314981!16s%2Fg%2F11j9ccd29p!19sChIJr5HSfonbaS4Rish98Ws6TYo?authuser=0&hl=en&rclk=1,Restaurant,"Karehkel, Leuwiliang, Bogor Regency, West Java 16640 ",,Takeaway | Dine-in,Coffee | Halal food,Lunch,Good for kids | Toilets,Casual | Cosy,Groups,, Bogor ,,,,,,,,,
