title,review_point,review_total,sub_category,address,metadata,coordinate,regency,link,contact_number,open_hours,check_in,site,amenities,check_out
Karavea Cliff,5.0,3 reviews,Camping cabin,"8PXQ+67G, Jl. Tj. Karang, Labuan Bajo, Kec. Banawa, Kabupaten Donggala, Sulawesi Tengah 94351 ",,"-0.6519478, 119.7382176",  Donggala,https://www.google.com/maps/place/Karavea+Cliff/data=!4m7!3m6!1s0x2d8bb790421a8e49:0x5140f9d04d2673f7!8m2!3d-0.6519478!4d119.7382176!16s%2Fg%2F11n5bbhwkt!19sChIJSY4aQpC3iy0R93MmTdD5QFE?authuser=0&hl=en&rclk=1,,,,,,
QUEENZI VILLA  KOLAM RENANG,,,Villa,"Ciburial, Cimanggu, Pandeglang Regency, Banten 42284 ",,"-6.722202, 105.6704333", Pandeglang ,https://www.google.com/maps/place/QUEENZI+VILLA+%26+KOLAM+RENANG/data=!4m7!3m6!1s0x2e43afb9732dbe8f:0x83bdee4f001e8eae!8m2!3d-6.722202!4d105.6704333!16s%2Fg%2F11s934xdsj!19sChIJj74tc7mvQy4Rro4eAE_uvYM?authuser=0&hl=en&rclk=1,phone:tel:085624169522, Open 24 hours,,,,
Villa HHASYIM LINGKAR HARJATANI,4.7,6 reviews,Homestay,"X32F+XF6, Harjatani, Kramatwatu, Serang Regency, Banten 42616 ",,"-6.0475895, 106.0736297", Serang ,"https://www.google.com/maps/place/Villa+H.HASYIM+,LINGKAR+HARJATANI/data=!4m7!3m6!1s0x2e418d7febf544e7:0x5fd4de39fccee829!8m2!3d-6.0475895!4d106.0736297!16s%2Fg%2F11fl_2ykv7!19sChIJ50T163-NQS4RKejO_Dne1F8?authuser=0&hl=en&rclk=1",phone:tel:02548370248,,,,,
Natural Cottages,4.0,10 reviews,Hotel,"9P3Q+QJ3, Jl. Karang Ria, Labuan Bajo, Kec. Banawa, Kabupaten Donggala, Sulawesi Tengah 94351 ",,"-0.6456092, 119.7390472",  Donggala,https://www.google.com/maps/place/Natural+Cottages/data=!4m7!3m6!1s0x2d8bb777643c78b1:0x24e058f4d5b1859b!8m2!3d-0.6456092!4d119.7390472!16s%2Fg%2F11f57t0qjj!19sChIJsXg8ZHe3iy0Rm4Wx1fRY4CQ?authuser=0&hl=en&rclk=1,phone:tel:081341471769,,,,,
Rumah Azkadit,,,Villa,"Kampung Cikondang Sawoduren No.Rt 003/10, Cikalong, Kec. Cibitung, Kabupaten Pandeglang, Banten ",,"-6.7482706, 105.6881788",  Pandeglang,https://www.google.com/maps/place/Rumah+Azkadit/data=!4m7!3m6!1s0x2e43ab46ba2eeb9d:0x705ce2eca354229b!8m2!3d-6.7482706!4d105.6881788!16s%2Fg%2F11tnwkvksh!19sChIJnesuukarQy4RmyJUo-ziXHA?authuser=0&hl=en&rclk=1,,,,,,
Villa Komala,,,Hotel,"Kp. Parung Sentul, Sinarmukti, Kec. Baros, Kabupaten Serang, Banten 42173 ",,"-6.219433, 106.1441694",  Serang,https://www.google.com/maps/place/Villa+Komala/data=!4m7!3m6!1s0x2e422162e1a4ce95:0xfdd4aba9de28c4c0!8m2!3d-6.219433!4d106.1441694!16s%2Fg%2F11j3r_gnr9!19sChIJlc6k4WIhQi4RwMQo3qmr1P0?authuser=0&hl=en&rclk=1,,,,,,
Liemijanto Villas,,,Villa,"4R42+JWW, Ginunggung, Galang, Toli-Toli Regency, Central Sulawesi ",,"1.1066012, 120.8023271", Toli-Toli ,https://www.google.com/maps/place/Liemijanto+Villa's/data=!4m7!3m6!1s0x32712dfcc9d0d42f:0xfe9774883bd72631!8m2!3d1.1066012!4d120.8023271!16s%2Fg%2F11t59_p_8m!19sChIJL9TQyfwtcTIRMSbXO4h0l_4?authuser=0&hl=en&rclk=1,,,,,,
villa gogona,,,Lodging,"7M2Q+M7V, Cikalong, Cibitung, Pandeglang Regency, Banten 42285 ",,"-6.7482706, 105.6881788", Pandeglang ,https://www.google.com/maps/place/villa+gogona/data=!4m7!3m6!1s0x2e43abffffffffff:0x663a05b7865f378e!8m2!3d-6.7482706!4d105.6881788!16s%2Fg%2F11fzvvk9l8!19sChIJ______-rQy4RjjdfhrcFOmY?authuser=0&hl=en&rclk=1,phone:tel:083899272416,,,,,
Villa Bukit Cibetik,4.6,25 reviews,Hotel,"V3GM+725, cibetik, Kec. Taktakan, Kota Serang, Banten 42162 ",,"-6.1243555, 106.0826091",  Serang,https://www.google.com/maps/place/Villa+Bukit+Cibetik/data=!4m7!3m6!1s0x2e418b2822891671:0x276eb3f4668997e3!8m2!3d-6.1243555!4d106.0826091!16s%2Fg%2F11f5sr5158!19sChIJcRaJIiiLQS4R45eJZvSzbic?authuser=0&hl=en&rclk=1,,,,,,
Villa Mas Dapalak,4.3,18 reviews,Housing development,"2Q5W+W36, Nalu, Baolan, Toli-Toli Regency, Central Sulawesi 94517 ",,"1.0097936, 120.7951462", Toli-Toli ,https://www.google.com/maps/place/Villa+Mas+Dapalak/data=!4m7!3m6!1s0x3276d39297515141:0x4319638371c2a0c3!8m2!3d1.0097936!4d120.7951462!16s%2Fg%2F11f5q4rhs_!19sChIJQVFRl5LTdjIRw6DCcYNjGUM?authuser=0&hl=en&rclk=1,phone:tel:082259822285,,,,,
