,title,review_point,price_level,address,site,contact_number,check_in,metadata,amenities,images,coordinate,regency,check_out,open_hours
0,Menjangan Ecolodge,4.9,35 reviews,"West Bali National Park Jl. Raya Seririt, Gilimanuk, Kec. Gerokgak, Kabupaten Jembrana, Bali ",https://www.plataran.com/menjangan-ecolodge,08111556352,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Laundry service available  |  Business center unavailable ,,"-8.1322544, 114.5564002",  Jembrana,,
1,Grand Harvest Resort & Villas,4.4,"2,691 reviews","Dusun Krajan, Tamansari, Licin, Banyuwangi Regency, East Java 68454 ",http://www.grandharvestresort.com/,03333384031,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Outdoor pool available  |  Air-conditioned available ,,"-8.1774887, 114.2506389", Banyuwangi ,,
2,Kampung Coklat jembrana,4.7,31 reviews,"Pohsanten, Mendoyo, Jembrana Regency, Bali 82261 ",http://www.kampungcoklatjembrana.com/,0817747573,,, Free Wi-Fi available  |  Parking available  |  Pool available  |  Fitness center unavailable ,,"-8.3324955, 114.6797408", Jembrana ,,
3,Wyndham Tamansari Jivva Resort Bali,4.6,"1,648 reviews","Pantai Lepang, Jl. Subak Lepang No.16, Takmung, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752 ",http://wyndhamjivvabali.com/?CID=LC:HR::GGL:RIO:National:49340&iata=00093796,03665437988,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Accessible available  |  Indoor and outdoor pool available  |  Air-conditioned available ,,"-8.573117, 115.3837247",  Klungkung,,
4,Puri Saron Hotel Madangan,4.3,198 reviews,"G8PG+28X, Ds Madangan Petak Bitra Gianyar Gianyar Bali, Petak Kaja, Kec. Gianyar, Kabupaten Gianyar, Bali 80515 ",http://www.purisaronubud.com/,0361954257,,, Free Wi-Fi available  |  Breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available ,,"-8.4648909, 115.3258486",  Gianyar,,
5,Bali Lush,4.7,125 reviews,"Pupuan Sawah, Selemadeg, Tabanan Regency, Bali 82162 ",http://www.balilush.com/,081237721427,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available ,,"-8.462355, 115.0521071", Tabanan ,,
6,Dhyanapura Hotel,4.4,214 reviews,"Jl. Raya Kapal No.20, Kapal, Kec. Mengwi, Kabupaten Badung, Bali 80351 ",https://dhyanapura-hotel.business.site/,03619064533,,, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available ,,"-8.5776731, 115.1824141",  Badung,,
7,OYO 90547 Pondok Saren Anyar,3.8,40 reviews,"Lukluk, Mengwi, Badung Regency, Bali 80352 ",https://www.oyorooms.com/h/113267?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BLI273&latitude=-8.56168149488882&longitude=115.195915270597&locale=id,081353314467,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available  |  Kid-friendly available ,,"-8.561615, 115.1965277", Badung ,,
8,OYO 3716 Dijobi,4.4,42 reviews,"Jl. Raya Abianbase No.12, Abianbase, Kec. Mengwi, Kabupaten Badung, Bali 80361 ",https://www.oyorooms.com/h/103159/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_BLI184&latitude=-8.58700499266&longitude=115.179255065&locale=id,02129707601,,, Free Wi-Fi available  |  Pool unavailable  |  Air-conditioned available  |  Fitness center unavailable ,,"-8.5871869, 115.1793861",  Badung,,
9,Bali Bohemia,4.6,840 reviews,"Jl. Nyuh Bojog, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571 ",https://balibohemia.com/,081338884756,,, Free Wi-Fi available  |  Free breakfast available  |  Parking available  |  Outdoor pool available  |  Laundry service available  |  Pet-friendly available ,,"-8.5193814, 115.257897",  Gianyar,,
