title,link,keyword
BLESSING HOSTELRY,https://www.google.com/maps/place/BLESSING+HOSTELRY/data=!4m7!3m6!1s0x2d26ed9d7d49ff51:0x510d2e2bbbef00c0!8m2!3d-7.1567534!4d131.7190146!16s%2Fg%2F11q2r4p1gc!19sChIJUf9JfZ3tJi0RwADvuysuDVE?authuser=0&hl=en&rclk=1,
Pantai Arui Das,https://www.google.com/maps/place/Pantai+Arui+Das/data=!4m7!3m6!1s0x2d2740a263355fa1:0xbcb6cd72f2144e1e!8m2!3d-7.7218297!4d131.540633!16s%2Fg%2F11dfxw9mms!19sChIJoV81Y6JAJy0RHk4U8nLNtrw?authuser=0&hl=en&rclk=1,
Arema Penginapan,https://www.google.com/maps/place/Arema+Penginapan/data=!4m7!3m6!1s0x2d41c55555143a65:0x6d84ff79aa86f1e9!8m2!3d-3.238383!4d130.145366!16s%2Fg%2F1pztkgjfr!19sChIJZToUVVXFQS0R6fGGqnn_hG0?authuser=0&hl=en&rclk=1,
Indonesia,https://www.google.com/maps/place/Indonesia/data=!4m7!3m6!1s0x2d41c5ba7ccc1883:0x4e03a1fe68876a6e!8m2!3d-3.2384616!4d130.1452734!16s%2Fg%2F11nyk_qh0z!19sChIJgxjMfLrFQS0RbmqHaP6hA04?authuser=0&hl=en&rclk=1,
Lelisa Beach Resort,https://www.google.com/maps/place/Lelisa+Beach+Resort/data=!4m7!3m6!1s0x2d41c55555143a65:0x54e15e641bed3e67!8m2!3d-3.238383!4d130.145366!16s%2Fg%2F1pzrgkt11!19sChIJZToUVVXFQS0RZz7tG2Re4VQ?authuser=0&hl=en&rclk=1,
Dahniar kelian,https://www.google.com/maps/place/Dahniar+kelian/data=!4m7!3m6!1s0x2d6a7f44806f07af:0xe97affc0f48537ad!8m2!3d-3.3698214!4d129.9690948!16s%2Fg%2F11tj2p_2zs!19sChIJrwdvgER_ai0RrTeF9MD_euk?authuser=0&hl=en&rclk=1,
Ucok tanamal,https://www.google.com/maps/place/Ucok+tanamal/data=!4m7!3m6!1s0x2d40299b57d1b3cf:0xeb981511e56bf06a!8m2!3d-3.4376562!4d129.989715!16s%2Fg%2F11t6hgl70v!19sChIJz7PRV5spQC0RavBr5REVmOs?authuser=0&hl=en&rclk=1,
Hariyanto Voth,https://www.google.com/maps/place/Hariyanto+Voth/data=!4m7!3m6!1s0x2d4029f8030e089d:0xf86cb796503c736!8m2!3d-3.4512665!4d129.9944267!16s%2Fg%2F11s3jvpnyn!19sChIJnQgOA_gpQC0RNscDZXnLhg8?authuser=0&hl=en&rclk=1,
Ranusukasri,https://www.google.com/maps/place/Ranusukasri/data=!4m7!3m6!1s0x2d4029d6577249e9:0xbf7e4c9c1d10011!8m2!3d-3.4541534!4d129.9971062!16s%2Fg%2F11t9dss3hw!19sChIJ6UlyV9YpQC0REQDRwcnk9ws?authuser=0&hl=en&rclk=1,
Maluku,https://www.google.com/maps/place/Maluku/data=!4m7!3m6!1s0x2d6a63b4fc160fcb:0x75d560f4c4807cd6!8m2!3d-3.3266505!4d129.784231!16s%2Fg%2F11s538xh8m!19sChIJyw8W_LRjai0R1nyAxPRg1XU?authuser=0&hl=en&rclk=1,
