title,link
Hotel Bali Kuwi,https://www.google.com/maps/place/Hotel+Bali+Kuwi/data=!4m10!3m9!1s0x2dd161f964d2d0c5:0x3bcad2105d8b7ac3!5m2!4m1!1i2!8m2!3d-8.3603142!4d114.6138717!16s%2Fg%2F11b7kh0k6w!19sChIJxdDSZPlh0S0Rw3qLXRDSyjs?authuser=0&hl=en&rclk=1
Hotel Segara Mandala,https://www.google.com/maps/place/Hotel+Segara+Mandala/data=!4m10!3m9!1s0x2dd1620ef98ea3b5:0x7754b4f190d3c127!5m2!4m1!1i2!8m2!3d-8.3586146!4d114.6346972!16s%2Fg%2F1hm34l1c4!19sChIJtaOO-Q5i0S0RJ8HTkPG0VHc?authuser=0&hl=en&rclk=1
The Menjangan,https://www.google.com/maps/place/The+Menjangan/data=!4m10!3m9!1s0x2dd169eca57af51f:0xdab63fb058bc950b!5m2!4m1!1i2!8m2!3d-8.1437929!4d114.5469718!16s%2Fg%2F1tcvlcsj!19sChIJH_V6pexp0S0RC5W8WLA_tto?authuser=0&hl=en&rclk=1
Plataran Menjangan Resort & Spa,https://www.google.com/maps/place/Plataran+Menjangan+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd1699a975c1379:0x39267aebb1bcfb57!5m2!4m1!1i2!8m2!3d-8.1328814!4d114.5528006!16s%2Fg%2F11bw5m7s39!19sChIJeRNcl5pp0S0RV_u8set6Jjk?authuser=0&hl=en&rclk=1
Puri Dajuma Beach Eco-Resort & Spa,https://www.google.com/maps/place/Puri+Dajuma+Beach+Eco-Resort+%26+Spa/data=!4m10!3m9!1s0x2dd3d406883af719:0x65366bc8191f2a52!5m2!4m1!1i2!8m2!3d-8.4302558!4d114.8181233!16s%2Fg%2F1tcynz41!19sChIJGfc6iAbU0y0RUiofGchrNmU?authuser=0&hl=en&rclk=1
KOST UMA MESARI,https://www.google.com/maps/place/KOST+UMA+MESARI/data=!4m7!3m6!1s0x2dd1638eaa787897:0x202624e38d456f37!8m2!3d-8.3630782!4d114.6388063!16s%2Fg%2F11ht6_y3m3!19sChIJl3h4qo5j0S0RN29FjeMkJiA?authuser=0&hl=en&rclk=1
THE SARI BUNGALOWS,https://www.google.com/maps/place/THE+SARI+BUNGALOWS/data=!4m10!3m9!1s0x2dd16ef6b85d3b3b:0xca35a9dc3d68ff2a!5m2!4m1!1i2!8m2!3d-8.1487016!4d114.6617126!16s%2Fg%2F11b6b70r6j!19sChIJOztduPZu0S0RKv9oPdypNco?authuser=0&hl=en&rclk=1
Arjuna Homestay,https://www.google.com/maps/place/Arjuna+Homestay/data=!4m10!3m9!1s0x2dd16eee6d172eef:0x963ab1909998e6c7!5m2!4m1!1i2!8m2!3d-8.1477749!4d114.6546935!16s%2Fg%2F12hlww_2b!19sChIJ7y4Xbe5u0S0Rx-aYmZCxOpY?authuser=0&hl=en&rclk=1
Menjangan Ecolodge,https://www.google.com/maps/place/Menjangan+Ecolodge/data=!4m10!3m9!1s0x2dd169520e919ad5:0x1f8027b17de5c03e!5m2!4m1!1i2!8m2!3d-8.1322544!4d114.5564002!16s%2Fg%2F11gn23m343!19sChIJ1ZqRDlJp0S0RPsDlfbEngB8?authuser=0&hl=en&rclk=1
Hibiscus House Bali Eco Guesthouse .,https://www.google.com/maps/place/Hibiscus+House+Bali+Eco+Guesthouse+./data=!4m10!3m9!1s0x2dd16eecaeacdcf9:0xbc58afffe2e3a3e6!5m2!4m1!1i2!8m2!3d-8.1431532!4d114.6497409!16s%2Fg%2F11bzt3q_sf!19sChIJ-dysruxu0S0R5qPj4v-vWLw?authuser=0&hl=en&rclk=1
West Break Bali Medewi,https://www.google.com/maps/place/West+Break+Bali+Medewi/data=!4m10!3m9!1s0x2dd3d6975be23953:0x7603cbb962fb952b!5m2!4m1!1i2!8m2!3d-8.4127794!4d114.8005518!16s%2Fg%2F11gnn2ytgj!19sChIJUzniW5fW0y0RK5X7YrnLA3Y?authuser=0&hl=en&rclk=1
La paparrucha bali,https://www.google.com/maps/place/La+paparrucha+bali/data=!4m10!3m9!1s0x2dd16f5b3466adc9:0x28f924fa9de3af8!5m2!4m1!1i2!8m2!3d-8.1462232!4d114.6493841!16s%2Fg%2F11s5cpk512!19sChIJya1mNFtv0S0R-DreqU-SjwI?authuser=0&hl=en&rclk=1
UMADEWI Surf & Retreat,https://www.google.com/maps/place/UMADEWI+Surf+%26+Retreat/data=!4m10!3m9!1s0x2dd3d76e2c2b05fb:0x844700f6aadde622!5m2!4m1!1i2!8m2!3d-8.4196567!4d114.8054885!16s%2Fg%2F11f66tbk3d!19sChIJ-wUrLG7X0y0RIubdqvYAR4Q?authuser=0&hl=en&rclk=1
