title,link
Swasti Eco Cottages,https://www.google.com/maps/place/Swasti+Eco+Cottages/data=!4m10!3m9!1s0x2dd23d0b03f6b09d:0xe21d81690157e31!5m2!4m1!1i2!8m2!3d-8.523034!4d115.257523!16s%2Fg%2F11xd59jtk!19sChIJnbD2Aws90i0RMX4VkBbYIQ4?authuser=0&hl=en&rclk=1
Kano Sari,https://www.google.com/maps/place/Kano+Sari/data=!4m10!3m9!1s0x2dd23d429f592f97:0x7c6633566767f90f!5m2!4m1!1i2!8m2!3d-8.504524!4d115.270409!16s%2Fg%2F11b6dpqfbh!19sChIJly9Zn0I90i0RD_lnZ1YzZnw?authuser=0&hl=en&rclk=1
Beehouse Dijiwa Ubud,https://www.google.com/maps/place/Beehouse+Dijiwa+Ubud/data=!4m10!3m9!1s0x2dd23d5b48f22077:0xbc80aa17500f62a7!5m2!4m1!1i2!8m2!3d-8.5169758!4d115.2741694!16s%2Fg%2F11fjw42rjr!19sChIJdyDySFs90i0Rp2IPUBeqgLw?authuser=0&hl=en&rclk=1
Sapodilla Ubud,https://www.google.com/maps/place/Sapodilla+Ubud/data=!4m10!3m9!1s0x2dd23d75baba8211:0xa0f257025b662c74!5m2!4m1!1i2!8m2!3d-8.523743!4d115.26361!16s%2Fg%2F11ckdf98zb!19sChIJEYK6unU90i0RdCxmWwJX8qA?authuser=0&hl=en&rclk=1
KAKUL VILLA UBUD,https://www.google.com/maps/place/KAKUL+VILLA+UBUD/data=!4m10!3m9!1s0x2dd23d985bc01d73:0x924efa58bdc4035c!5m2!4m1!1i2!8m2!3d-8.5335982!4d115.2615213!16s%2Fg%2F11bycfmxwd!19sChIJcx3AW5g90i0RXAPEvVj6TpI?authuser=0&hl=en&rclk=1
Meruhdani Boutique Hotel Ubud,https://www.google.com/maps/place/Meruhdani+Boutique+Hotel+Ubud/data=!4m10!3m9!1s0x2dd23d1542327d4d:0x6f4214031e4c42ae!5m2!4m1!1i2!8m2!3d-8.5064096!4d115.258789!16s%2Fg%2F11cmxz2nrz!19sChIJTX0yQhU90i0RrkJMHgMUQm8?authuser=0&hl=en&rclk=1
Junjungan Ubud Hotel & Spa,https://www.google.com/maps/place/Junjungan+Ubud+Hotel+%26+Spa/data=!4m10!3m9!1s0x2dd222b1e599711f:0xdbb964b044a8a020!5m2!4m1!1i2!8m2!3d-8.478856!4d115.2707141!16s%2Fg%2F1tctc02k!19sChIJH3GZ5bEi0i0RIKCoRLBkuds?authuser=0&hl=en&rclk=1
Ketut's Place Villas Ubud,https://www.google.com/maps/place/Ketut's+Place+Villas+Ubud/data=!4m10!3m9!1s0x2dd23df36509bd63:0xe87db4a0fb028aa7!5m2!4m1!1i2!8m2!3d-8.4908075!4d115.2654799!16s%2Fg%2F11f6cxh93p!19sChIJY70JZfM90i0Rp4oC-6C0feg?authuser=0&hl=en&rclk=1
"The Westin Resort & Spa Ubud, Bali","https://www.google.com/maps/place/The+Westin+Resort+%26+Spa+Ubud,+Bali/data=!4m10!3m9!1s0x2dd23d58d314c96b:0xea74fc8b974bcee3!5m2!4m1!1i2!8m2!3d-8.5469364!4d115.2523558!16s%2Fg%2F11fnym31cm!19sChIJa8kU01g90i0R485Ll4v8dOo?authuser=0&hl=en&rclk=1"
Menzel Ubud,https://www.google.com/maps/place/Menzel+Ubud/data=!4m10!3m9!1s0x2dd23d762884e375:0xb7728c114def7e46!5m2!4m1!1i2!8m2!3d-8.5264242!4d115.2696086!16s%2Fg%2F11fmqczts_!19sChIJdeOEKHY90i0RRn7vTRGMcrc?authuser=0&hl=en&rclk=1
The Sankara Suites & Villas by Pramana,https://www.google.com/maps/place/The+Sankara+Suites+%26+Villas+by+Pramana/data=!4m10!3m9!1s0x2dd23d4eb79e4f09:0x7a4221e7d6105908!5m2!4m1!1i2!8m2!3d-8.4812129!4d115.2679268!16s%2Fg%2F11h5s2sl4l!19sChIJCU-et0490i0RCFkQ1uchQno?authuser=0&hl=en&rclk=1
The Pari Sudha,https://www.google.com/maps/place/The+Pari+Sudha/data=!4m10!3m9!1s0x2dd222acf39f6fc1:0x2904dda432400720!5m2!4m1!1i2!8m2!3d-8.491333!4d115.2731825!16s%2Fg%2F11h0mcmr64!19sChIJwW-f86wi0i0RIAdAMqTdBCk?authuser=0&hl=en&rclk=1
Tegal Sari Accomodation,https://www.google.com/maps/place/Tegal+Sari+Accomodation/data=!4m10!3m9!1s0x2dd23df5642dcfc1:0xfe34f1b03c101a7e!5m2!4m1!1i2!8m2!3d-8.5183775!4d115.2624696!16s%2Fg%2F11hzz7f3pc!19sChIJwc8tZPU90i0RfhoQPLDxNP4?authuser=0&hl=en&rclk=1
Bisma Eight Hotel,https://www.google.com/maps/place/Bisma+Eight+Hotel/data=!4m10!3m9!1s0x2dd23d136ba8a3c7:0x3aed859559f659f5!5m2!4m1!1i2!8m2!3d-8.5116823!4d115.2580215!16s%2Fg%2F11b73rgptd!19sChIJx6OoaxM90i0R9Vn2WZWF7To?authuser=0&hl=en&rclk=1
Green Field Resort Ubud,https://www.google.com/maps/place/Green+Field+Resort+Ubud/data=!4m10!3m9!1s0x2dd23d63cd9ce691:0x65b1b051b6eae24f!5m2!4m1!1i2!8m2!3d-8.5275926!4d115.265816!16s%2Fg%2F11g4hm5r69!19sChIJkeaczWM90i0RT-LqtlGwsWU?authuser=0&hl=en&rclk=1
Element Bali Ubud,https://www.google.com/maps/place/Element+Bali+Ubud/data=!4m10!3m9!1s0x2dd23df8579105e9:0x8f05f2bf7569d97d!5m2!4m1!1i2!8m2!3d-8.4964788!4d115.2730189!16s%2Fg%2F11c6dxxrw9!19sChIJ6QWRV_g90i0Rfdlpdb_yBY8?authuser=0&hl=en&rclk=1
Adiwana Unagi Suites,https://www.google.com/maps/place/Adiwana+Unagi+Suites/data=!4m10!3m9!1s0x2dd23da7f6050c67:0xb11e79e864031662!5m2!4m1!1i2!8m2!3d-8.4887021!4d115.2648871!16s%2Fg%2F11fpyr7kfw!19sChIJZwwF9qc90i0RYhYDZOh5HrE?authuser=0&hl=en&rclk=1
Alamdini Resort Ubud,https://www.google.com/maps/place/Alamdini+Resort+Ubud/data=!4m10!3m9!1s0x2dd23d13704b81a7:0xef42aa8c87ee8808!5m2!4m1!1i2!8m2!3d-8.5105886!4d115.2578946!16s%2Fg%2F11c1ttmyr7!19sChIJp4FLcBM90i0RCIjuh4yqQu8?authuser=0&hl=en&rclk=1
Adiwana Bisma,https://www.google.com/maps/place/Adiwana+Bisma/data=!4m10!3m9!1s0x2dd23daed01582cf:0x310c5d9402422f63!5m2!4m1!1i2!8m2!3d-8.5137788!4d115.2581282!16s%2Fg%2F11h2p3l7t6!19sChIJz4IV0K490i0RYy9CApRdDDE?authuser=0&hl=en&rclk=1
Tetirah Boutique Hotel Ubud,https://www.google.com/maps/place/Tetirah+Boutique+Hotel+Ubud/data=!4m10!3m9!1s0x2dd23d4696364c6f:0x77d486aac73a4f9f!5m2!4m1!1i2!8m2!3d-8.4993584!4d115.2647311!16s%2Fg%2F11bzycdp0k!19sChIJb0w2lkY90i0Rn086x6qG1Hc?authuser=0&hl=en&rclk=1
Adiwana Monkey Forest,https://www.google.com/maps/place/Adiwana+Monkey+Forest/data=!4m10!3m9!1s0x2dd23d6d262dc895:0x8c375cb7eb34329e!5m2!4m1!1i2!8m2!3d-8.5131516!4d115.2608848!16s%2Fg%2F11f5bp4m65!19sChIJlcgtJm090i0RnjI067dcN4w?authuser=0&hl=en&rclk=1
The Hidden Paradise Ubud,https://www.google.com/maps/place/The+Hidden+Paradise+Ubud/data=!4m10!3m9!1s0x2dd23d6331c988bf:0x81b41a85cd345737!5m2!4m1!1i2!8m2!3d-8.5136853!4d115.2799664!16s%2Fg%2F11g_rbyvnt!19sChIJv4jJMWM90i0RN1c0zYUatIE?authuser=0&hl=en&rclk=1
Komaneka at Monkey Forest,https://www.google.com/maps/place/Komaneka+at+Monkey+Forest/data=!4m10!3m9!1s0x2dd23d6ca1057ec7:0xe1b9ef3533786efa!5m2!4m1!1i2!8m2!3d-8.5125884!4d115.2613747!16s%2Fg%2F1tdjn7hy!19sChIJx34FoWw90i0R-m54MzXvueE?authuser=0&hl=en&rclk=1
Ubud Village Hotel,https://www.google.com/maps/place/Ubud+Village+Hotel/data=!4m10!3m9!1s0x2dd23d6cc5181b1d:0xb72cb641372874dd!5m2!4m1!1i2!8m2!3d-8.5122372!4d115.2609554!16s%2Fg%2F1tf9dh62!19sChIJHRsYxWw90i0R3XQoN0G2LLc?authuser=0&hl=en&rclk=1
Ibah Luxury Villas & Spa,https://www.google.com/maps/place/Ibah+Luxury+Villas+%26+Spa/data=!4m10!3m9!1s0x2dd23d3e6ed4c1d1:0xb5d8815d873daf8c!5m2!4m1!1i2!8m2!3d-8.5038051!4d115.2554426!16s%2Fg%2F1tjzm_t4!19sChIJ0cHUbj490i0RjK89h12B2LU?authuser=0&hl=en&rclk=1
Purana Suite Ubud,https://www.google.com/maps/place/Purana+Suite+Ubud/data=!4m10!3m9!1s0x2dd23d9ecd1dee91:0xa6451ee013f56f8b!5m2!4m1!1i2!8m2!3d-8.5246823!4d115.2634397!16s%2Fg%2F11h12w1bg_!19sChIJke4dzZ490i0Ri2_1E-AeRaY?authuser=0&hl=en&rclk=1
Gayatri,https://www.google.com/maps/place/Gayatri/data=!4m10!3m9!1s0x2dd23d6b466cf5b5:0x1552b01097f2eba7!5m2!4m1!1i2!8m2!3d-8.5092817!4d115.2607622!16s%2Fg%2F1tr6cmh0!19sChIJtfVsRms90i0Rp-vylxCwUhU?authuser=0&hl=en&rclk=1
Sabana Ubud,https://www.google.com/maps/place/Sabana+Ubud/data=!4m10!3m9!1s0x2dd23d8345e5b987:0xa8342b9c1ec2d278!5m2!4m1!1i2!8m2!3d-8.52451!4d115.2627919!16s%2Fg%2F11h7q47c1h!19sChIJh7nlRYM90i0ReNLCHpwrNKg?authuser=0&hl=en&rclk=1
Plataran Ubud Hotel & Spa,https://www.google.com/maps/place/Plataran+Ubud+Hotel+%26+Spa/data=!4m10!3m9!1s0x2dd23d745f852b11:0xc93c11714319289d!5m2!4m1!1i2!8m2!3d-8.520507!4d115.262947!16s%2Fg%2F1ptw7mnyb!19sChIJESuFX3Q90i0RnSgZQ3ERPMk?authuser=0&hl=en&rclk=1
DEWI AYU ACCOMMODATION,https://www.google.com/maps/place/DEWI+AYU+ACCOMMODATION/data=!4m10!3m9!1s0x2dd23d72a7c17af7:0x1c6d32e9022f40a4!5m2!4m1!1i2!8m2!3d-8.5153309!4d115.2602345!16s%2Fg%2F1pzpw94vz!19sChIJ93rBp3I90i0RpEAvAukybRw?authuser=0&hl=en&rclk=1
Kebun Indah Bungalows,https://www.google.com/maps/place/Kebun+Indah+Bungalows/data=!4m10!3m9!1s0x2dd23d745e505bb3:0x4a8e8b4ff44fcdf4!5m2!4m1!1i2!8m2!3d-8.5217171!4d115.2633378!16s%2Fg%2F11b8zs44gk!19sChIJs1tQXnQ90i0R9M1P9E-Ljko?authuser=0&hl=en&rclk=1
Kandarpa Ubud Bali,https://www.google.com/maps/place/Kandarpa+Ubud+Bali/data=!4m10!3m9!1s0x2dd23dbdef6acd55:0xa467764b7a6b6668!5m2!4m1!1i2!8m2!3d-8.512718!4d115.2735374!16s%2Fg%2F11fl42jx8k!19sChIJVc1q77090i0RaGZrekt2Z6Q?authuser=0&hl=en&rclk=1
swan inn ubud,https://www.google.com/maps/place/swan+inn+ubud/data=!4m10!3m9!1s0x2dd23d6b239c93af:0x1637c51306b3eb51!5m2!4m1!1i2!8m2!3d-8.5092365!4d115.2612231!16s%2Fg%2F11yq4dc6t!19sChIJr5OcI2s90i0RUeuzBhPFNxY?authuser=0&hl=en&rclk=1
"FuramaXclusive Resort & Villas, Ubud Bali","https://www.google.com/maps/place/FuramaXclusive+Resort+%26+Villas,+Ubud+Bali/data=!4m10!3m9!1s0x2dd23db45fa89131:0x629572936ec646f9!5m2!4m1!1i2!8m2!3d-8.5433959!4d115.2313933!16s%2Fg%2F1tj9wn1m!19sChIJMZGoX7Q90i0R-UbGbpNylWI?authuser=0&hl=en&rclk=1"
Ubud Sari Health Resort,https://www.google.com/maps/place/Ubud+Sari+Health+Resort/data=!4m10!3m9!1s0x2dd23d411d5496ab:0x25cb12be91618abf!5m2!4m1!1i2!8m2!3d-8.5023697!4d115.2628275!16s%2Fg%2F11bvtlm0c5!19sChIJq5ZUHUE90i0Rv4phkb4SyyU?authuser=0&hl=en&rclk=1
Yarama Cottages,https://www.google.com/maps/place/Yarama+Cottages/data=!4m10!3m9!1s0x2dd23d73a527b933:0xa77a08bf0ef55ca3!5m2!4m1!1i2!8m2!3d-8.5187214!4d115.2634515!16s%2Fg%2F1pycqd18w!19sChIJM7knpXM90i0Ro1z1Dr8Ieqc?authuser=0&hl=en&rclk=1
Umae Villa Ubud,https://www.google.com/maps/place/Umae+Villa+Ubud/data=!4m10!3m9!1s0x2dd23d75993b6e15:0x5b235b328c274734!5m2!4m1!1i2!8m2!3d-8.5213695!4d115.2623776!16s%2Fg%2F1ptxl12hj!19sChIJFW47mXU90i0RNEcnjDJbI1s?authuser=0&hl=en&rclk=1
Ubud Kerta City Hotel,https://www.google.com/maps/place/Ubud+Kerta+City+Hotel/data=!4m10!3m9!1s0x2dd23d6ca8cb124f:0xe1d8459e9e246175!5m2!4m1!1i2!8m2!3d-8.51085!4d115.2610344!16s%2Fg%2F11ckdh7rll!19sChIJTxLLqGw90i0RdWEknp5F2OE?authuser=0&hl=en&rclk=1
Grand Sehati & Spa Ubud,https://www.google.com/maps/place/Grand+Sehati+%26+Spa+Ubud/data=!4m10!3m9!1s0x2dd23d739f22c9c3:0xf0367069613b6b93!5m2!4m1!1i2!8m2!3d-8.5181696!4d115.2623825!16s%2Fg%2F1tfwskm2!19sChIJw8kin3M90i0Rk2s7YWlwNvA?authuser=0&hl=en&rclk=1
Alaya Resort Ubud,https://www.google.com/maps/place/Alaya+Resort+Ubud/data=!4m10!3m9!1s0x2dd23d6c35a395c7:0x3153cf85768a9667!5m2!4m1!1i2!8m2!3d-8.518693!4d115.263535!16s%2Fg%2F11zbqqbjs!19sChIJx5WjNWw90i0RZ5aKdoXPUzE?authuser=0&hl=en&rclk=1
ARTOTEL Haniman Ubud - Bali,https://www.google.com/maps/place/ARTOTEL+Haniman+Ubud+-+Bali/data=!4m10!3m9!1s0x2dd23d72170dd739:0x312f009c8af18a8d!5m2!4m1!1i2!8m2!3d-8.5164226!4d115.2653935!16s%2Fg%2F11f3zfynwy!19sChIJOdcNF3I90i0RjYrxipwALzE?authuser=0&hl=en&rclk=1
Ubud Canti Accommodation,https://www.google.com/maps/place/Ubud+Canti+Accommodation/data=!4m10!3m9!1s0x2dd23d950f76597d:0xc3ea3e29b729a9f5!5m2!4m1!1i2!8m2!3d-8.5434883!4d115.2621241!16s%2Fg%2F11bv2f_vtc!19sChIJfVl2D5U90i0R9akptyk-6sM?authuser=0&hl=en&rclk=1
Kaamala Resort Ubud,https://www.google.com/maps/place/Kaamala+Resort+Ubud/data=!4m10!3m9!1s0x2dd23d9efd543713:0xf8adf658c4f0fc16!5m2!4m1!1i2!8m2!3d-8.51636!4d115.2576139!16s%2Fg%2F11fq8xyt9h!19sChIJEzdU_Z490i0RFvzwxFj2rfg?authuser=0&hl=en&rclk=1
Bisma Cottages Ubud,https://www.google.com/maps/place/Bisma+Cottages+Ubud/data=!4m10!3m9!1s0x2dd2160c74bdfc07:0x853b7a81dfb3e989!5m2!4m1!1i2!8m2!3d-8.5151114!4d115.2580575!16s%2Fg%2F11cn17rkv7!19sChIJB_y9dAwW0i0Riemz34F6O4U?authuser=0&hl=en&rclk=1
Tejaprana Bisma,https://www.google.com/maps/place/Tejaprana+Bisma/data=!4m10!3m9!1s0x2dd23d8b374cf543:0x6323486f9cfa45f!5m2!4m1!1i2!8m2!3d-8.5170096!4d115.2573531!16s%2Fg%2F11f7bjk25k!19sChIJQ_VMN4s90i0RX6TP-YY0MgY?authuser=0&hl=en&rclk=1
Natya Resort Ubud,https://www.google.com/maps/place/Natya+Resort+Ubud/data=!4m10!3m9!1s0x2dd222be52dce515:0x38f38f7a5e5a2f15!5m2!4m1!1i2!8m2!3d-8.46717!4d115.263996!16s%2Fg%2F11cn15qd25!19sChIJFeXcUr4i0i0RFS9aXnqP8zg?authuser=0&hl=en&rclk=1
Anumana Hotel Ubud,https://www.google.com/maps/place/Anumana+Hotel+Ubud/data=!4m10!3m9!1s0x2dd23d6cdad82e2d:0x32bf482c084798de!5m2!4m1!1i2!8m2!3d-8.5183844!4d115.2621492!16s%2Fg%2F11bcdz5fr5!19sChIJLS7Y2mw90i0R3phHCCxIvzI?authuser=0&hl=en&rclk=1
Bhuwana Ubud Hotel & Farming,https://www.google.com/maps/place/Bhuwana+Ubud+Hotel+%26+Farming/data=!4m10!3m9!1s0x2dd23d9e381338f9:0xf222ebf1ab730ed1!5m2!4m1!1i2!8m2!3d-8.5313796!4d115.2661278!16s%2Fg%2F11xpdnv92!19sChIJ-TgTOJ490i0R0Q5zq_HrIvI?authuser=0&hl=en&rclk=1
