title,link,keyword
Bali Nibbana Resort,https://www.google.com/maps/place/Bali+Nibbana+Resort/data=!4m10!3m9!1s0x2dd182ad926ddc67:0x420c2f5e99e3fd1a!5m2!4m1!1i2!8m2!3d-8.189572!4d114.915293!16s%2Fg%2F1tndmxpz!19sChIJZ9xtkq2C0S0RGv3jmV4vDEI?authuser=0&hl=en&rclk=1,hotel
The Hamsa Resort,https://www.google.com/maps/place/The+Hamsa+Resort/data=!4m10!3m9!1s0x2dd184a7b08af9a3:0xee7277fa146f23fb!5m2!4m1!1i2!8m2!3d-8.192147!4d115.001453!16s%2Fg%2F1pzv34n0r!19sChIJo_mKsKeE0S0R-yNvFPp3cu4?authuser=0&hl=en&rclk=1,hotel
Kampung Coklat jembrana,https://www.google.com/maps/place/Kampung+Coklat+jembrana/data=!4m10!3m9!1s0x2dd163f0788ce12f:0x2818767b5977079!5m2!4m1!1i2!8m2!3d-8.3324955!4d114.6797408!16s%2Fg%2F11rb3wzck8!19sChIJL-GMePBj0S0ReXCXtWeHgQI?authuser=0&hl=en&rclk=1,hotel
Hotel Segara Mandala,https://www.google.com/maps/place/Hotel+Segara+Mandala/data=!4m10!3m9!1s0x2dd1620ef98ea3b5:0x7754b4f190d3c127!5m2!4m1!1i2!8m2!3d-8.3586146!4d114.6346972!16s%2Fg%2F1hm34l1c4!19sChIJtaOO-Q5i0S0RJ8HTkPG0VHc?authuser=0&hl=en&rclk=1,hotel
Negara Hotel,https://www.google.com/maps/place/Negara+Hotel/data=!4m10!3m9!1s0x2dd1635939cf4f8d:0xde2ff9c8a1704593!5m2!4m1!1i2!8m2!3d-8.3605965!4d114.629145!16s%2Fg%2F1pty0flrf!19sChIJjU_POVlj0S0Rk0Vwocj5L94?authuser=0&hl=en&rclk=1,hotel
Jimbarwana Hotel,https://www.google.com/maps/place/Jimbarwana+Hotel/data=!4m10!3m9!1s0x2dd16202b5a88687:0x9abf5a066414c21e!5m2!4m1!1i2!8m2!3d-8.3565855!4d114.6206064!16s%2Fg%2F1tggdwj0!19sChIJh4aotQJi0S0RHsIUZAZav5o?authuser=0&hl=en&rclk=1,hotel
Hotel Jepun Bali,https://www.google.com/maps/place/Hotel+Jepun+Bali/data=!4m10!3m9!1s0x2dd1615a72320cf9:0x54b2af3328b84d4f!5m2!4m1!1i2!8m2!3d-8.3499798!4d114.6167046!16s%2Fg%2F11fr6r890x!19sChIJ-Qwyclph0S0RT024KDOvslQ?authuser=0&hl=en&rclk=1,hotel
Jati Hotel,https://www.google.com/maps/place/Jati+Hotel/data=!4m10!3m9!1s0x2dd161ebf16cd5bd:0xf3593151041780d9!5m2!4m1!1i2!8m2!3d-8.3520829!4d114.6010283!16s%2Fg%2F11f6h23tkw!19sChIJvdVs8eth0S0R2YAXBFExWfM?authuser=0&hl=en&rclk=1,hotel
Villa Jembrana,https://www.google.com/maps/place/Villa+Jembrana/data=!4m10!3m9!1s0x2dd163c0c72f0f0b:0x51e22e2b0bbe2bb!5m2!4m1!1i2!8m2!3d-8.3089413!4d114.6414053!16s%2Fg%2F11f3f7dchk!19sChIJCw8vx8Bj0S0Ru-K7sOIiHgU?authuser=0&hl=en&rclk=1,hotel
Gelar Eco Villas,https://www.google.com/maps/place/Gelar+Eco+Villas/data=!4m10!3m9!1s0x2dd1632500bcf467:0xcf5b4db0eb4e6591!5m2!4m1!1i2!8m2!3d-8.3029424!4d114.6536889!16s%2Fg%2F11g2pl_yt2!19sChIJZ_S8ACVj0S0RkWVO67BNW88?authuser=0&hl=en&rclk=1,hotel
