title,link,keyword
Sunari Beach Resort Selayar,https://www.google.com/maps/place/Sunari+Beach+Resort+Selayar/data=!4m10!3m9!1s0x2dba36cf90f020a7:0x3be8e6dbfd7cdaee!5m2!4m1!1i2!8m2!3d-6.223706!4d120.44633!16s%2Fg%2F11dxrscfpy!19sChIJpyDwkM82ui0R7tp8_dvm6Ds?authuser=0&hl=en&rclk=1,hotels
Eco Resort Pulau Selayar,https://www.google.com/maps/place/Eco+Resort+Pulau+Selayar/data=!4m10!3m9!1s0x2dba156ae18ca57b:0xc6867af68031415e!5m2!4m1!1i2!8m2!3d-6.4378927!4d120.5041548!16s%2Fg%2F11c70db_90!19sChIJe6WM4WoVui0RXkExgPZ6hsY?authuser=0&hl=en&rclk=1,hotels
Liang Kareta resort,https://www.google.com/maps/place/Liang+Kareta+resort/data=!4m10!3m9!1s0x2dba33d169b6eb9b:0x850e41783f1af71e!5m2!4m1!1i2!8m2!3d-6.2015632!4d120.3987447!16s%2Fg%2F120y8g5r!19sChIJm-u2adEzui0RHvcaP3hBDoU?authuser=0&hl=en&rclk=1,hotels
Quina Paradise Cottage Selayar,https://www.google.com/maps/place/Quina+Paradise+Cottage+Selayar/data=!4m10!3m9!1s0x2dba398a7943fe25:0x35ebc4cec2c09588!5m2!4m1!1i2!8m2!3d-6.2423279!4d120.4473189!16s%2Fg%2F11gy44ynbg!19sChIJJf5DeYo5ui0RiJXAws7E6zU?authuser=0&hl=en&rclk=1,hotels
Selayar Dive Resort,https://www.google.com/maps/place/Selayar+Dive+Resort/data=!4m10!3m9!1s0x2dba14e1ddd25207:0x4610822f2c196336!5m2!4m1!1i2!8m2!3d-6.4559096!4d120.5007264!16s%2Fg%2F11f4wt_979!19sChIJB1LS3eEUui0RNmMZLC-CEEY?authuser=0&hl=en&rclk=1,hotels
Balatoa Bungalow,https://www.google.com/maps/place/Balatoa+Bungalow/data=!4m10!3m9!1s0x2dbbf3ecda49746d:0xb67991861f242cb!5m2!4m1!1i2!8m2!3d-5.61501!4d120.457933!16s%2Fg%2F11c5bjf4t1!19sChIJbXRJ2uzzuy0Ry0LyYRiZZws?authuser=0&hl=en&rclk=1,hotels
Bara Beach Bungalows & Restaurant,https://www.google.com/maps/place/Bara+Beach+Bungalows+%26+Restaurant/data=!4m10!3m9!1s0x2dbbf3fe80acff8d:0x28c8d2956b5ddc86!5m2!4m1!1i2!8m2!3d-5.608544!4d120.438677!16s%2Fg%2F11gztqpw7!19sChIJjf-sgP7zuy0Rhtxda5XSyCg?authuser=0&hl=en&rclk=1,hotels
Hotel Arini 2,https://www.google.com/maps/place/Hotel+Arini+2/data=!4m10!3m9!1s0x2dbc02853fe4757d:0x32b0405cab309fcc!5m2!4m1!1i2!8m2!3d-5.5503031!4d120.1895523!16s%2Fg%2F11b7q648np!19sChIJfXXkP4UCvC0RzJ8wq1xAsDI?authuser=0&hl=en&rclk=1,hotels
Wisma Erik,https://www.google.com/maps/place/Wisma+Erik/data=!4m10!3m9!1s0x2dbbff8e72b21757:0x351f5074106ab992!5m2!4m1!1i2!8m2!3d-5.5526057!4d120.188505!16s%2Fg%2F11b6bpl7fk!19sChIJVxeyco7_uy0RkrlqEHRQHzU?authuser=0&hl=en&rclk=1,hotels
Homestay Awal Fajar Syariah Bulukumba,https://www.google.com/maps/place/Homestay+Awal+Fajar+Syariah+Bulukumba/data=!4m10!3m9!1s0x2dbbff8e13e65483:0x658eb0c1e8c113d1!5m2!4m1!1i2!8m2!3d-5.552855!4d120.1887902!16s%2Fg%2F1pzyp61fg!19sChIJg1TmE47_uy0R0RPB6MGwjmU?authuser=0&hl=en&rclk=1,hotels
