title,link,keyword
Kelapa Retreat & Spa,https://www.google.com/maps/place/Kelapa+Retreat+%26+Spa/data=!4m10!3m9!1s0x2dd3d3f570c9a44b:0xeb2ca4b91daafa67!5m2!4m1!1i2!8m2!3d-8.434465!4d114.830444!16s%2Fg%2F1v4lzj77!19sChIJS6TJcPXT0y0RZ_qqHbmkLOs?authuser=0&hl=en&rclk=1,luxury hotels
Menjangan Dynasty Resort Beach Glamping and Dive Centre,https://www.google.com/maps/place/Menjangan+Dynasty+Resort+Beach+Glamping+and+Dive+Centre/data=!4m10!3m9!1s0x2dd16985bb24fa8f:0xe0c6ad1709eb269!5m2!4m1!1i2!8m2!3d-8.135173!4d114.561906!16s%2Fg%2F11cn6f48hh!19sChIJj_oku4Vp0S0RabKecNFqDA4?authuser=0&hl=en&rclk=1,luxury hotels
Plataran Menjangan Resort & Spa,https://www.google.com/maps/place/Plataran+Menjangan+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd1699a975c1379:0x39267aebb1bcfb57!5m2!4m1!1i2!8m2!3d-8.1328814!4d114.5528006!16s%2Fg%2F11bw5m7s39!19sChIJeRNcl5pp0S0RV_u8set6Jjk?authuser=0&hl=en&rclk=1,luxury hotels
Kelapa Retreat & Spa,https://www.google.com/maps/place/Kelapa+Retreat+%26+Spa/data=!4m10!3m9!1s0x2dd3d40f66f82313:0xeb2ca4b91daafa67!5m2!4m1!1i2!8m2!3d-8.4344654!4d114.8304443!16s%2Fg%2F1v4lzj77!19sChIJEyP4Zg_U0y0RZ_qqHbmkLOs?authuser=0&hl=en&rclk=1,luxury hotels
Menjangan Dynasty Resort Beach Glamping and Dive Centre,https://www.google.com/maps/place/Menjangan+Dynasty+Resort+Beach+Glamping+and+Dive+Centre/data=!4m10!3m9!1s0x2dd16985bb24c935:0xe0c6ad1709eb269!5m2!4m1!1i2!8m2!3d-8.1351728!4d114.5619057!16s%2Fg%2F11cn6f48hh!19sChIJNckku4Vp0S0RabKecNFqDA4?authuser=0&hl=en&rclk=1,luxury hotels
Sumberkima Hill Retreat,https://www.google.com/maps/place/Sumberkima+Hill+Retreat/data=!4m10!3m9!1s0x2dd16930bc21579f:0x92f04b6d5d5398dc!5m2!4m1!1i2!8m2!3d-8.1513898!4d114.6088368!16s%2Fg%2F11bxf6fdbj!19sChIJn1chvDBp0S0R3JhTXW1L8JI?authuser=0&hl=en&rclk=1,luxury hotels
The Menjangan,https://www.google.com/maps/place/The+Menjangan/data=!4m10!3m9!1s0x2dd169eca57af51f:0xdab63fb058bc950b!5m2!4m1!1i2!8m2!3d-8.1437929!4d114.5469718!16s%2Fg%2F1tcvlcsj!19sChIJH_V6pexp0S0RC5W8WLA_tto?authuser=0&hl=en&rclk=1,luxury hotels
Puri Dajuma Beach Eco-Resort & Spa,https://www.google.com/maps/place/Puri+Dajuma+Beach+Eco-Resort+%26+Spa/data=!4m10!3m9!1s0x2dd3d406883af719:0x65366bc8191f2a52!5m2!4m1!1i2!8m2!3d-8.4302558!4d114.8181233!16s%2Fg%2F1tcynz41!19sChIJGfc6iAbU0y0RUiofGchrNmU?authuser=0&hl=en&rclk=1,luxury hotels
NAYA GAWANA Resort and Spa,https://www.google.com/maps/place/NAYA+GAWANA+Resort+and+Spa/data=!4m10!3m9!1s0x2dd247706c8ef42b:0x58f17a930676b2e8!5m2!4m1!1i2!8m2!3d-8.1368754!4d114.5684981!16s%2Fg%2F11b5z3041k!19sChIJK_SObHBH0i0R6LJ2BpN68Vg?authuser=0&hl=en&rclk=1,luxury hotels
Sun Suko Boutique Retreat,https://www.google.com/maps/place/Sun+Suko+Boutique+Retreat/data=!4m10!3m9!1s0x2dd16eef7551d3ad:0x8a3524656b9aa7ab!5m2!4m1!1i2!8m2!3d-8.1518442!4d114.6529858!16s%2Fg%2F11cs6blb_7!19sChIJrdNRde9u0S0Rq6eaa2UkNYo?authuser=0&hl=en&rclk=1,luxury hotels
Adi Assri Beach Resort & Spa,https://www.google.com/maps/place/Adi+Assri+Beach+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16ef39d2ed545:0xba3891d809a0cf15!5m2!4m1!1i2!8m2!3d-8.1448124!4d114.6600837!16s%2Fg%2F11g_0c3fy!19sChIJRdUunfNu0S0RFc-gCdiROLo?authuser=0&hl=en&rclk=1,luxury hotels
Taman Wana Resort Palasari,https://www.google.com/maps/place/Taman+Wana+Resort+Palasari/data=!4m10!3m9!1s0x2dd1670db319ae23:0xff9105e93d8343f5!5m2!4m1!1i2!8m2!3d-8.2577282!4d114.5520367!16s%2Fg%2F1tpmdft6!19sChIJI64Zsw1n0S0R9UODPekFkf8?authuser=0&hl=en&rclk=1,luxury hotels
Mimpi Resort Menjangan,https://www.google.com/maps/place/Mimpi+Resort+Menjangan/data=!4m10!3m9!1s0x2dd1698446470daf:0x4e7a16fba796d461!5m2!4m1!1i2!8m2!3d-8.138384!4d114.5718471!16s%2Fg%2F11g_5kt8x!19sChIJrw1HRoRp0S0RYdSWp_sWek4?authuser=0&hl=en&rclk=1,luxury hotels
Segara urip Homestay,https://www.google.com/maps/place/Segara+urip+Homestay/data=!4m10!3m9!1s0x2dd3d8e3bf10ad0b:0xc3abf5d18473f333!5m2!4m1!1i2!8m2!3d-8.4017201!4d114.6506018!16s%2Fg%2F11f4wtkd_s!19sChIJC60Qv-PY0y0RM_NzhNH1q8M?authuser=0&hl=en&rclk=1,luxury hotels
Kebunaya Backpacker,https://www.google.com/maps/place/Kebunaya+Backpacker/data=!4m10!3m9!1s0x2dd16971a31f668f:0x5ce5c56478b1bac3!5m2!4m1!1i2!8m2!3d-8.1405154!4d114.5922361!16s%2Fg%2F11b77hlvyc!19sChIJj2Yfo3Fp0S0Rw7qxeGTF5Vw?authuser=0&hl=en&rclk=1,luxury hotels
