title,link,keyword
Kelapa Retreat & Spa,https://www.google.com/maps/place/Kelapa+Retreat+%26+Spa/data=!4m10!3m9!1s0x2dd3d3f570c9a44b:0xeb2ca4b91daafa67!5m2!4m1!1i2!8m2!3d-8.434465!4d114.830444!16s%2Fg%2F1v4lzj77!19sChIJS6TJcPXT0y0RZ_qqHbmkLOs?authuser=0&hl=en&rclk=1,luxury resorts
Menjangan Dynasty Resort Beach Glamping and Dive Centre,https://www.google.com/maps/place/Menjangan+Dynasty+Resort+Beach+Glamping+and+Dive+Centre/data=!4m10!3m9!1s0x2dd16985bb24fa8f:0xe0c6ad1709eb269!5m2!4m1!1i2!8m2!3d-8.135173!4d114.561906!16s%2Fg%2F11cn6f48hh!19sChIJj_oku4Vp0S0RabKecNFqDA4?authuser=0&hl=en&rclk=1,luxury resorts
Plataran Menjangan Resort & Spa,https://www.google.com/maps/place/Plataran+Menjangan+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd1699a975c1379:0x39267aebb1bcfb57!5m2!4m1!1i2!8m2!3d-8.1328814!4d114.5528006!16s%2Fg%2F11bw5m7s39!19sChIJeRNcl5pp0S0RV_u8set6Jjk?authuser=0&hl=en&rclk=1,luxury resorts
Kelapa Retreat & Spa,https://www.google.com/maps/place/Kelapa+Retreat+%26+Spa/data=!4m10!3m9!1s0x2dd3d40f66f82313:0xeb2ca4b91daafa67!5m2!4m1!1i2!8m2!3d-8.4344654!4d114.8304443!16s%2Fg%2F1v4lzj77!19sChIJEyP4Zg_U0y0RZ_qqHbmkLOs?authuser=0&hl=en&rclk=1,luxury resorts
Menjangan Dynasty Resort Beach Glamping and Dive Centre,https://www.google.com/maps/place/Menjangan+Dynasty+Resort+Beach+Glamping+and+Dive+Centre/data=!4m10!3m9!1s0x2dd16985bb24c935:0xe0c6ad1709eb269!5m2!4m1!1i2!8m2!3d-8.1351728!4d114.5619057!16s%2Fg%2F11cn6f48hh!19sChIJNckku4Vp0S0RabKecNFqDA4?authuser=0&hl=en&rclk=1,luxury resorts
Sumberkima Hill Retreat,https://www.google.com/maps/place/Sumberkima+Hill+Retreat/data=!4m10!3m9!1s0x2dd16930bc21579f:0x92f04b6d5d5398dc!5m2!4m1!1i2!8m2!3d-8.1513898!4d114.6088368!16s%2Fg%2F11bxf6fdbj!19sChIJn1chvDBp0S0R3JhTXW1L8JI?authuser=0&hl=en&rclk=1,luxury resorts
The Menjangan,https://www.google.com/maps/place/The+Menjangan/data=!4m10!3m9!1s0x2dd169eca57af51f:0xdab63fb058bc950b!5m2!4m1!1i2!8m2!3d-8.1437929!4d114.5469718!16s%2Fg%2F1tcvlcsj!19sChIJH_V6pexp0S0RC5W8WLA_tto?authuser=0&hl=en&rclk=1,luxury resorts
Puri Dajuma Beach Eco-Resort & Spa,https://www.google.com/maps/place/Puri+Dajuma+Beach+Eco-Resort+%26+Spa/data=!4m10!3m9!1s0x2dd3d406883af719:0x65366bc8191f2a52!5m2!4m1!1i2!8m2!3d-8.4302558!4d114.8181233!16s%2Fg%2F1tcynz41!19sChIJGfc6iAbU0y0RUiofGchrNmU?authuser=0&hl=en&rclk=1,luxury resorts
NAYA GAWANA Resort and Spa,https://www.google.com/maps/place/NAYA+GAWANA+Resort+and+Spa/data=!4m10!3m9!1s0x2dd247706c8ef42b:0x58f17a930676b2e8!5m2!4m1!1i2!8m2!3d-8.1368754!4d114.5684981!16s%2Fg%2F11b5z3041k!19sChIJK_SObHBH0i0R6LJ2BpN68Vg?authuser=0&hl=en&rclk=1,luxury resorts
Adi Assri Beach Resort & Spa,https://www.google.com/maps/place/Adi+Assri+Beach+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16ef39d2ed545:0xba3891d809a0cf15!5m2!4m1!1i2!8m2!3d-8.1448124!4d114.6600837!16s%2Fg%2F11g_0c3fy!19sChIJRdUunfNu0S0RFc-gCdiROLo?authuser=0&hl=en&rclk=1,luxury resorts
Sun Suko Boutique Retreat,https://www.google.com/maps/place/Sun+Suko+Boutique+Retreat/data=!4m10!3m9!1s0x2dd16eef7551d3ad:0x8a3524656b9aa7ab!5m2!4m1!1i2!8m2!3d-8.1518442!4d114.6529858!16s%2Fg%2F11cs6blb_7!19sChIJrdNRde9u0S0Rq6eaa2UkNYo?authuser=0&hl=en&rclk=1,luxury resorts
Mimpi Resort Menjangan,https://www.google.com/maps/place/Mimpi+Resort+Menjangan/data=!4m10!3m9!1s0x2dd1698446470daf:0x4e7a16fba796d461!5m2!4m1!1i2!8m2!3d-8.138384!4d114.5718471!16s%2Fg%2F11g_5kt8x!19sChIJrw1HRoRp0S0RYdSWp_sWek4?authuser=0&hl=en&rclk=1,luxury resorts
The Kenran Resort Ubud By Soscomma,https://www.google.com/maps/place/The+Kenran+Resort+Ubud+By+Soscomma/data=!4m10!3m9!1s0x2dd21807d7639851:0x38cc627efbdac6de!5m2!4m1!1i2!8m2!3d-8.473657!4d115.285999!16s%2Fg%2F11fmvb1n2c!19sChIJUZhj1wcY0i0R3sba-35izDg?authuser=0&hl=en&rclk=1,luxury resorts
Wyndham Tamansari Jivva Resort Bali,https://www.google.com/maps/place/Wyndham+Tamansari+Jivva+Resort+Bali/data=!4m10!3m9!1s0x2dd213f41acecd29:0xbcf303c67e79ef2f!5m2!4m1!1i2!8m2!3d-8.573117!4d115.383725!16s%2Fg%2F11bwp6hbs6!19sChIJKc3OGvQT0i0RL-95fsYD87w?authuser=0&hl=en&rclk=1,luxury resorts
Planta Luxury Boutique Resort,https://www.google.com/maps/place/Planta+Luxury+Boutique+Resort/data=!4m10!3m9!1s0x2dd2386234713b75:0x3f3800f8a13b6620!5m2!4m1!1i2!8m2!3d-8.6411902!4d115.138838!16s%2Fg%2F11ckw28ml3!19sChIJdTtxNGI40i0RIGY7ofgAOD8?authuser=0&hl=en&rclk=1,luxury resorts
Clove Tree Hill - Bali Eco Retreat,https://www.google.com/maps/place/Clove+Tree+Hill+-+Bali+Eco+Retreat/data=!4m10!3m9!1s0x2dd22f3c23d56ac1:0x47a952d8cc8db800!5m2!4m1!1i2!8m2!3d-8.4334687!4d115.0631399!16s%2Fg%2F11csr1y0xl!19sChIJwWrVIzwv0i0RALiNzNhSqUc?authuser=0&hl=en&rclk=1,luxury resorts
Luxury Resorts Bali,https://www.google.com/maps/place/Luxury+Resorts+Bali/data=!4m7!3m6!1s0x2dd246a374309de5:0x4c32aebce949abe8!8m2!3d-8.723994!4d115.170169!16s%2Fg%2F12hl4q2xq!19sChIJ5Z0wdKNG0i0R6KtJ6byuMkw?authuser=0&hl=en&rclk=1,luxury resorts
Ulaman,https://www.google.com/maps/place/Ulaman/data=!4m10!3m9!1s0x2dd23921369d5713:0x84f33e9385550fd4!5m2!4m1!1i2!8m2!3d-8.5929653!4d115.1305649!16s%2Fg%2F11h9gv96bv!19sChIJE1edNiE50i0R1A9VhZM-84Q?authuser=0&hl=en&rclk=1,luxury resorts
Calluna Luxury Resort,https://www.google.com/maps/place/Calluna+Luxury+Resort/data=!4m7!3m6!1s0x2dd2226aaaaaaaab:0x3be3a32b95fd0924!8m2!3d-8.4248244!4d115.2600506!16s%2Fg%2F11gdkp6p2p!19sChIJq6qqqmoi0i0RJAn9lSuj4zs?authuser=0&hl=en&rclk=1,luxury resorts
Four Seasons Resort Bali At Sayan,https://www.google.com/maps/place/Four+Seasons+Resort+Bali+At+Sayan/data=!4m10!3m9!1s0x2dd222c54a18d5cd:0x7fb6013c199c78ef!5m2!4m1!1i2!8m2!3d-8.5020614!4d115.2437855!16s%2Fg%2F1hf00yjz0!19sChIJzdUYSsUi0i0R73icGTwBtn8?authuser=0&hl=en&rclk=1,luxury resorts
