title,link,keyword
West Bali Villas - Umasari Resort,https://www.google.com/maps/place/West+Bali+Villas+-+Umasari+Resort/data=!4m10!3m9!1s0x2dd163ccef734189:0xaef046bf6ec0d392!5m2!4m1!1i2!8m2!3d-8.3236414!4d114.6349805!16s%2Fg%2F11bxc3rbk0!19sChIJiUFz78xj0S0RktPAbr9G8K4?authuser=0&hl=en&rclk=1,resort bali
Taman Sari Bali Resort & Spa,https://www.google.com/maps/place/Taman+Sari+Bali+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16ed7f37354b3:0xc8a710c1c866fabe!5m2!4m1!1i2!8m2!3d-8.1419129!4d114.6526085!16s%2Fg%2F1hf58wpk1!19sChIJs1Rz89du0S0RvvpmyMEQp8g?authuser=0&hl=en&rclk=1,resort bali
Sumberkima Hill Retreat,https://www.google.com/maps/place/Sumberkima+Hill+Retreat/data=!4m10!3m9!1s0x2dd16930bc21579f:0x92f04b6d5d5398dc!5m2!4m1!1i2!8m2!3d-8.1513898!4d114.6088368!16s%2Fg%2F11bxf6fdbj!19sChIJn1chvDBp0S0R3JhTXW1L8JI?authuser=0&hl=en&rclk=1,resort bali
Zen Resort,https://www.google.com/maps/place/Zen+Resort/data=!4m10!3m9!1s0x2dd19b3f0afc4ee9:0x3da04c6ae747a5a2!5m2!4m1!1i2!8m2!3d-8.1881734!4d114.9148634!16s%2Fg%2F1tf138tm!19sChIJ6U78Cj-b0S0RoqVH52pMoD0?authuser=0&hl=en&rclk=1,resort bali
Mimpi Resort Menjangan,https://www.google.com/maps/place/Mimpi+Resort+Menjangan/data=!4m10!3m9!1s0x2dd1698446470daf:0x4e7a16fba796d461!5m2!4m1!1i2!8m2!3d-8.138384!4d114.5718471!16s%2Fg%2F11g_5kt8x!19sChIJrw1HRoRp0S0RYdSWp_sWek4?authuser=0&hl=en&rclk=1,resort bali
Adi Assri Beach Resort & Spa,https://www.google.com/maps/place/Adi+Assri+Beach+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16ef39d2ed545:0xba3891d809a0cf15!5m2!4m1!1i2!8m2!3d-8.1448124!4d114.6600837!16s%2Fg%2F11g_0c3fy!19sChIJRdUunfNu0S0RFc-gCdiROLo?authuser=0&hl=en&rclk=1,resort bali
Hilton Bali Resort,https://www.google.com/maps/place/Hilton+Bali+Resort/data=!4m10!3m9!1s0x2dd25cc661212a01:0x63d7607350cf7576!5m2!4m1!1i2!8m2!3d-8.8256831!4d115.2186743!16s%2Fg%2F122tc1mx!19sChIJASohYcZc0i0RdnXPUHNg12M?authuser=0&hl=en&rclk=1,resort bali
Vino resort,https://www.google.com/maps/place/Vino+resort/data=!4m7!3m6!1s0x2dd163b6be6cf2f7:0xebc18b46b1a5b4fe!8m2!3d-8.3185725!4d114.6476388!16s%2Fg%2F11cl_kdbpl!19sChIJ9_JsvrZj0S0R_rSlsUaLwes?authuser=0&hl=en&rclk=1,resort bali
Plataran Menjangan Resort & Spa,https://www.google.com/maps/place/Plataran+Menjangan+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd1699a975c1379:0x39267aebb1bcfb57!5m2!4m1!1i2!8m2!3d-8.1328814!4d114.5528006!16s%2Fg%2F11bw5m7s39!19sChIJeRNcl5pp0S0RV_u8set6Jjk?authuser=0&hl=en&rclk=1,resort bali
"InterContinental Bali Resort, an IHG Hotel","https://www.google.com/maps/place/InterContinental+Bali+Resort,+an+IHG+Hotel/data=!4m10!3m9!1s0x2dd2448c90392e65:0xfe84ecc9e6b29627!5m2!4m1!1i2!8m2!3d-8.7796489!4d115.1676792!16s%2Fm%2F0c40xfm!19sChIJZS45kIxE0i0RJ5ay5snshP4?authuser=0&hl=en&rclk=1",resort bali
