title,link,keyword
Bali Dream House,https://www.google.com/maps/place/Bali+Dream+House/data=!4m10!3m9!1s0x2dcdff7c172e7f67:0x8a2f554667b8b8c1!5m2!4m1!1i2!8m2!3d-8.342267!4d115.667616!16s%2Fg%2F11ycfchdk!19sChIJZ38uF3z_zS0Rwbi4Z0ZVL4o?authuser=0&hl=en&rclk=1,resort in bali
"Sunshine Bungalows,Restaurant & Spa","https://www.google.com/maps/place/Sunshine+Bungalows,Restaurant+%26+Spa/data=!4m10!3m9!1s0x2dcdff7c7542ac7b:0x61eb76a052d23cc3!5m2!4m1!1i2!8m2!3d-8.34277!4d115.668702!16s%2Fg%2F12hkfh99d!19sChIJe6xCdXz_zS0RwzzSUqB262E?authuser=0&hl=en&rclk=1",resort in bali
West Bali Villas - Umasari Resort,https://www.google.com/maps/place/West+Bali+Villas+-+Umasari+Resort/data=!4m10!3m9!1s0x2dd163ccef734189:0xaef046bf6ec0d392!5m2!4m1!1i2!8m2!3d-8.3236414!4d114.6349805!16s%2Fg%2F11bxc3rbk0!19sChIJiUFz78xj0S0RktPAbr9G8K4?authuser=0&hl=en&rclk=1,resort in bali
Vino resort,https://www.google.com/maps/place/Vino+resort/data=!4m7!3m6!1s0x2dd163b6be6cf2f7:0xebc18b46b1a5b4fe!8m2!3d-8.3185725!4d114.6476388!16s%2Fg%2F11cl_kdbpl!19sChIJ9_JsvrZj0S0R_rSlsUaLwes?authuser=0&hl=en&rclk=1,resort in bali
Taman Sari Bali Resort & Spa,https://www.google.com/maps/place/Taman+Sari+Bali+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16ed7f37354b3:0xc8a710c1c866fabe!5m2!4m1!1i2!8m2!3d-8.1419129!4d114.6526085!16s%2Fg%2F1hf58wpk1!19sChIJs1Rz89du0S0RvvpmyMEQp8g?authuser=0&hl=en&rclk=1,resort in bali
Sumberkima Hill Retreat,https://www.google.com/maps/place/Sumberkima+Hill+Retreat/data=!4m10!3m9!1s0x2dd16930bc21579f:0x92f04b6d5d5398dc!5m2!4m1!1i2!8m2!3d-8.1513898!4d114.6088368!16s%2Fg%2F11bxf6fdbj!19sChIJn1chvDBp0S0R3JhTXW1L8JI?authuser=0&hl=en&rclk=1,resort in bali
Plataran Menjangan Resort & Spa,https://www.google.com/maps/place/Plataran+Menjangan+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd1699a975c1379:0x39267aebb1bcfb57!5m2!4m1!1i2!8m2!3d-8.1328814!4d114.5528006!16s%2Fg%2F11bw5m7s39!19sChIJeRNcl5pp0S0RV_u8set6Jjk?authuser=0&hl=en&rclk=1,resort in bali
Kinaara Resort & Spa,https://www.google.com/maps/place/Kinaara+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16e58852449b9:0x87448de172d551be!5m2!4m1!1i2!8m2!3d-8.1482678!4d114.6657396!16s%2Fg%2F11b73n2109!19sChIJuUkkhVhu0S0RvlHVcuGNRIc?authuser=0&hl=en&rclk=1,resort in bali
Adi Assri Beach Resort & Spa,https://www.google.com/maps/place/Adi+Assri+Beach+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16ef39d2ed545:0xba3891d809a0cf15!5m2!4m1!1i2!8m2!3d-8.1448124!4d114.6600837!16s%2Fg%2F11g_0c3fy!19sChIJRdUunfNu0S0RFc-gCdiROLo?authuser=0&hl=en&rclk=1,resort in bali
Mimpi Resort Menjangan,https://www.google.com/maps/place/Mimpi+Resort+Menjangan/data=!4m10!3m9!1s0x2dd1698446470daf:0x4e7a16fba796d461!5m2!4m1!1i2!8m2!3d-8.138384!4d114.5718471!16s%2Fg%2F11g_5kt8x!19sChIJrw1HRoRp0S0RYdSWp_sWek4?authuser=0&hl=en&rclk=1,resort in bali
Gelar Eco Villas,https://www.google.com/maps/place/Gelar+Eco+Villas/data=!4m10!3m9!1s0x2dd1632500bcf467:0xcf5b4db0eb4e6591!5m2!4m1!1i2!8m2!3d-8.3029424!4d114.6536889!16s%2Fg%2F11g2pl_yt2!19sChIJZ_S8ACVj0S0RkWVO67BNW88?authuser=0&hl=en&rclk=1,resort in bali
Puri Ananta Hotel,https://www.google.com/maps/place/Puri+Ananta+Hotel/data=!4m7!3m6!1s0x2dd1620c88e3b715:0x725a0e7acb47409c!8m2!3d-8.359686!4d114.640322!16s%2Fg%2F1pzr0cvbk!19sChIJFbfjiAxi0S0RnEBHy3oOWnI?authuser=0&hl=en&rclk=1,resort in bali
Zen Resort,https://www.google.com/maps/place/Zen+Resort/data=!4m10!3m9!1s0x2dd19b3f0afc4ee9:0x3da04c6ae747a5a2!5m2!4m1!1i2!8m2!3d-8.1881734!4d114.9148634!16s%2Fg%2F1tf138tm!19sChIJ6U78Cj-b0S0RoqVH52pMoD0?authuser=0&hl=en&rclk=1,resort in bali
Pondok Sari,https://www.google.com/maps/place/Pondok+Sari/data=!4m10!3m9!1s0x2dd223ffffff8969:0x1f23de32bd2851a8!5m2!4m1!1i2!8m2!3d-8.1431932!4d114.654442!16s%2Fg%2F11b6d1rcqb!19sChIJaYn___8j0i0RqFEovTLeIx8?authuser=0&hl=en&rclk=1,resort in bali
Puri Dajuma Beach Eco-Resort & Spa,https://www.google.com/maps/place/Puri+Dajuma+Beach+Eco-Resort+%26+Spa/data=!4m10!3m9!1s0x2dd3d406883af719:0x65366bc8191f2a52!5m2!4m1!1i2!8m2!3d-8.4302558!4d114.8181233!16s%2Fg%2F1tcynz41!19sChIJGfc6iAbU0y0RUiofGchrNmU?authuser=0&hl=en&rclk=1,resort in bali
Arton Resort & Beach Club,https://www.google.com/maps/place/Arton+Resort+%26+Beach+Club/data=!4m10!3m9!1s0x2dd3d69759e6a769:0x4abe9943a9913b33!5m2!4m1!1i2!8m2!3d-8.4109434!4d114.7973109!16s%2Fg%2F11c45w2y7r!19sChIJaafmWZfW0y0RMzuRqUOZvko?authuser=0&hl=en&rclk=1,resort in bali
Amertha Bali Villas,https://www.google.com/maps/place/Amertha+Bali+Villas/data=!4m10!3m9!1s0x2dd16ed7f30ccea3:0x4ba860867ac28ca5!5m2!4m1!1i2!8m2!3d-8.1443851!4d114.6565793!16s%2Fg%2F1tzt37r2!19sChIJo84M89du0S0RpYzCeoZgqEs?authuser=0&hl=en&rclk=1,resort in bali
The Menjangan,https://www.google.com/maps/place/The+Menjangan/data=!4m10!3m9!1s0x2dd169eca57af51f:0xdab63fb058bc950b!5m2!4m1!1i2!8m2!3d-8.1437929!4d114.5469718!16s%2Fg%2F1tcvlcsj!19sChIJH_V6pexp0S0RC5W8WLA_tto?authuser=0&hl=en&rclk=1,resort in bali
Laksmana Villa,https://www.google.com/maps/place/Laksmana+Villa/data=!4m7!3m6!1s0x2dd3d87d3914789b:0x1855854814d22ef6!8m2!3d-8.3729166!4d114.6685431!16s%2Fg%2F1pzttlhq8!19sChIJm3gUOX3Y0y0R9i7SFEiFVRg?authuser=0&hl=en&rclk=1,resort in bali
Tastra Eco Villas,https://www.google.com/maps/place/Tastra+Eco+Villas/data=!4m7!3m6!1s0x2dd163f5cc48e387:0xf57ba8c994002c6b!8m2!3d-8.3278039!4d114.6458294!16s%2Fg%2F11j4pm905s!19sChIJh-NIzPVj0S0RaywAlMmoe_U?authuser=0&hl=en&rclk=1,resort in bali
The Haman Resort,https://www.google.com/maps/place/The+Haman+Resort/data=!4m7!3m6!1s0x2dd3d9148760e419:0xfdc5b5311ecfef8b!8m2!3d-8.3989411!4d114.6195727!16s%2Fg%2F11h_kf9wcp!19sChIJGeRghxTZ0y0Ri-_PHjG1xf0?authuser=0&hl=en&rclk=1,resort in bali
Hotel Segara Mandala,https://www.google.com/maps/place/Hotel+Segara+Mandala/data=!4m10!3m9!1s0x2dd1620ef98ea3b5:0x7754b4f190d3c127!5m2!4m1!1i2!8m2!3d-8.3586146!4d114.6346972!16s%2Fg%2F1hm34l1c4!19sChIJtaOO-Q5i0S0RJ8HTkPG0VHc?authuser=0&hl=en&rclk=1,resort in bali
Taman Wana Resort Palasari,https://www.google.com/maps/place/Taman+Wana+Resort+Palasari/data=!4m10!3m9!1s0x2dd1670db319ae23:0xff9105e93d8343f5!5m2!4m1!1i2!8m2!3d-8.2577282!4d114.5520367!16s%2Fg%2F1tpmdft6!19sChIJI64Zsw1n0S0R9UODPekFkf8?authuser=0&hl=en&rclk=1,resort in bali
Batu Ampar Eco Resort Menjangan,https://www.google.com/maps/place/Batu+Ampar+Eco+Resort+Menjangan/data=!4m10!3m9!1s0x2dd169780535e5f5:0x5b4c407c328c802e!5m2!4m1!1i2!8m2!3d-8.1372878!4d114.5725869!16s%2Fg%2F11c67r0hny!19sChIJ9eU1BXhp0S0RLoCMMnxATFs?authuser=0&hl=en&rclk=1,resort in bali
Villa Jembrana,https://www.google.com/maps/place/Villa+Jembrana/data=!4m10!3m9!1s0x2dd163c0c72f0f0b:0x51e22e2b0bbe2bb!5m2!4m1!1i2!8m2!3d-8.3089413!4d114.6414053!16s%2Fg%2F11f3f7dchk!19sChIJCw8vx8Bj0S0Ru-K7sOIiHgU?authuser=0&hl=en&rclk=1,resort in bali
