title,link,keyword
Tirtasari Bungalows and Spa,https://www.google.com/maps/place/Tirtasari+Bungalows+and+Spa/data=!4m10!3m9!1s0x2dd16ef262e4556b:0x720081e868be63a!5m2!4m1!1i2!8m2!3d-8.145076!4d114.655788!16s%2Fg%2F11b76tt3bx!19sChIJa1XkYvJu0S0ROuaLhh4IIAc?authuser=0&hl=en&rclk=1,resort in buleleng
Amertha Bali Villas,https://www.google.com/maps/place/Amertha+Bali+Villas/data=!4m10!3m9!1s0x2dd16ef2f2f7877f:0x4ba860867ac28ca5!5m2!4m1!1i2!8m2!3d-8.144385!4d114.656579!16s%2Fg%2F1tzt37r2!19sChIJf4f38vJu0S0RpYzCeoZgqEs?authuser=0&hl=en&rclk=1,resort in buleleng
Kinaara Resort & Spa,https://www.google.com/maps/place/Kinaara+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16e58852449b9:0x87448de172d551be!5m2!4m1!1i2!8m2!3d-8.1482678!4d114.6657396!16s%2Fg%2F11b73n2109!19sChIJuUkkhVhu0S0RvlHVcuGNRIc?authuser=0&hl=en&rclk=1,resort in buleleng
Pondok Sari,https://www.google.com/maps/place/Pondok+Sari/data=!4m10!3m9!1s0x2dd223ffffff8969:0x1f23de32bd2851a8!5m2!4m1!1i2!8m2!3d-8.1431932!4d114.654442!16s%2Fg%2F11b6d1rcqb!19sChIJaYn___8j0i0RqFEovTLeIx8?authuser=0&hl=en&rclk=1,resort in buleleng
Aneka Bagus Resort & Spa,https://www.google.com/maps/place/Aneka+Bagus+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16ef299f72505:0x54b86bb18a71508b!5m2!4m1!1i2!8m2!3d-8.148104!4d114.6719039!16s%2Fg%2F1tq7ct0p!19sChIJBSX3mfJu0S0Ri1BxirFruFQ?authuser=0&hl=en&rclk=1,resort in buleleng
Taman Sari Bali Resort & Spa,https://www.google.com/maps/place/Taman+Sari+Bali+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16ed7f37354b3:0xc8a710c1c866fabe!5m2!4m1!1i2!8m2!3d-8.1419129!4d114.6526085!16s%2Fg%2F1hf58wpk1!19sChIJs1Rz89du0S0RvvpmyMEQp8g?authuser=0&hl=en&rclk=1,resort in buleleng
NAYA GAWANA Resort and Spa,https://www.google.com/maps/place/NAYA+GAWANA+Resort+and+Spa/data=!4m10!3m9!1s0x2dd247706c8ef42b:0x58f17a930676b2e8!5m2!4m1!1i2!8m2!3d-8.1368754!4d114.5684981!16s%2Fg%2F11b5z3041k!19sChIJK_SObHBH0i0R6LJ2BpN68Vg?authuser=0&hl=en&rclk=1,resort in buleleng
Sumberkima Hill Retreat,https://www.google.com/maps/place/Sumberkima+Hill+Retreat/data=!4m10!3m9!1s0x2dd16930bc21579f:0x92f04b6d5d5398dc!5m2!4m1!1i2!8m2!3d-8.1513898!4d114.6088368!16s%2Fg%2F11bxf6fdbj!19sChIJn1chvDBp0S0R3JhTXW1L8JI?authuser=0&hl=en&rclk=1,resort in buleleng
dynasty resort,https://www.google.com/maps/place/dynasty+resort/data=!4m7!3m6!1s0x2dd169850e70f065:0x928cd7867d4f56a4!8m2!3d-8.1363614!4d114.5617927!16s%2Fg%2F11gdm5__s7!19sChIJZfBwDoVp0S0RpFZPfYbXjJI?authuser=0&hl=en&rclk=1,resort in buleleng
THE SARI BUNGALOWS,https://www.google.com/maps/place/THE+SARI+BUNGALOWS/data=!4m10!3m9!1s0x2dd16ef6b85d3b3b:0xca35a9dc3d68ff2a!5m2!4m1!1i2!8m2!3d-8.1487016!4d114.6617126!16s%2Fg%2F11b6b70r6j!19sChIJOztduPZu0S0RKv9oPdypNco?authuser=0&hl=en&rclk=1,resort in buleleng
Lovina Beach Club & Resort,https://www.google.com/maps/place/Lovina+Beach+Club+%26+Resort/data=!4m10!3m9!1s0x2dd19aff5352cad9:0x7d3c2a7369f13564!5m2!4m1!1i2!8m2!3d-8.1394391!4d115.0507558!16s%2Fg%2F11h3_srp83!19sChIJ2cpSU_-a0S0RZDXxaXMqPH0?authuser=0&hl=en&rclk=1,resort in buleleng
Adi Assri Beach Resort & Spa,https://www.google.com/maps/place/Adi+Assri+Beach+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd16ef39d2ed545:0xba3891d809a0cf15!5m2!4m1!1i2!8m2!3d-8.1448124!4d114.6600837!16s%2Fg%2F11g_0c3fy!19sChIJRdUunfNu0S0RFc-gCdiROLo?authuser=0&hl=en&rclk=1,resort in buleleng
Brits Resort Lovina Bali,https://www.google.com/maps/place/Brits+Resort+Lovina+Bali/data=!4m10!3m9!1s0x2dd19b1d232c91ad:0x7526c4dec0a0d551!5m2!4m1!1i2!8m2!3d-8.1484753!4d115.0442697!16s%2Fg%2F11ggkb5x_n!19sChIJrZEsIx2b0S0RUdWgwN7EJnU?authuser=0&hl=en&rclk=1,resort in buleleng
Banyuwedang Hotspring,https://www.google.com/maps/place/Banyuwedang+Hotspring/data=!4m7!3m6!1s0x2dd1699d400ba42d:0xbf1300ee7a58d9e6!8m2!3d-8.13925!4d114.570685!16s%2Fg%2F11btz1cksg!19sChIJLaQLQJ1p0S0R5tlYeu4AE78?authuser=0&hl=en&rclk=1,resort in buleleng
Bali Taman Beach Resort and Spa-Lovina,https://www.google.com/maps/place/Bali+Taman+Beach+Resort+and+Spa-Lovina/data=!4m10!3m9!1s0x2dd19afc159d2729:0x6e0e053aba1ea7cd!5m2!4m1!1i2!8m2!3d-8.1429678!4d115.0510888!16s%2Fg%2F1tdhwv5k!19sChIJKSedFfya0S0RzaceujoFDm4?authuser=0&hl=en&rclk=1,resort in buleleng
Collection O 90805 Aditya Beach Resort And Spa,https://www.google.com/maps/place/Collection+O+90805+Aditya+Beach+Resort+And+Spa/data=!4m10!3m9!1s0x2dd19b442785a1db:0x68bdcc0077a58be3!5m2!4m1!1i2!8m2!3d-8.1658506!4d115.017003!16s%2Fg%2F1w6ws56c!19sChIJ26GFJ0Sb0S0R44uldwDMvWg?authuser=0&hl=en&rclk=1,resort in buleleng
InBalance Resort,https://www.google.com/maps/place/InBalance+Resort/data=!4m10!3m9!1s0x2dd19dfa3202f803:0xc8471b11eeb357af!5m2!4m1!1i2!8m2!3d-8.1817915!4d114.975519!16s%2Fg%2F11f7nlvjmk!19sChIJA_gCMvqd0S0Rr1ez7hEbR8g?authuser=0&hl=en&rclk=1,resort in buleleng
Puri Ganesha Homes by the Beach,https://www.google.com/maps/place/Puri+Ganesha+Homes+by+the+Beach/data=!4m10!3m9!1s0x2dd16ebc0b168d93:0x88f1902bc2c77134!5m2!4m1!1i2!8m2!3d-8.1406654!4d114.6528135!16s%2Fg%2F1tds43gs!19sChIJk40WC7xu0S0RNHHHwiuQ8Yg?authuser=0&hl=en&rclk=1,resort in buleleng
Batu Ampar Eco Resort Menjangan,https://www.google.com/maps/place/Batu+Ampar+Eco+Resort+Menjangan/data=!4m10!3m9!1s0x2dd169780535e5f5:0x5b4c407c328c802e!5m2!4m1!1i2!8m2!3d-8.1372878!4d114.5725869!16s%2Fg%2F11c67r0hny!19sChIJ9eU1BXhp0S0RLoCMMnxATFs?authuser=0&hl=en&rclk=1,resort in buleleng
Lovina Villa Resort Puri Bulan,https://www.google.com/maps/place/Lovina+Villa+Resort+Puri+Bulan/data=!4m10!3m9!1s0x2dd179af658fb9c9:0xf8cba4ec08008ec8!5m2!4m1!1i2!8m2!3d-8.2241478!4d114.8455811!16s%2Fg%2F11f4wtcdh9!19sChIJybmPZa950S0RyI4ACOyky_g?authuser=0&hl=en&rclk=1,resort in buleleng
Kubuku Eco Divelodge & Yoga,https://www.google.com/maps/place/Kubuku+Eco+Divelodge+%26+Yoga/data=!4m10!3m9!1s0x2dd16ef16dd83baf:0x72b347c9371d6ac1!5m2!4m1!1i2!8m2!3d-8.1482484!4d114.6599229!16s%2Fg%2F11b63crq16!19sChIJrzvYbfFu0S0RwWodN8lHs3I?authuser=0&hl=en&rclk=1,resort in buleleng
Padmasari Resort Hotel,https://www.google.com/maps/place/Padmasari+Resort+Hotel/data=!4m10!3m9!1s0x2dd19b5b1a74342f:0x623858c24e91555d!5m2!4m1!1i2!8m2!3d-8.1667043!4d115.0090382!16s%2Fg%2F12htvmn_x!19sChIJLzR0Glub0S0RXVWRTsJYOGI?authuser=0&hl=en&rclk=1,resort in buleleng
Amertha Bali Villas,https://www.google.com/maps/place/Amertha+Bali+Villas/data=!4m10!3m9!1s0x2dd16ed7f30ccea3:0x4ba860867ac28ca5!5m2!4m1!1i2!8m2!3d-8.1443851!4d114.6565793!16s%2Fg%2F1tzt37r2!19sChIJo84M89du0S0RpYzCeoZgqEs?authuser=0&hl=en&rclk=1,resort in buleleng
Nalika Beach Resort & Restaurant,https://www.google.com/maps/place/Nalika+Beach+Resort+%26+Restaurant/data=!4m10!3m9!1s0x2dd19d55ba7eb359:0x3991a1c6968583fe!5m2!4m1!1i2!8m2!3d-8.1841854!4d114.9146208!16s%2Fg%2F11h44rvy5v!19sChIJWbN-ulWd0S0R_oOFlsahkTk?authuser=0&hl=en&rclk=1,resort in buleleng
Tirtasari Bungalows and Spa,https://www.google.com/maps/place/Tirtasari+Bungalows+and+Spa/data=!4m10!3m9!1s0x2dd170a1220b5da3:0x720081e868be63a!5m2!4m1!1i2!8m2!3d-8.1450756!4d114.6557883!16s%2Fg%2F11b76tt3bx!19sChIJo10LIqFw0S0ROuaLhh4IIAc?authuser=0&hl=en&rclk=1,resort in buleleng
Dewantara Boutique Villa Resort Bali,https://www.google.com/maps/place/Dewantara+Boutique+Villa+Resort+Bali/data=!4m10!3m9!1s0x2dd1782556bc3317:0x1e4298ea7d222da1!5m2!4m1!1i2!8m2!3d-8.1986222!4d114.8688604!16s%2Fg%2F11f3tvh7sq!19sChIJFzO8ViV40S0RoS0ifeqYQh4?authuser=0&hl=en&rclk=1,resort in buleleng
Hulu Sedahan Hill Resort,https://www.google.com/maps/place/Hulu+Sedahan+Hill+Resort/data=!4m7!3m6!1s0x2dd1833f8dd58ad1:0x436badf9cd9ce5aa!8m2!3d-8.2006663!4d114.9748441!16s%2Fg%2F11b6b5w4yg!19sChIJ0YrVjT-D0S0RquWczfmta0M?authuser=0&hl=en&rclk=1,resort in buleleng
Menjangan Dynasty Resort Beach Glamping and Dive Centre,https://www.google.com/maps/place/Menjangan+Dynasty+Resort+Beach+Glamping+and+Dive+Centre/data=!4m10!3m9!1s0x2dd16985bb24c935:0xe0c6ad1709eb269!5m2!4m1!1i2!8m2!3d-8.1351728!4d114.5619057!16s%2Fg%2F11cn6f48hh!19sChIJNckku4Vp0S0RabKecNFqDA4?authuser=0&hl=en&rclk=1,resort in buleleng
Bali Nibbana Resort,https://www.google.com/maps/place/Bali+Nibbana+Resort/data=!4m10!3m9!1s0x2dd182ad736a8f25:0x420c2f5e99e3fd1a!5m2!4m1!1i2!8m2!3d-8.1895718!4d114.9152931!16s%2Fg%2F1tndmxpz!19sChIJJY9qc62C0S0RGv3jmV4vDEI?authuser=0&hl=en&rclk=1,resort in buleleng
Puri Bagus Lovina Resort,https://www.google.com/maps/place/Puri+Bagus+Lovina+Resort/data=!4m10!3m9!1s0x2dd19b10bae971df:0x3f2387d60fd9302e!5m2!4m1!1i2!8m2!3d-8.1283378!4d115.0610878!16s%2Fg%2F1tj63djd!19sChIJ33HpuhCb0S0RLjDZD9aHIz8?authuser=0&hl=en&rclk=1,resort in buleleng
D'Kubuko,https://www.google.com/maps/place/D'Kubuko/data=!4m7!3m6!1s0x2dd179f24a4de6dd:0x29fbf58715ec45a!8m2!3d-8.1998059!4d114.8872706!16s%2Fg%2F11fn2hyf5s!19sChIJ3eZNSvJ50S0RWsRecVi_nwI?authuser=0&hl=en&rclk=1,resort in buleleng
The Hamsa Resort,https://www.google.com/maps/place/The+Hamsa+Resort/data=!4m10!3m9!1s0x2dd1835558c10b83:0xee7277fa146f23fb!5m2!4m1!1i2!8m2!3d-8.1921469!4d115.0014533!16s%2Fg%2F1pzv34n0r!19sChIJgwvBWFWD0S0R-yNvFPp3cu4?authuser=0&hl=en&rclk=1,resort in buleleng
Cendana Menjangan,https://www.google.com/maps/place/Cendana+Menjangan/data=!4m10!3m9!1s0x2dd169713513381b:0x75da55ca9539fc9b!5m2!4m1!1i2!8m2!3d-8.141018!4d114.5777912!16s%2Fg%2F11f049cj_f!19sChIJGzgTNXFp0S0Rm_w5lcpV2nU?authuser=0&hl=en&rclk=1,resort in buleleng
The Menjangan Beach Villas,https://www.google.com/maps/place/The+Menjangan+Beach+Villas/data=!4m7!3m6!1s0x2dd169bff65c813f:0x3466484e2d6e7fda!8m2!3d-8.1330163!4d114.5574604!16s%2Fg%2F11fjb3fj2d!19sChIJP4Fc9r9p0S0R2n9uLU5IZjQ?authuser=0&hl=en&rclk=1,resort in buleleng
Aneka Hotel & Resort,https://www.google.com/maps/place/Aneka+Hotel+%26+Resort/data=!4m7!3m6!1s0x2dd19b1f67f00215:0x5225ea13d1f6d01a!8m2!3d-8.1569513!4d115.0421816!16s%2Fg%2F11ddxdr02r!19sChIJFQLwZx-b0S0RGtD20RPqJVI?authuser=0&hl=en&rclk=1,resort in buleleng
Kalyssa Beach Bungalows,https://www.google.com/maps/place/Kalyssa+Beach+Bungalows/data=!4m10!3m9!1s0x2dd16fb9e6b66efb:0x431de1dbcd589d44!5m2!4m1!1i2!8m2!3d-8.1395944!4d114.6502657!16s%2Fg%2F11g1xpkbnx!19sChIJ-2625rlv0S0RRJ1YzdvhHUM?authuser=0&hl=en&rclk=1,resort in buleleng
NusaBay Menjangan by WHM,https://www.google.com/maps/place/NusaBay+Menjangan+by+WHM/data=!4m10!3m9!1s0x2dd141fa57cae44f:0xdfe05717cbcea1f4!5m2!4m1!1i2!8m2!3d-8.12113!4d114.5133613!16s%2Fg%2F11g_l432l!19sChIJT-TKV_pB0S0R9KHOyxdX4N8?authuser=0&hl=en&rclk=1,resort in buleleng
Banyualit Spa 'n Resort Lovina Bali,https://www.google.com/maps/place/Banyualit+Spa+'n+Resort+Lovina+Bali/data=!4m10!3m9!1s0x2dd19b1a41c43acb:0x9fcde552208d8999!5m2!4m1!1i2!8m2!3d-8.1521907!4d115.0366298!16s%2Fg%2F1tg586cz!19sChIJyzrEQRqb0S0RmYmNIFLlzZ8?authuser=0&hl=en&rclk=1,resort in buleleng
Puri Bulan Villa resort,https://www.google.com/maps/place/Puri+Bulan+Villa+resort/data=!4m7!3m6!1s0x2dd179d44979ec79:0xd736093499a8923!8m2!3d-8.225!4d114.8602778!16s%2Fg%2F11fntyznz9!19sChIJeex5SdR50S0RI4maSZNgcw0?authuser=0&hl=en&rclk=1,resort in buleleng
Sunari Beach Resort,https://www.google.com/maps/place/Sunari+Beach+Resort/data=!4m10!3m9!1s0x2dd19b175ec03b71:0xdd897dd31ea8813!5m2!4m1!1i2!8m2!3d-8.154124!4d115.034535!16s%2Fg%2F1w0h4ycx!19sChIJcTvAXheb0S0RE4jqMd2X2A0?authuser=0&hl=en&rclk=1,resort in buleleng
The Lovina Resort,https://www.google.com/maps/place/The+Lovina+Resort/data=!4m10!3m9!1s0x2dd19b16eb554e2f:0x95e938e337c4137e!5m2!4m1!1i2!8m2!3d-8.153909!4d115.0300685!16s%2Fg%2F12hlgykd8!19sChIJL05V6xab0S0RfhPEN-M46ZU?authuser=0&hl=en&rclk=1,resort in buleleng
sari dive & cottage,https://www.google.com/maps/place/sari+dive+%26+cottage/data=!4m10!3m9!1s0x2dd1694242e953ef:0xa24f322e7bbf727f!5m2!4m1!1i2!8m2!3d-8.139365!4d114.597138!16s%2Fg%2F11b6gl4csh!19sChIJ71PpQkJp0S0Rf3K_ey4yT6I?authuser=0&hl=en&rclk=1,resort in buleleng
Taman Selini Wahana Beach Resort,https://www.google.com/maps/place/Taman+Selini+Wahana+Beach+Resort/data=!4m10!3m9!1s0x2dd19a7525aa35c9:0x21f7ec6ec8bc70dd!5m2!4m1!1i2!8m2!3d-8.1149145!4d115.0916254!16s%2Fg%2F11cs5v34dw!19sChIJyTWqJXWa0S0R3XC8yG7s9yE?authuser=0&hl=en&rclk=1,resort in buleleng
Melanting Resort,https://www.google.com/maps/place/Melanting+Resort/data=!4m7!3m6!1s0x2dd186740b732b93:0x11c310c7b5ee0d4b!8m2!3d-8.2613423!4d115.0660577!16s%2Fg%2F1tdqqz1x!19sChIJkytzC3SG0S0RSw3utccQwxE?authuser=0&hl=en&rclk=1,resort in buleleng
Kelapa Lovina Beach Villas - Singaraja BALI,https://www.google.com/maps/place/Kelapa+Lovina+Beach+Villas+-+Singaraja+BALI/data=!4m10!3m9!1s0x2dd19a5a59a3ac93:0x36501c4babfc0ce8!5m2!4m1!1i2!8m2!3d-8.1297387!4d115.0594959!16s%2Fg%2F1ptx_n88j!19sChIJk6yjWVqa0S0R6Az8q0scUDY?authuser=0&hl=en&rclk=1,resort in buleleng
Rich Farmer Eco House,https://www.google.com/maps/place/Rich+Farmer+Eco+House/data=!4m10!3m9!1s0x2dd16f7580646d21:0x3fe1a9c73092a683!5m2!4m1!1i2!8m2!3d-8.1551689!4d114.6590736!16s%2Fg%2F11jz71v1c8!19sChIJIW1kgHVv0S0Rg6aSMMep4T8?authuser=0&hl=en&rclk=1,resort in buleleng
Bali Il Mare,https://www.google.com/maps/place/Bali+Il+Mare/data=!4m10!3m9!1s0x2dd17035dbf7d54f:0xef1d39e1f8e9888f!5m2!4m1!1i2!8m2!3d-8.1620652!4d114.7361831!16s%2Fg%2F11bwnxr74k!19sChIJT9X32zVw0S0Rj4jp-OE5He8?authuser=0&hl=en&rclk=1,resort in buleleng
Penginapan Bali Cekiong,https://www.google.com/maps/place/Penginapan+Bali+Cekiong/data=!4m7!3m6!1s0x2dd16f88b670f523:0x5c624f22e71a339e!8m2!3d-8.1464527!4d114.6522075!16s%2Fg%2F11g3xvw_65!19sChIJI_Vwtohv0S0RnjMa5yJPYlw?authuser=0&hl=en&rclk=1,resort in buleleng
Coconut Beach Resort,https://www.google.com/maps/place/Coconut+Beach+Resort/data=!4m10!3m9!1s0x2dd19b3f11c220a9:0x2d4250f7eec39550!5m2!4m1!1i2!8m2!3d-8.161918!4d115.024827!16s%2Fg%2F11qpmtv806!19sChIJqSDCET-b0S0RUJXD7vdQQi0?authuser=0&hl=en&rclk=1,resort in buleleng
Nugraha Lovina Seaview Resort & Spa,https://www.google.com/maps/place/Nugraha+Lovina+Seaview+Resort+%26+Spa/data=!4m10!3m9!1s0x2dd19b5af7e4a323:0xfa89c404f44edcd8!5m2!4m1!1i2!8m2!3d-8.16782!4d115.007823!16s%2Fg%2F1tj2f96b!19sChIJI6Pk91qb0S0R2NxO9ATEifo?authuser=0&hl=en&rclk=1,resort in buleleng
