title,link
Made Tastra Villas,https://www.google.com/maps/place/Made+Tastra+Villas/data=!4m7!3m6!1s0x2dd163da76d9c24d:0x3ca76f47e1c3a617!8m2!3d-8.3143976!4d114.6418022!16s%2Fg%2F11rjj2m4cv!19sChIJTcLZdtpj0S0RF6bD4Udvpzw?authuser=0&hl=en&rclk=1
villa my dream,https://www.google.com/maps/place/villa+my+dream/data=!4m7!3m6!1s0x2dd1638474be2cd5:0xe06b1313d585ebe8!8m2!3d-8.3535009!4d114.641188!16s%2Fg%2F11fm5wcb9f!19sChIJ1Sy-dIRj0S0R6OuF1RMTa-A?authuser=0&hl=en&rclk=1
Gelar Eco Villas,https://www.google.com/maps/place/Gelar+Eco+Villas/data=!4m10!3m9!1s0x2dd1632500bcf467:0xcf5b4db0eb4e6591!5m2!4m1!1i2!8m2!3d-8.3029424!4d114.6536889!16s%2Fg%2F11g2pl_yt2!19sChIJZ_S8ACVj0S0RkWVO67BNW88?authuser=0&hl=en&rclk=1
Villa Jembrana,https://www.google.com/maps/place/Villa+Jembrana/data=!4m10!3m9!1s0x2dd163c0c72f0f0b:0x51e22e2b0bbe2bb!5m2!4m1!1i2!8m2!3d-8.3089413!4d114.6414053!16s%2Fg%2F11f3f7dchk!19sChIJCw8vx8Bj0S0Ru-K7sOIiHgU?authuser=0&hl=en&rclk=1
Villa Exotic,https://www.google.com/maps/place/Villa+Exotic/data=!4m7!3m6!1s0x2dd163cdc9b58d99:0x367a43a27bb7c2ce!8m2!3d-8.3534848!4d114.6411712!16s%2Fg%2F11fm7m73mt!19sChIJmY21yc1j0S0RzsK3e6JDejY?authuser=0&hl=en&rclk=1
Villa Gelar,https://www.google.com/maps/place/Villa+Gelar/data=!4m7!3m6!1s0x2dd1636e06d22603:0x91eea89b49e6cf88!8m2!3d-8.299852!4d114.655115!16s%2Fg%2F11q7fxgfjk!19sChIJAybSBm5j0S0RiM_mSZuo7pE?authuser=0&hl=en&rclk=1
Villa mp,https://www.google.com/maps/place/Villa+mp/data=!4m10!3m9!1s0x2dd163c720d3cc5d:0x87623adcf725246d!5m2!4m1!1i2!8m2!3d-8.3069072!4d114.6384116!16s%2Fg%2F11g9gv_jmh!19sChIJXczTIMdj0S0RbSQl99w6Yoc?authuser=0&hl=en&rclk=1
umah mesliahan,https://www.google.com/maps/place/umah+mesliahan/data=!4m7!3m6!1s0x2dd163b58f65c3d5:0xa435a441c10c8f9c!8m2!3d-8.3167798!4d114.6636994!16s%2Fg%2F11rv1xdsr7!19sChIJ1cNlj7Vj0S0RnI8MwUGkNaQ?authuser=0&hl=en&rclk=1
Griya mp,https://www.google.com/maps/place/Griya+mp/data=!4m10!3m9!1s0x2dd163287335d069:0x8fa8d36459cf5abc!5m2!4m1!1i2!8m2!3d-8.3632898!4d114.6487587!16s%2Fg%2F11rzb3_4hs!19sChIJadA1cyhj0S0RvFrPWWTTqI8?authuser=0&hl=en&rclk=1
Villa yeh mekecir,https://www.google.com/maps/place/Villa+yeh+mekecir/data=!4m7!3m6!1s0x2dd163342066b523:0x4ee429f32f725162!8m2!3d-8.3282981!4d114.6697074!16s%2Fg%2F11j0bvpwrs!19sChIJI7VmIDRj0S0RYlFyL_Mp5E4?authuser=0&hl=en&rclk=1
