title,link,keyword
Tegenungan Waterfall,https://www.google.com/maps/place/Tegenungan+Waterfall/data=!4m7!3m6!1s0x2dd2161beebd0c61:0xc1ae79ddb8410c5e!8m2!3d-8.5753506!4d115.288777!16s%2Fg%2F11bvx3j8m8!19sChIJYQy97hsW0i0RXgxBuN15rsE?authuser=0&hl=en&rclk=1,waterfall
Nungnung Waterfall,https://www.google.com/maps/place/Nungnung+Waterfall/data=!4m7!3m6!1s0x2dd22083c3c810e3:0x8ad87885a422e318!8m2!3d-8.3297697!4d115.2293907!16s%2Fg%2F12lvp0n8h!19sChIJ4xDIw4Mg0i0RGOMipIV42Io?authuser=0&hl=en&rclk=1,waterfall
Banyumala Waterfall,https://www.google.com/maps/place/Banyumala+Waterfall/data=!4m7!3m6!1s0x2dd18f9d7a04e875:0x4eccd9e08e4d2397!8m2!3d-8.2171873!4d115.1016811!16s%2Fg%2F11f3jy7mcg!19sChIJdegEep2P0S0RlyNNjuDZzE4?authuser=0&hl=en&rclk=1,waterfall
Madakaripura Waterfall,https://www.google.com/maps/place/Madakaripura+Waterfall/data=!4m7!3m6!1s0x2dd64a8134d45011:0x8d14c8dbff7a3823!8m2!3d-7.8540925!4d113.0081579!16s%2Fm%2F064mbnz!19sChIJEVDUNIFK1i0RIzh6_9vIFI0?authuser=0&hl=en&rclk=1,waterfall
Suwat Waterfall,https://www.google.com/maps/place/Suwat+Waterfall/data=!4m7!3m6!1s0x2dd217a1866f1383:0xe9ff0904a23da5fb!8m2!3d-8.486301!4d115.3180337!16s%2Fg%2F11hzxfrm3v!19sChIJgxNvhqEX0i0R-6U9ogQJ_-k?authuser=0&hl=en&rclk=1,waterfall
Tukad Cepung Waterfall,https://www.google.com/maps/place/Tukad+Cepung+Waterfall/data=!4m7!3m6!1s0x2dd21ba0481caa43:0xbd3a446ae88503f!8m2!3d-8.4410173!4d115.3868079!16s%2Fg%2F11qnkky0r9!19sChIJQ6ocSKAb0i0RP1CIrkak0ws?authuser=0&hl=en&rclk=1,waterfall
Manuaba Waterfall,https://www.google.com/maps/place/Manuaba+Waterfall/data=!4m7!3m6!1s0x2dd219d7cf82781f:0xed846f0c37ad10db!8m2!3d-8.4459216!4d115.2900532!16s%2Fg%2F11g0mgrrtm!19sChIJH3iCz9cZ0i0R2xCtNwxvhO0?authuser=0&hl=en&rclk=1,waterfall
Pengempu Waterfall,https://www.google.com/maps/place/Pengempu+Waterfall/data=!4m7!3m6!1s0x2dd223428135bb67:0xbc9889d658b497a4!8m2!3d-8.469335!4d115.2034665!16s%2Fg%2F11b7yyb9sf!19sChIJZ7s1gUIj0i0RpJe0WNaJmLw?authuser=0&hl=en&rclk=1,waterfall
Gitgit Waterfall,https://www.google.com/maps/place/Gitgit+Waterfall/data=!4m7!3m6!1s0x2dd18fcebffbb9d9:0x95e881c23c44d940!8m2!3d-8.1933812!4d115.1350295!16s%2Fm%2F0cnyl2j!19sChIJ2bn7v86P0S0RQNlEPMKB6JU?authuser=0&hl=en&rclk=1,waterfall
Secret waterfall,https://www.google.com/maps/place/Secret+waterfall/data=!4m7!3m6!1s0x2dd18d12f5d036a7:0x6817b8f8ac15e1be!8m2!3d-8.18199!4d115.189583!16s%2Fg%2F11rg4tdw3w!19sChIJpzbQ9RKN0S0RvuEVrPi4F2g?authuser=0&hl=en&rclk=1,waterfall
