title,link,keyword
Lapopu Waterfall,https://www.google.com/maps/place/Lapopu+Waterfall/data=!4m7!3m6!1s0x2c4b1c16ce89206f:0x3e214b0555912b37!8m2!3d-9.6787759!4d119.4927235!16s%2Fg%2F11f50xjfc8!19sChIJbyCJzhYcSywRNyuRVQVLIT4?authuser=0&hl=en&rclk=1,waterfall
We Soka waterfall,https://www.google.com/maps/place/We+Soka+waterfall/data=!4m7!3m6!1s0x2c4b3bd9272142e7:0x56e485f1c6f5e337!8m2!3d-9.4542469!4d119.6076299!16s%2Fg%2F11l0w08llf!19sChIJ50IhJ9k7SywRN-P1xvGF5FY?authuser=0&hl=en&rclk=1,waterfall
Air Terjun Matayangu,https://www.google.com/maps/place/Air+Terjun+Matayangu/data=!4m7!3m6!1s0x2c4b1c05fd696e2f:0x990a2dd0deacbf8f!8m2!3d-9.6732549!4d119.5046864!16s%2Fg%2F11c533j63y!19sChIJL25p_QUcSywRj7-s3tAtCpk?authuser=0&hl=en&rclk=1,waterfall
Waterfall Loko Winne Mata Kaito,https://www.google.com/maps/place/Waterfall+Loko+Winne+Mata+Kaito/data=!4m7!3m6!1s0x2c4ae765a4991dcf:0xe84b2d5894afea21!8m2!3d-9.6170237!4d119.2975857!16s%2Fg%2F11hh9d6z2g!19sChIJzx2ZpGXnSiwRIeqvlFgtS-g?authuser=0&hl=en&rclk=1,waterfall
Waikanabu Waterfall,https://www.google.com/maps/place/Waikanabu+Waterfall/data=!4m7!3m6!1s0x2c4b89c28906c095:0x6f1c33aa00868bb1!8m2!3d-10.0186434!4d120.1145014!16s%2Fg%2F11hnwk8y04!19sChIJlcAGicKJSywRsYuGAKozHG8?authuser=0&hl=en&rclk=1,waterfall
La Tuku Waterfall,https://www.google.com/maps/place/La+Tuku+Waterfall/data=!4m7!3m6!1s0x2c4c6f9cf2921191:0xa4522ae91194ed71!8m2!3d-10.0042731!4d120.3812893!16s%2Fg%2F11gj8m06fb!19sChIJkRGS8pxvTCwRce2UEekqUqQ?authuser=0&hl=en&rclk=1,waterfall
Tegenungan Waterfall,https://www.google.com/maps/place/Tegenungan+Waterfall/data=!4m7!3m6!1s0x2dd2161beebd0c61:0xc1ae79ddb8410c5e!8m2!3d-8.5753506!4d115.288777!16s%2Fg%2F11bvx3j8m8!19sChIJYQy97hsW0i0RXgxBuN15rsE?authuser=0&hl=en&rclk=1,waterfall
Air Terjun Lokomboro,https://www.google.com/maps/place/Air+Terjun+Lokomboro/data=!4m7!3m6!1s0x2c4ae7692da0554b:0x141ce8eceeb6bd5e!8m2!3d-9.6172693!4d119.2961849!16s%2Fg%2F11c5xs25gc!19sChIJS1WgLWnnSiwRXr227uzoHBQ?authuser=0&hl=en&rclk=1,waterfall
Nungnung Waterfall,https://www.google.com/maps/place/Nungnung+Waterfall/data=!4m7!3m6!1s0x2dd22083c3c810e3:0x8ad87885a422e318!8m2!3d-8.3297697!4d115.2293907!16s%2Fg%2F12lvp0n8h!19sChIJ4xDIw4Mg0i0RGOMipIV42Io?authuser=0&hl=en&rclk=1,waterfall
Suwat Waterfall,https://www.google.com/maps/place/Suwat+Waterfall/data=!4m7!3m6!1s0x2dd217a1866f1383:0xe9ff0904a23da5fb!8m2!3d-8.486301!4d115.3180337!16s%2Fg%2F11hzxfrm3v!19sChIJgxNvhqEX0i0R-6U9ogQJ_-k?authuser=0&hl=en&rclk=1,waterfall
Banyumala Waterfall,https://www.google.com/maps/place/Banyumala+Waterfall/data=!4m7!3m6!1s0x2dd18f9d7a04e875:0x4eccd9e08e4d2397!8m2!3d-8.2171873!4d115.1016811!16s%2Fg%2F11f3jy7mcg!19sChIJdegEep2P0S0RlyNNjuDZzE4?authuser=0&hl=en&rclk=1,waterfall
