,title,review_point,price_level,sub_category,address,metadata,images,coordinate,regency,contact_number,amenities,site,check_in,check_out,open_hours
0,Made Tastra Villas,5.0,5 reviews,Villa,"MJMR+QHJ, Dauhwaru, Jembrana, Jembrana Regency, Bali 82218 ",,,"-8.3143976, 114.6418022", Jembrana ,,,,,,
1,villa my dream,5.0,2 reviews,Villa,"Dauhwaru, Jembrana, Jembrana Regency, Bali 82218 ",,,"-8.3535009, 114.641188", Jembrana ,,,,,,
2,Gelar Eco Villas,4.6,62 reviews,,"Dauhwaru, Jembrana, Jembrana Regency, Bali 82218 ",,,"-8.3029424, 114.6536889", Jembrana ,082144217539, Free Wi-Fi available  |  Free parking available  |  Pool unavailable ,,,,
3,Munduk Moding Plantation Nature Resort & Spa,4.7,847 reviews,,"Jl. Asah Gobleg, Gobleg, Kec. Banjar, Kabupaten Buleleng, Bali 81152 ",,,"-8.239301, 115.071902",  Buleleng,08113810123, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available ,http://www.mundukmodingplantation.com/,,,
4,Om Ham Retreat and Resort,4.6,362 reviews,,"Jalan Tirta Tawar No.Road, Banjar Junjungan, Kec. Tegallalang, Kabupaten Gianyar, Bali 80571 ",,,"-8.4678278, 115.271956",  Gianyar,03619000352, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Air-conditioned available  |  Laundry service available ,http://www.omhamretreat.com/,,,
5,Kebun Villas,4.4,140 reviews,,"Suradadi, Banjar, Belimbing, Kec. Pupuan, Kabupaten Tabanan, Bali 82162 ",,,"-8.4323397, 115.0291278",  Tabanan,081239703566, Free Wi-Fi available  |  Free breakfast available  |  Free parking available  |  Outdoor pool available  |  Laundry service available  |  Room service available ,http://www.kebunvilla.com/,,, 7AM to 10PM
6,Villa NiMo Mengwi,5.0,2 reviews,Villa,"C5VJ+P9P, Jl. Gulingan, Mengwitani, Kec. Mengwi, Kabupaten Badung, Bali 80351 ",,,"-8.5556681, 115.1809387",  Badung,085253558035,,http://www.villanimo.com/,,, Open 24 hours
7,The Calyx Villa,3.8,5 reviews,Villa,"C59G+9RR, Kapal, Mengwi, Badung Regency, Bali 80351 ",,,"-8.5815242, 115.1770001", Badung ,,,,,,
8,Villa abian,4.5,8 reviews,Hotel,"C56J+XH6, Unnamed Road, Abianbase, Mengwi, Badung Regency, Bali 80351 ",,,"-8.5875839, 115.1814052", Badung ,08123770943,,,,,
9,Villa OASA Puman,4.2,17 reviews,,"H7H9+QW, Taro, Tegallalang, Gianyar Regency, Bali ",,,"-8.4205898, 115.2697884", Gianyar ,081384685581, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Laundry service available ,,,, Open 24 hours
10,Kaja villa ubud,4.6,5 reviews,,"H7C5+PR4, Br. Roban - Desa Kelusa, Keliki, Payangan, Gianyar Regency, Bali 80572 ",,,"-8.428249, 115.259575", Gianyar ,, Free Wi-Fi available  |  Free parking available  |  Pool available  |  Laundry service available  |  Airport shuttle available ,https://kajavillaubud.com/,,,
11,Green Villa,,,,"H7HG+23J, Villas, Jl. Raya Bresela, Beresela, Payangan, Gianyar Regency, Bali 80571 ",,,"-8.4224012, 115.275146", Gianyar ,, Pet-friendly available  |  Airport shuttle available ,,,,
12,Klumpu Hill Villa & Restaurant,5.0,5 reviews,Villa,"7GHG+RCW, Klumpu, Nusa Penida, Klungkung Regency, Bali 80771 ",,,"-8.720384, 115.5260649", Klungkung ,081337030674,,,,,
